OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
549231|1105|||||676249
560364|1105|||||682729
568101|1103|||||685331
568102|1104|||||685331
568103|1105|||||685331
575068|1104|||||687793
575069|1105|||||687793
595492|1103|||||695128
595493|1104|||||695128
595494|1105|||||695128
590172|1101|17|mo|0|0|693438
590173|1103|0|0|0|0|693438
590174|1104|0|0|0|0|693438
590175|1105|0|0|0|0|693438
625407|1101|79|0|0|0|706691
625408|1103|250|0|0|0|706691
625409|1104|0|0|0|0|706691
625410|1105|0|0|0|0|706691
560365|1101|.01|hr|25.35|0|682730
560366|1103|200|0|0|0|682730
560367|1104|0|0|0|0|682730
560368|1105|0|0|0|0|682730
590176|1101|$642|year|0|0|693439
590177|1103|$0|year|0|0|693439
590178|1104|$0|year|0|0|693439
590179|1105|$0|year|0|0|693439
557803|1102|N/A|N/A|N/A|N/A|681418
557804|1103|N/A|N/A|N/A|N/A|681418
492655|1101|$100.00|MONTH|N/A|N/A|653867
492656|1103|$100.00|ONCE|N/A|N/A|653867
492657|1104|NONE|N/A|N/A|N/A|653867
492658|1105|NONE|N/A|N/A|N/A|653867
493707|1101|11.92 + 1 HR pay|month|0|0|654536
493708|1103|0|0|0|0|654536
493709|1104|0|0|0|0|654536
493710|1105|0|0|0|0|654536
501278|1101|18.92|month|16.75|18.92|657589
501279|1103|50|member|||657589
501280|1104|||||657589
501281|1105|||||657589
501458|1101|2.25 HRS|MONTH|28.95|70.89|657750
501459|1103|10|LIFETIME|||657750
501460|1104|0||N/A|N/A|657750
501461|1105|0||N/A|N/A|657750
502441|1101|$30|MONTH|N/A|N/A|658306
502442|1103|$50|NEW MEMBER|N/A|N/A|658306
502443|1104|N/A|N/A|N/A|N/A|658306
502444|1105|N/A|N/A|N/A|N/A|658306
508407|1101|2%|BASIC WK|0|0|660713
508408|1103|5|WAGE RATE|||660713
508409|1104|||||660713
508410|1105|||||660713
510047|1101|9.63|week|0|0|661480
510048|1103|||||661480
510049|1104|||||661480
510050|1105|||||661480
557805|1104|N/A|N/A|N/A|N/A|681418
512362|1101|$24|MO|$6|$24|662342
512363|1102|N/A|N/A|N/A|N/A|662342
512364|1103|$150|ONCE|$30|$150|662342
512365|1104|N/A|N/A|N/A|N/A|662342
512366|1105|N/A|N/A|N/A|N/A|662342
512367|1101|$30|MO|$6|$30|662343
512368|1102|2% + $.05|HOUR|N/A|N/A|662343
512369|1103|$200|ONCE|$30|$200|662343
512370|1104|N/A|N/A|N/A|N/A|662343
512371|1105|N/A|N/A|N/A|N/A|662343
512437|1101|26|mo|6|26|662366
512438|1103|150|once|30|150|662366
512439|1104|na|na|na|na|662366
512440|1105|na|na|na|na|662366
512441|1101|$21|MO|$6|$21|662367
512442|1102|N/A|N/A|N/A|N/A|662367
512443|1103|$150|ONCE|$30|$150|662367
512444|1104|N/A|N/A|N/A|N/A|662367
512445|1105|N/A|N/A|N/A|N/A|662367
512446|1101|$26.00|MO|$6|$26|662368
512447|1102|N/A|N/A|N/A|N/A|662368
512448|1103|$150|ONCE|N/A|N/A|662368
512449|1104|N/A|N/A|N/A|N/A|662368
512450|1105|N/A|N/A|N/A|N/A|662368
512456|1101|23|mo|6|23|662370
512457|1103|200|once|30|200|662370
512458|1104|na|na|na|na|662370
512459|1105|na|na|na|na|662370
512465|1101|$26.50|MO|$6|$26.50|662372
512466|1102|N/A|N/A|N/A|N/A|662372
512467|1103|$150|ONCE|$30|$150|662372
512468|1104|N/A|N/A|N/A|N/A|662372
512469|1105|N/A|N/A|N/A|N/A|662372
512470|1101|25|MO|6|25|662373
512471|1102|1.59|HR|NA|NA|662373
512472|1103|150|ONCE|30|150|662373
512473|1104|NA|NA|NA|NA|662373
512474|1105|NA|NA|NA|NA|662373
512475|1101|1.70|HR|6|26|662374
512476|1103|150|once|30|150|662374
512477|1104|na|na|na|na|662374
512478|1105|na|na|na|na|662374
512483|1101|26|mo|6|26|662376
512484|1103|150|once|30|150|662376
512485|1104|na|na|na|na|662376
512486|1105|na|na|na|na|662376
512487|1101|28.00|MONTH|6.00|28.00|662377
512488|1103|150.00|ONCE|30.00|150.00|662377
512489|1104|N/A|N/A|N/A|N/A|662377
512490|1105|N/A|N/A|N/A|N/A|662377
512491|1101|$24|MO|$6|$24|662378
512492|1102|$1.18|HR|N/A|N/A|662378
512493|1103|$150|ONCE|$30|$150|662378
512494|1104|N/A|N/A|N/A|N/A|662378
512495|1105|N/A|N/A|N/A|N/A|662378
512500|1101|27|MO|6|27|662380
512501|1102|NA|NA|NA|NA|662380
512502|1103|150|ONCE|30|150|662380
512503|1104|NA|NA|NA|NA|662380
512504|1105|NA|NA|NA|NA|662380
512505|1101|$28.50|month|$6.00|$28.50|662382
512506|1103|$150.00|one time|$30.00|$150.00|662382
512507|1104|N/A|N/A|N/A|N/A|662382
512508|1105|N/A|N/A|N/A|N/A|662382
512509|1101|25|mo|6|25|662383
512510|1103|150|once|30|150|662383
512511|1104|n/a|n/a|n/a|n/a|662383
512512|1105|n/a|n/a|n/a|n/a|662383
512513|1101|25.00|MONTH|25.00|25.00|662384
512514|1103|150.00|ONCE|150.00|150.00|662384
512515|1104|N/A|N/A|N/A|N/A|662384
512516|1105|N/A|N/A|N/A|N/A|662384
512517|1101|25.00|MONTH|6.00|25.00|662386
512518|1103|150.00|ONCE|30.00|150.00|662386
512519|1104|N/A|N/A|N/A|N/A|662386
512520|1105|N/A|N/A|N/A|N/A|662386
512529|1101|$25|MO|$6|$25|662389
512530|1103|$150|ONCE|$30`|$150|662389
512531|1104|N/A|N/A|N/A|N/A|662389
512532|1105|N/A|N/A|N/A|N/A|662389
512533|1101|$25|MONTH|$6|$25|662390
512534|1103|$150|ONCE|$30|$150|662390
512535|1104|N/A|N/A|N/A|N/A|662390
512536|1105|N/A|N/A|N/A|N/A|662390
512537|1101|25.50|MONTH|25.50|25.50|662391
512538|1103|150.00|ONCE|30.00|150.00|662391
512539|1104|N/A|N/A|N/A|N/A|662391
512540|1105|N/A|N/A|N/A|N/A|662391
557806|1105|N/A|N/A|N/A|N/A|681418
557807|1101|50|MONTH|50|50|681424
517018|1101|140|year|35|140|664235
517019|1103|85|one time|||664235
517020|1104|85|one time|||664235
517021|1105|none||||664235
517387|1101|34|Month|n/a|n/a|664386
517388|1103|n/a|n/a|n/a|n/a|664386
517389|1104|n/a|n/a|n/a|n/a|664386
517390|1105|n/a|n/a|n/a|n/a|664386
518544|1101|2.5 hrs|month|n/a|n/a|664900
518545|1103|$30|one time|n/a|n/a|664900
518546|1104|n/a|n/a|n/a|n/a|664900
518547|1105|n/a|n/a|n/a|n/a|664900
518728|1101|$25.00|month|0|$25.00|664970
518729|1102||||8% wages|664970
518730|1103|||$250.00|$500.00|664970
518731|1104|||0|0|664970
518732|1105|||0|0|664970
519509|1101|15.25|Bi weekly|10.00|15.25|665263
519510|1103|40.00|one time|40.00|40.00|665263
519511|1104|||||665263
519512|1105|||||665263
520488|1101|$100|YEAR|N/A|N/A|665574
520489|1102|N/A|N/A|N/A|N/A|665574
520490|1103|N/A|N/A|N/A|N/A|665574
520491|1104|N/A|N/A|N/A|N/A|665574
520492|1105|N/A|N/A|N/A|N/A|665574
521897|1101|24/38.75|bi-weekly|24|38.75|666033
521898|1103|||||666033
521899|1104|||||666033
521900|1105|||||666033
522709|1101|17.00|0|0|0|666348
522710|1103|||||666348
522711|1104|||||666348
522712|1105|||||666348
523553|1101|208|yr|208|208|666590
523554|1103|||||666590
523555|1104|||||666590
523556|1105|||||666590
524156|1101|17.00|pay|17.00|17.00|666801
524157|1103|||||666801
524158|1104|||||666801
524159|1105|||||666801
524926|1101|N/A|N/A|N/A|N/A|667045
524927|1102|N/A|N/A|N/A|N/A|667045
524928|1103|N/A|N/A|N/A|N/A|667045
524929|1104|N/A|N/A|N/A|N/A|667045
524930|1105|N/A|N/A|N/A|N/A|667045
525274|1101|43|MO|43|43|667137
525275|1103|250|MAN|250|250|667137
525276|1104|1|MAN|1|1|667137
525277|1105|0|MAN|0|0|667137
527092|1101|81|MONTH|15|86|667743
527093|1103|200||||667743
527094|1104|||||667743
527095|1105|||||667743
529005|1101|$20.00|Month|0|0|668367
529006|1103|0|0|0|0|668367
529007|1104|0|0|0|0|668367
529008|1105|0|0|0|0|668367
532190|1101|11.82|pay period|0|0|669291
532191|1103|0|0|0|0|669291
532192|1104|0|0|0|0|669291
532193|1105|0|0|0|0|669291
557808|1103|N/A|N/A|N/A|N/A|681424
557809|1104|N/A|N/A|N/A|N/A|681424
557810|1105|N/A|N/A|N/A|N/A|681424
539250|1101|$35|Month|N/A|N/A|671575
539251|1102|$1|Hour|N/A|N/A|671575
539252|1103|N/A|N/A|N/A|N/A|671575
