RPT_ID|ACCOUNTS_PAYABLE_START|ACCOUNTS_PAYABLE_END|LOANS_PAYABLE_START|LOANS_PAYABLE_END|MORTGAGE_PAYABLE_START|MORTGAGE_PAYABLE_END|OTHER_LIABILITIES_START|OTHER_LIABILITIES_END|TOTAL_START
700568||0||0||0||0|
697783|0||26142|47796|235369|220692|11808|7990|
702148|0|0|0|0|0|0|0|0|
711880|0|0|0|0|0|0|0|0|
700556|0|0|0|0|0|0|0|0|
699038|0|0|0|0|0|0|0|0|
702145|809|0|0|0|0|0|0|0|
692344|0|0|0|0|0|0|0|0|
699941|0|0|0|0|0|0|0|0|
700925|0|0|0|0|0|0|0|0|
697263|0|0|0|0|0|0|0|0|
708748|50191|0|0|0|0|0|4539|0|
697333|525||0||0|0|0||
703950|0|0|0|0|0|0|0|0|
707337|0|0|0|0|0|0|0|0|
696172|0|0|0|0|0|0|0|0|
708909|0|0|0|0|0|0|0|0|
676190|0|0|0|0|0|0|0|0|
697451|0|0|0|0|0|0|0|0|
702547|0|0|0|0|0|0|2007|2007|
698411|0|0|0|0|0|0|0|0|
708379|0|0|0|0|0|0|0|0|
703258|0|0|0|0|0|0|0|0|
706183|0|0|0|0|0|0|0|0|
691915|0|0|0|0|0|0|0|0|
689277|0|0|0|0|0|0|0|0|
692299|0|0|0|0|0|0|0|0|
693683|0|0|0|0|0|0|0|0|
698977|0|0|0|0|0|0|0|0|
702785||||||0|||
696617|0|0|0|0|0|0|0|0|
710063|3432702|2355139|4952187|5021213|0|0|6056754|7224187|
679356|0|0|0|0|0|0|0|0|
706419|0||0||0|0|0||
699473|0|19352|0||0|0|0|414681|
678749|0|0||0||0|1963|633|
702692|0|0|0|0|0|0|286|189|
705707|0|0|0|0|0|0|0|0|
713882|0|0|0|0|0|0|0|0|
707188|1082|3246|0|0|0|0|0|0|
705908|0|0|0|0|0|0|0|0|
702151|0|0|0|0|0|0|0|0|
690906||0||0|0|0||0|
692755|0|0|0|0|0|0|0|0|
694240|||||0|0|357||
680698|0|0|0|0|0|0|0|0|
702669|0|0|0|0|0|0|0|0|
697556|0|0|0|0|0|0|0|0|
680528|0|0|0|0|0|0|0|0|
705116|0|0|0|0|0|0|695|1312|
738185|0|0|0|0|0|0|0|0|
683592|0|0|0|0|0|0|0|0|
704070|250|564|0|0|0|0|0|0|
710674||0||0||0||0|
682720|0|13635|0||0|0|0|1456|
698850|0|0|0|0|0|0|0|0|
706887|0|0|0|0|0|0|0|0|
681973|0|0|0|0|0|0|0|0|
697844|0|0|0|0|0|0|0|0|
703254|0|0|0|0|0|0|0|0|
698397||176029||||0||1066653|
681925|9992|0|0|0|0|0|202947|516676|
686137|0|0|0|0|0|0|0|0|
696507|0|4533|0|0|0|0|0|0|
681445|0|0|0|0|0|0|0|0|
682032|||||2721965|2602521|231184|282759|
681979|0|0|0|0|0|0|569|561|
686230||||||0||4207|
682019|0|0|0|0|0|0|0|0|
682799|42453|59379||0|0|0||0|
682541|0|0|0|0|0|0|0|0|
683647|3|0|0|0|0|0|4846|11052|
709745|5450||||0|0|5461|2410|
684910|0||714|805|0|0|0|5388|
684506|0|0|0|0|0|0|0|0|
684525|0|0|0|0|0|0|0|0|
682899|0|0|0|0|0|0|0|0|
683358|5571|4439|0|0|0|0|0|0|
687862|359|0|0|0|0|0|860|833|
