OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
29880|RADIUS BANK|224834|0|224834|0|0|662367
31371|ALLY|6114|0|5245|0|869|684812
30962|UNION BANK VISA CHG CARD|4696|0|4696|0|0|675485
31388|N/A|||||0|685173
31025|COMMUNITY BANK 3.74%-5.37%|149188|122030|42439|228779|0|677414
31032|EASTERN BANK MORTGAGE|288001|0|10987||277014|677689
31047|DC 33 LEGAL SERVICES PLAN|122544|0|0|0|122544|679174
31052|NONE|0|0|0|0|0|679454
31053|OHWBST|100000|100000|100000||100000|679534
31054|FORD MOTOR CORP|92425|0|15188|38411|38826|679549
31055|ALLY FINANCIAL|22457|0|6736|0|15721|679549
31056|Wayne Motors Inc|40005|0|14238|0|25767|679555
31057|Ford Credit (Larson Ford)|0|25487|4956|0|20531|679555
31058|Ford Credit (Larson Ford)|0|26449|5142|0|21307|679555
31059|OPCMIA International Union|0|100000|0|0|100000|679563
31060|COMERICA BANK|714798|0|714798|0|0|679568
31061|NONE|0|0|0|0|0|679574
31062|INDEPENDENCE BANK OF KENTUCKY|0|20000|0|0|20000|679599
31063|NONE|0|0|0|0|0|679684
31064|155 WEST 46 OWNER LLC|3935650||77028||3858622|679694
31066|NONE|0|0|0|0|0|679839
31069|KEY BANK LINE OF CREDIT|0|1300000|1300000||0|679948
31070|ILA Great Lakes District Council|33000|67000|5500||94500|680134
31078|BUSEY BANK|38494|0|15073|0|23421|680432
31079|FORD MOTOR CREDIT|37239|0|18685|0|18554|680432
31080|MORTON COMM BANK|15406|0|5155|0|10251|680432
31090|Mortgage Loan|605896|0|27349||578547|680911
31091|NONE|0|0|0|0|0|681232
31092|AUTO LOANS|189146|84105|98465||174786|681344
31095|TELECONNECT LEASE|1974||1974||0|681398
31096|NONE|0|0|0|0|0|681408
31097|Auto loan|13987||4511||9476|681440
31098|Vehicle Loan|18766||18766||0|681473
31101|First State Bank|5605|0|5605|0|0|681661
31103|NONE|0|0|0|0|0|681752
31104|Chrysler Capital - 2016 Dodge|6587|0|6587|0|0|681781
31105|NONE|0|0|0|0|0|681853
31106|NONE|0|0|0|0|0|681925
31107|SSMRC|550000|0|49027|0|500973|681950
31108|John Seid|2|1799|1200||601|681997
31109|Rita Russell|1494||1494||0|681997
31110|N/A|0|0|0|0|0|681999
31111|NONE|0|0|0|0|0|682026
31113|NONE|0|0|0|0|0|682081
31114|PACIFIC NW IRONWKRS CU|5889|31245|8605||28529|682135
31116|NONE|0|0|0|0|0|682147
31117|NONE|0|0|0|0|0|682195
31118|Pinnacle Bank|1536449|0|169281|0|1367168|682197
31119|XEROX CORPORATION|6554||861||5693|682200
31120|NONE|0|0|0|0|0|682233
31122|BANK OF LABOR LOAN AT 4.65% DUE 5/21/23|0|3800000|9277|0|3790723|682304
31123|NONE|0|0|0|0|0|682407
31124|N/A|0|0|0|0|0|682430
31125|NONE|0|0|0|0|0|682456
31126|NONE|0|0|0|0|0|682476
31127|Automobile Loan|25183|0|6529||18654|682491
31128|NONE|0|0|0|0|0|682539
31129|NONE|0|0|0|0|0|682581
31130|NONE|0|0|0|0|0|682585
31131|NONE|0|0|0|0|0|682587
31132|NONE|0|0|0|0|0|682590
31133|NONE|0|0|0|0|0|682610
31134|NONE|0|0|0|0|0|682620
31135|NONE|0|0|0|0|0|682630
31137|N/A|0|0|0|0|0|682634
31138|OP&CMIA Lu 40 App. Fd.|105700|6200|0|0|111900|682640
31139|RAINBOW GMC||45893|0|0|45893|682641
31140|RAINBOW GMC||45354|0|0|45354|682641
31141|None|0|0|0|0|0|682689
31142|NONE|0|0|0|0|0|682722
31143|First Niagra|9670||9670||0|682734
31144|NONE|0|0|0|0|0|682760
31145|NONE|0|0|0|0|0|682762
31146|NONE|0|0|0|0|0|682763
31147|WESTERN STATE OPE PENSION|50129|0|486|0|49643|682822
31148|NONE|0|0|0|0|0|682837
31149|BANK OF LABOR|653072||63949||589123|682844
31150|NONE|0|0|0|0|0|682848
31151|Notes payable - vehicles|185048|0|33003|0|152045|682849
31152|Note payable - vehicles|0|26135|3754|0|22381|682849
31153|NONE|0|0|0|0|0|682859
31156|none|0|0|0|0|0|682897
31157|NONE|0|0|0|0|0|682901
31158|BANK OF O'FALLON MORTGAGE LOAN|50555|0|36558|0|13997|682903
31159|Chrysler|4983|0|4983|0|0|682905
31160|Ford Motor Credit|16050|0|16050|0|0|682925
31161|Ford Credit|0|12469|12775|0|0|682933
31162|FIRST MID-ILLINOIS BANK|1895|0|1895||0|682948
31163|CHASE AUTO FINANCE|15568|0|13355|0|2213|682953
31164|Long-term Debt|196687|0|28477|0|168210|682967
31165|0|0|0|0|0|0|682973
31166|CHASE|13084|0|5973|0|7111|682998
31167|ALLY BANK|47030|0|47030||0|683029
31168|NONE|0|0|0|0|0|683077
31169|POWER CREDIT UNION|176494||9870||166624|683086
31170|NONE|0|0|0|0|0|683105
31171|NONE|0|0|0|0|0|683108
31172|NONE|0|0|0|0|0|683113
31174|FORD MOTOR CREDIT|37578|0|10442|0|27136|683129
31175|FORD MOTOR CREDIT|45459|0|8996|0|36463|683129
31176|FORD MOTOR CREDIT|36862|0|10408|0|26454|683129
31177|FORD MOTOR CREDIT|30552|0|0|30552|0|683129
31178|T.D. BANK|94379|125000|94379|0|125000|683129
31179|NONE|0|0|0|0|0|683132
31180|FIRST COLLINSVILLE BANK|46260||14216||32044|683136
31181|FIRST COLLINSVILLE BANK|71412||21259||50153|683136
31182|FIRST COLLINSVILLE BANK|5711||5711||0|683136
31183|FIRST COLLINSVILLE BANK|83005||21830||61175|683136
31184|FIRST COLLINSVILLE BANK|0|29800|1825||27975|683136
31185|NONE|0|0|0|0|0|683146
31186|N/A|0|0|0|0|0|683203
31187|NONE|0|0|0|0|0|683212
31188|HORIZON BANK|403209|0|385202|0|18007|683222
31189|Ford Motor Credit|27281||4956||22325|683249
31190|AUTOMOBILE LOAN|18522||3894||14628|683254
31191|Diamond Credit Union|18364|0|4601|0|13763|683283
31192|NONE|0|0|0|0|0|683284
31193|Lessor-Pitney Bowes|25642||19056||6586|683298
31194|Lessor-Delange|61823||49079||12744|683298
31195|Lessor-Xerox|149376||44245||105131|683298
31196|Lessor-Presidio|28760||22823||5937|683298
31197|Lessor-Carousel|41224||8879||32345|683298
31198|Lessor-Presidio|99333||41286||58047|683298
31199|NONE|0|0|0|0|0|683300
31200|Ally Bank|21804|0|5499|0|16305|683306
31201|NONE|0|0|0|0|0|683314
31202|LAWLESS, INC.|17246||3874||13372|683315
31204|Automobile loans|40481|0|13564|0|26917|683324
31205|Community Bank|1274|0|1274|0|0|683326
31206|Great American Capital lease on projector 60 mo|27794||10673||17121|683328
31207|Copier lease - Pacific auto 60 mo|0|15008|581||14427|683328
31208|United Association|195000|0|98875||96125|683338
31209|CLEARVIEW FCU AUTO LOAN|29770|0|23640|0|6130|683348
31210|0|0|0|0|0|0|683354
31211|NONE|0|0|0|0|0|683371
31212|NONE|0|0|0|0|0|683372
31213|PROMISSORY NOTE|142401|0|47716|0|94685|683390
31214|NONE|0|0|0|0|0|683391
31215|Ford Credit|10715|0|6082|0|4633|683423
31216|Bank of Labor|493217|0|22419|0|470798|683423
31217|CREDIT CARDS|26729|6675|26729||6675|683438
31218|NO CA CARPENTERS REGIONAL COUNCIL|1587383|0|62330||1525053|683439
31219|FIRST SOUTHERN BANK|543567||43311||500256|683454
31220|FORD CREDIT|37970||7297||30673|683454
31221|XEROX||7550|318||7232|683454
31222|Bryn Mawr Trust Bank|94825|0|94825|0|0|683461
31223|PNC Bank|32000|0|32000|0|0|683461
31224|Massachusetts Nurses Association|264891|0|264891|0|0|683461
31225|NONE|0|0|0|0|0|683472
31226|NONE|0|0|0|0|0|683481
31227|BRENTWOOD BANK|1463224|0|93522|0|1369702|683484
31228|COMMERCE BANK|1229531||52594||1176937|683512
31229|NONE|0|0|0|0|0|683514
31230|NONE|0|0|0|0|0|683530
31231|TD Bank|67362||28168||39194|683533
31232|FileMaker 479||6819|||6819|683533
31233|Illinois Bank & Trust Auto Loans|32696|0|11111|0|21585|683541
31234|M & T Bank |0|4677|4677||0|683542
31235|NONE|0|0|0|0|0|683544
31236|BRYN  MAWR TRUST |4160366|0|1488211|0|2672155|683555
31237|AMALGAMATED BANK|2544841|0|2544841|0|0|683586
31238|CISCO SYSTEM CAPITAL CORP.|185759|0|185759|0|0|683586
31239|AMALGAMATED BANK|0|2748817|0|0|2748817|683586
31240|Not Applicable|0|0|0|0|0|683594
31241|FINANCIAL INSTITUTION|59728|0|59728|0|0|683613
31242|None|0|0|0|0|0|683647
31243|Horizon Bank|3232125|767875|123233|0|3876767|683655
31244|ALLY - 2017 GMC ACADIA|26147|0|6496|0|19651|683663
31245|Ford Motor Credit|5157||5157||0|683701
31246|Ford Motor Credit|38433||38433||0|683701
31247|Ford Motor Credit|31345||31345||0|683701
31248|Ford Motor Credit|33008||33008||0|683701
31249|Ford Motor Credit|38041||38041||0|683701
31250|Ford Motor Credit|33008||33008||0|683701
31251|Ford Motor Credit|38330||38330||0|683701
31252|Ford Motor Credit|30907||30907||0|683701
31253|Ford Motor Credit||39663|39663||0|683701
31254|FORD CREDIT|29397|0|29397|0|0|683702
31255|FORD CREDIT|0|42666|1121|0|41545|683702
31256|NONE|0|0|0|0|0|683707
31259|FORD MOTOR CREDIT CORP|12291||6392||5899|683712
31260|FORD MOTOR CREDIT CORP|12267||6379||5888|683712
31261|FORD MOTOR CREDIT CORP|12384||6440||5944|683712
31262|FORD MOTOR CREDIT CORP|11851||5925||5926|683712
31263|FORD MOTOR CREDIT CORP|11851||5925||5926|683712
31264|UNITED BUSINESS BANK LOAN|3363775||1060237||2303538|683718
31265|UBS FINANCIAL SERVICES|4875553||||4875553|683718
31266|Automobile Loans|67451|37592|13377|0|91666|683729
31267|NONE|0|0|0|0|0|683732
31268|NOT APPLICABLE|0|0|0|0|0|683733
31269|Chrysler Capital|110405|52491|41547|56601|64748|683734
31270|OLD NATIONAL BANK|0|100000|12000||88000|683739
31271|NONE|0|0|0|0|0|683748
31272|NONE|0|0|0|0|0|683759
31273|ANB Bank|0|12000|2655|0|9345|683772
31274|Western States OPEIU Pension Fund|102608|0|0|0|102608|683772
31275|NONE|0|0|0|0|0|683779
31276|Enterprise-Capital Lease on Vehicles|1596596|468958|621634||1443920|683781
31277|Auto Loan - Chevrolet Equinox|0|25193|6340||18853|683784
31278|NONE|0|0|0|0|0|683792
31279|WELLS FARGO|0|37627|37627||0|683794
31280|TEXAS FEDERATION OF TEACHERS|184261|0|82575||101686|683794
31281|CONSTRUCTION CRAFTS|345163|0|38004||307159|683794
31282|NJ STATE FRATERNAL ORDER OF POLICE|244946||5000||239946|683795
31283|Steelcase Finanical Service|21199||9356||11843|683799
31284|IBEW LOCAL NO. 313|146036|0|0|0|146036|683804
31285|IBEW LOCAL NO. 313|121114|0|0|0|121114|683804
31286|IBEW LOCAL NO. 313|112787|0|0|0|112787|683804
31289|Bank of Labor|293184|0|64166||229018|683823
31290|Ford Motor Credit|27473|27189|8694||45968|683835
31291|NONE|0|0|0|0|0|683842
31292|NONE|0|0|0|0|0|683845
31293|NONE|0|0|0|0|0|683848
31295|BANK OF AMERICA CREDIT CARDS-NET|8651||5530||3121|683858
31296|2015 CHEVY TRAVERSE|24144|0|24144|0|0|683865
31297|BANK OF HAWAII|850000||||850000|683867
31298|Bank of Labor|138461||138461||0|683879
31299|Line of credit|0|3454663|0|0|3454663|683882
31300|UNION BANK & TRUST CO|1981284|0|62427|0|1918857|683883
