OID|DESCRIPTION|COST_BASIS|DEPRECIATION|BOOK_VALUE|VALUE|ASSET_TYPE|RPT_ID
264420|110 Dry Road, Whitestown, NY|373915|11349|362567|362567|302|609380
264421|Automobiles and Other Vehicles|89815|44027|45788|45788|303|609380
264422|Office Furniture and Equipment|76550|64059|12491|12491|304|609380
264423|Other Fixed Assets|||||305|609380
275753|402 37th Street Richmond CA|452907|265695|187212|187212|302|614367
275752|402 37th Street Richmond CA|155000|0|155000|155000|301|614367
275754|Automobiles and Other Vehicles|||||303|614367
275755|Office Furniture and Equipment|112668|112006|662|662|304|614367
275756|Other Fixed Assets|4259|2555|2024|2024|305|614367
254040|NONE|0|0|0|0|301|596988
254041|NONE|0|0|0|0|302|596988
254042|Automobiles and Other Vehicles|121062|97289|23773|23773|303|596988
254043|Office Furniture and Equipment|33256|23994|9262|9262|304|596988
254044|Other Fixed Assets|22990|22990|0|0|305|596988
253994|814 Airport Blvd., Austin, Texas|124387|0|124387|1157820|301|596945
253995|814 Airport Blvd., Austin, Texas|4209998|494765|3715233|2368116|302|596945
253996|Automobiles and Other Vehicles|32722|21815|10907|12000|303|596945
253997|Office Furniture and Equipment|123070|101290|21780|21780|304|596945
253998|Other Fixed Assets|81378|32076|49302|49302|305|596945
257805|Automobiles and Other Vehicles|132968|111604|21364|21364|303|599201
257806|Office Furniture and Equipment|148837|139016|9821|9821|304|599201
257807|Other Fixed Assets|||||305|599201
257929|none|0|0|0|0|301|599290
257930|none|0|0|0|0|302|599290
257931|Automobiles and Other Vehicles|0|0|0|0|303|599290
257932|Office Furniture and Equipment|21250|13920|7330|7330|304|599290
257933|Other Fixed Assets|0|0|0|0|305|599290
261430|3300 US HWY 70 EAST, DURHAM, NC  27703||0|63500|63500|301|606201
261431|3300 US HWY 70 EAST, DURHAM, NC  27703|63500|63500|0|0|302|606201
261432|IMPROVEMENTS TO BUILDING|27912|542|27071|27071|302|606201
261433|Automobiles and Other Vehicles|9715|1943|324|324|303|606201
261434|Office Furniture and Equipment|5911|791|252|252|304|606201
261435|Other Fixed Assets|||||305|606201
267191|Other Fixed Assets|||||305|611022
267190|Office Furniture and Equipment|13492|11825|1666|1666|304|611022
267189|Automobiles and Other Vehicles|||||303|611022
273209|Land - 7320 S. University Ave., Little Rock, Ark|29902|0|29902|65000|301|613800
273210|Land - Lot, Little Rock, Ark|1|0|1|19160|301|613800
273211|Land - 7400 S. University Ave., Little Rock, Ark|80000|0|80000|80000|301|613800
273212|7320 S. University Ave., Little Rock, Ark|69761|68661|1100|170000|302|613800
273213|7400 S. University Ave., little Rock, Ark|206779||206779|22000|302|613800
273214|Shop Building, Little Rock, Ark|101950||101950|110000|302|613800
273215|Automobiles and Other Vehicles|55980||55980|86600|303|613800
273216|Office Furniture and Equipment|109787|1769|108018|68000|304|613800
273217|Other Fixed Assets|53162||53162|38000|305|613800
271609|248 Main St Forest Park GA|297500|124950|172550|297500|302|613019
271607|248 Main St Forest Park GA|52500|0|52500|52500|301|613019
271610|Muscle Shoals, Alabama|212500|89250|123250|212500|302|613019
271611|Automobiles and Other Vehicles|197787|40584|156933|156933|303|613019
271612|Office Furniture and Equipment|36574|30902|5672|5672|304|613019
271613|Other Fixed Assets|||||305|613019
271608|Muscle Shoals, Alabama|37500|0|37500|37500|301|613019
262030|Automobiles and Other Vehicles|||||303|607251
262031|Office Furniture and Equipment|26189|26189|26189|26189|304|607251
262032|Other Fixed Assets|||||305|607251
268632|325 South Ashland Avenue, Chicago, IL 60607|71168|0|71168|72000|301|611865
268633|333 South Ashland Avenue, Chicago,IL 60607|135522|0|135522|153000|301|611865
268634|Building- 333 S. Ashland Ave.-Chicago, IL 60607|856072|817290|38782|1350000|302|611865
268635|B.Improvements-333 S. Ashland, Chgo,IL 60607|154637|37370|117267|125000|302|611865
268636|Automobiles and Other Vehicles|756400|432347|324053|324053|303|611865
268637|Office Furniture and Equipment|449005|441461|7544|70000|304|611865
268638|Other Fixed Assets|0|0|0|0|305|611865
273945|Automobiles and Other Vehicles|||||303|614095
273946|Office Furniture and Equipment|12668|9037|3631|3631|304|614095
273947|Other Fixed Assets|16579|14124|2455|2455|305|614095
272207|Automobiles and Other Vehicles|||||303|613211
272208|Office Furniture and Equipment|8987||8987|8987|304|613211
272209|Other Fixed Assets|||||305|613211
265560|Automobiles and Other Vehicles|48687|41116|7571|7571|303|609963
265561|Office Furniture and Equipment|48534|46020|2514|2514|304|609963
265562|Other Fixed Assets|269120|67363|201757|201757|305|609963
282946|Automobiles and Other Vehicles|0|0|0|0|303|620071
282947|Office Furniture and Equipment|0|0|0|0|304|620071
282948|Other Fixed Assets|0|0|0|0|305|620071
282365|Other Fixed Assets|||||305|618130
282364|Office Furniture and Equipment|||||304|618130
282363|Automobiles and Other Vehicles|||||303|618130
265904|HONOLULU|136812|0|136812|0|301|610254
265905|MAUI 2|811259|0|811259|0|301|610254
265906|HILO|45236|0|45236|0|301|610254
265907|KAUAI|223984|0|223984|0|301|610254
265908|MAUI 3|341287|0|341287|0|301|610254
265909|HONOLULU|1106994|700408|406586|0|302|610254
265910|MAUI 2|1800348|755187|1045161|0|302|610254
265911|KAUAI|1520737|1024931|495806|0|302|610254
265912|HAWAII|464515|302496|162019|0|302|610254
265913|HONOLULU IMPROVEMENTS|2393|2393|0|0|302|610254
265914|OREGON IMPROVEMENTS|18401|13996|4405|0|302|610254
265915|Automobiles and Other Vehicles|0|0|0|0|303|610254
265916|Office Furniture and Equipment|2415220|2166049|249171|0|304|610254
265917|Other Fixed Assets|||||305|610254
259806|Automobiles and Other Vehicles|65214|65214|0|0|303|602288
259807|Office Furniture and Equipment|167683|150199|17484|17484|304|602288
259808|Other Fixed Assets|34066|25606|8460|8460|305|602288
259655|Automobiles and Other Vehicles|62659|38956|23703|23703|303|602173
259656|Office Furniture and Equipment|120430|111024|9406|9406|304|602173
259657|Other Fixed Assets|2729|2683|46|46|305|602173
258116|Other Fixed Assets|1314||1314|1000|305|599557
258112|Land (Boron, CA|2000|0|2000|2000|301|599557
258113|Building (Boron, CA)|306673|135684|170989|160000|302|599557
258114|Automobiles and Other Vehicles|||||303|599557
258115|Office Furniture and Equipment|159068|128313|30755|50000|304|599557
259418|NONE|0|0|0|0|301|602025
259419|NONE|0|0|0|0|302|602025
259420|NONE|0|0|0|0|302|602025
259421|Automobiles and Other Vehicles||||0|303|602025
259422|Office Furniture and Equipment||||0|304|602025
259423|Other Fixed Assets||||0|305|602025
258563|145 COLONIAL CT., MT. CLEMENS, MI 48043|234761|57713|177048|177048|302|600993
258564|Automobiles and Other Vehicles|||||303|600993
258565|Office Furniture and Equipment|33440|29331|4109|4109|304|600993
258566|Other Fixed Assets|||||305|600993
259171|17233 W Ten Mile Rd, Southfield, MI|20000|0|20000|20000|301|601817
259172|17233 W Ten Mile Rd, Southfield, MI|204447|204447|0|295461|302|601817
