OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
24908|JP MORGAN CHASE BANK|7538|0|7538|0|0|598760
23284|ALLY VEHICLE FINANCING|22221|0|2514|19707|0|573160
23380|Credit card Amalgamated Bank|6||6||0|575579
24515|N/A|0|0|0|0|0|587797
24591|Commerce Bank|12598|0|692||11906|591488
24630|Suntrust Line of Credit|622672|1776980|||2399652|592973
24647|NONE|0|0|0|0|0|593429
24648|DC 3 LEGAL SERVICES PLAN|122544|0|0|0|122544|593524
24649|GMAC - 2011 CHEVY IMPALA|7361|0|4742|0|2619|593680
24650|GMAC - 2010 CHRYSLER TOWN & COUNTRY|1249|0|1249|0|0|593680
24651|na|0|0|0|0|0|593743
24652|NONE|0|0|0|0|0|593751
24653|Ford Credit-Automobile|4627||2583||2044|594671
24656|OPEIU international union|45000|0|16250|0|28750|594697
24657|NONE|0|0|0|0|0|594706
24658|None|0|0|0|0|0|594751
24660|SEIU LOCAL 503|75000|0|75000|0|0|594770
24661|OHWBST|100000|100000|100000|0|100000|594770
24662|FORD MOTOR CORP|83061|45492|34712||93841|594810
24663|ALLY FINANCIAL|43265|0|0|43265|0|594810
24664|155 West 46 Owner LLC|4125293||142626||4083985|594853
24665|NONE|0|0|0|0|0|594873
24666|M&T Bank|0|703957|58663|0|645294|594924
24674|None|0|0|0|0|0|595579
24675|NONE|0|0|0|0|0|595585
24676|Northeastern Engineers Federal Credit Union|256417|0|14506|0|241911|595588
24677|Chase Bank|0|33311|4700|0|28611|595588
24678|Chase Bank|0|32663|4608|0|28055|595588
24731|None|0|0|0|0|0|597069
24679|POWERNET BANK|8128|0|5372|0|2756|595649
24680|Mortgage loan|655968|0|17273|0|638695|595694
24681|N/A|0|0|0|0|0|595709
24682|COMERICA BANK|1129511|0|168291||961220|595758
24684|HERGET BANK|11184|74656|18125||67715|595802
24685|FORD MOTOR CREDIT|36289|49311|13245||72355|595802
24686|MORTON COMM BANK|0|25745|412||25333|595802
24687|FORD CREDIT|0|10000|709||9291|595811
24689|AUTOSERV OF TILTON NH|36186|0|15157|0|21029|595893
24690|CHASE BANK|1002152|0|57998||944154|595901
24691|PITNEY BOWES|4468|0|1787||2681|595901
24692|XEROX CORPORATION|7405|0|2074||5331|596141
24693|Note Payable Vehicle|0|33708|447|0|33261|596143
24694|Mortgage Payable|184552|0|184552|0|0|596143
24696|NONE|0|0|0|0|0|596194
24697|NONE|0|0|0|0|0|596412
24709|Kerbeck Cadillac|42660|0|42660|0|0|596716
24710|FORD CREDIT|4448|0|4448|0|0|596748
24713|NONE|0|0|0|0|0|596765
24714|N/A|0|0|0|0|0|596778
24715|N/A|0|0|0|0|0|596854
24716|N/A|0|0|0|0|0|596856
24717|GMAC|29507|0|29507|0|0|596863
24718|VEHICLE NOTES|39918|0|21295|0|18623|596916
24719|NONE|0|0|0|0|0|596920
24724|SUNTRUST BANK|40418339|0|0|0|40418339|596960
24725|NONE|0|0|0|0|0|596988
24726|NONE|0|0|0|0|0|596994
24727|WEST COAST BANK|109329||81141||28188|596995
24730|NONE|0|0|0|0|0|597003
24734|WESTERN STATES OPE|51404|0|397|0|51007|597094
24736|Ally Bank|6620|0|6620|0|0|597139
24737|Ford Credit|0|40981|4303|0|36678|597139
24738|South State Bank|278941||244887||34054|597212
24739|BANK OF LABOR|822337||52998||769339|597384
24740|0|0|0|0|0|0|597409
24741|PAC NW IRONWKRS CU|15376|0|3098|0|12278|597464
