RPT_ID|ACCOUNTS_PAYABLE_START|ACCOUNTS_PAYABLE_END|LOANS_PAYABLE_START|LOANS_PAYABLE_END|MORTGAGE_PAYABLE_START|MORTGAGE_PAYABLE_END|OTHER_LIABILITIES_START|OTHER_LIABILITIES_END|TOTAL_START
668001|0|0|0|0|0|0|0|0|
680118|||||||||
667115|0|0|34322|26142|248913|235369|7907|11808|
667184|0|0|0|0|0|0|0|0|
673069|0|0|0|0|0|0|0|0|0
671511|0|0|0|0|0|0|0|0|
671529|0|0|0|0|0|0|0|0|
675708|528|809|0||0||0||528
674015|0|0|0|0|0|0|0|0|
674095|0|0|0|0|0|0|0|0|
680914|0|0|0|0|0|0|0|0|
674490|4393|50191|0|0|0|0|0|4539|4393
670050|525|525|0|0|0|0|0|0|
677764|0|0|0|0|0|0|0|0|
675979|0|0|0|0|0|0|0|0|
676012|0|0|0|0|0|0|0|0|0
648056|0|0|0|0|0|0|0|0|0
674756|0|0|0|0|0|0|0|0|
676904|0|0|0|0|0|0|2007|2007|2007
676780|0|0|0|0|0|0|0|0|
676861|0|0|0|0|0|0|0|905|
665644|0|0|0|0|0|0|0|0|
677252|0|0|0|0|0|0|0|0|
677328|0|0|0|0|0|0|0|0|
677380|0|0|0|0|0|0|0|0|
692121|0|0|0|0|0|0|0|0|
653571|0|0|0|0|0|0|0|0|0
677751|0|0|0|0|0|0|0|0|
653495|0|0|0|0|0|0|0|0|0
679742|0||0||0|0|0||
652701|0|0|||||1079|1963|1079
679264||0||0||0|226|286|
682303|0|0|0|0|0|0|0|0|
657695|0|0|0|0|0|0|0|0|0
680202|3075|1082|0|0|0|0|0|0|
680339|0|0|0|0|0|0|0|0|
680092|0||0||0|0|0||
679843|0|0|0|0|0|0|0|0|
671945|||||0|0|2149|357|
653362|0|0|0|0|0|0|0|0|0
680749|0|0|0|0|0|0|0|0|
653111|0|0|0|0|0|0|0|0|0
710993|0|0|0|0|0|0|636|695|
738184|0|0|0|0|0|0|0|0|
681121|0|250|0|0|0|0|0|0|
680921|0|0|0|0|0|0|0|0|
683210|0|0|0|0|0|0|0|0|
681628|0|0|0|0|0|0|0|0|
654377|31506|9992|0|0|0|0|207536|202947|
656905|0|0|0|0|0|0|0|0|
681439|0|0|0|0|0|0|0|0|
654644|||||2876795|2721965|224881|231184|
654685|0|0|0|0|0|0|569|569|
655102|0|0|0|0|0|0|0|0|
655540|77450|42453|||0|0|4998||
654710|0|0|0|0|0|0|0|0|
656470|0|3|0|0|0|0|3699|4846|
656310||5450|||0|0|3307|5461|
656794|0|0|0|0|0|0|0|0|
684650|0|0|714|714|0|0|0|0|
657341|0|0|0|0|0|0|0|0|0
655224|0|0|0|0|0|0|0|0|0
657035|4567|5571|0|0|0|0|0|0|4567
668198|893|359|0|0|0|0|2780|860|
660372|0|0|0|0|0|0|1043|0|
668651|0|0|0|0|0|0|0|0|
669765||0||0||0|418|487|
663350|0|0|0|0|0|0|0|0|
662588|0|0|0|0|0|0|437|0|
661135|0|0|0|0|0|0|0|0|
660394|0|0|0|0|0|0|0|0|
675824|0|0|0|0|0|0|0|0|
666230|0|0|0|0|0|0|276|261|276
660912|0|0|0|0|0|0|0|0|
659907|0|0|0|0|0|0|0|0|
669175|0|65|0|0|0|0|784|1577|
680158|0|0|0|0|0|0|0|0|
677071|0|0|0|0|0|0|0|0|
667135|||||0|0|1054|1369|
666307|490|349|||0|0|6782|9309|
666496|0|0|0|0|0|0|0|0|
674899|0|0|0|0|0|0|0|0|
659886|0|0|0|0|0|0|0|0|
673191|||||0|0|||
673307|0|0|0|0|0|0|0|300|0
663888|0|0|0|0|0|0|0|0|0
672009||||0|0|0|4142|643|
675831|0|0|0|0|0|0|0|0|
666439|0|66800|0||697245|663812|100|51652|
679840|0|0|0|0|0|0|0|0|
667078|40944|40732|0||0|143269|503|627|
669672|0|0|1412492|1397885|0|0|1378137|1332312|
668897|0|0|0|0|0|0|392|379|
679954|0|0|0|0|0|0|0|0|
673220|0|0|0|0|0|0|0|0|
662618|0|0|0|0|0|0|0|0|
673841|0|0|0|0|0|0|0|0|
664777|0|0|0|0|0|0|0|0|
661070|0|0|0|0|0|0|0|0|
669625|1393|1249|0|0|0|0|0|0|1393
675213|0|0|0|0|0|0|0|0|
677778|0|0|0|0|0|0|0|0|
675749|0|0|0|0|0|0|0|0|
733994|0|0|0|0|0|0|0|0|
669684|0|0|0|0|0|0|0|0|
665931|6823|5168|0|0|0|0|1355|305|
703905|0|0|0|0|0|0|0|0|
675734|0|0|0|0|0|0|0|0|
663476|0|0|0|0|0|0|0|0|
660028|0|0|0|0|0|0|0|0|0
664809|0|0|0|0|0|0|0|0|
676803|0|0|0|0|0|0|0|0|
672658|||25|0|0|0|51|77|
656691|840|0|0|0|0|0|0|0|
675803|33749|22586|||0|0|6020|6943|
661795|0|0|0|0|0|0|0|0|
678891|0|0|0|0|0|0|0|0|
669896|0|0|0|0|0|0|0|0|
670640|0||0||0|0|0||
659086|0|0|0|0|0|0|0|0|0
666227|0|0|0|0|0|0|0|0|0
660088|0|0|0|0|0|0|0|0|
664899|8306|8937|0|0|0|0|0|0|
674659|0|0|0|0|0|0|0|0|0
670918|0|0|0|0|0|0|0|0|
666236|0|0|0|0|0|0|0|0|0
666011|0|0|0|0|0|0|1646|948|
676426|175|1403|0|0|0|0|0|0|
669626|0|0|0|0|0|0|0|0|0
669360|0|0|0|0|0|0|0|0|
666460|0|0|0|0|0|0|0|0|
665114|0|0|0|0|0|0|414|577|
660815|0|0|0|0|0|0|5014|0|
666170|0|0|0|0|0|0|49|53|49
663343|0|0|0|0|0|0|541|497|
669165|0|0|0|0|0|0|0|0|
669637|0|0|0|0|0|0|0|0|
671356|0|0|0|0|0|0|0|0|
670439|0|0|0|0|0|0|0|0|
668004|0|0|0|0|0|0|77|134|
668811|0|3594|0|0|0|0|500|0|
657864||||||0|||
674943|0|0|0|0|0|0|0|0|
675156|0|0|0|0|0|0|463|535|
666435|0|0|0|0|0|0|0|0|
675480|0|0|0|0|0|0|0|0|
663168|0|0|0|0|0|0|0|0|
663336|0|0|0|0|0|0|0|0|
687108|0|0|0|0|0|0|0|0|
664508|0|0|0|0|0|0|0|0|
674101||||0|0|0|||
673703|0|0|0|0|0|0|14784|0|
676972|||||||||
670151|0|0|0|0|0|0|0|0|
663216|0|0|0|0|0|0|0|0|
680816|0|0|0|0|0|0|0|890|
727039|534453|389109|0|0|0|0|7985073|8857712|
657944|0|0|0|0|0|0|0|0|
664181|0|0|0|0|0|0|0|0|
659514|0|0|0|0|0|0|0|0|
659014|16355|3490|0|0|0|0|125935|160913|
659093|5621|6763|0|0|0|0|0|0|
657539|20440|54871|0|0|0|0|28563|41715|
658590|0|0|0|0|0|0|0|0|
655245|0|0|0|0|0|0|375|441|
662105|0|0|0|0|0|0|919|1080|
660909|0|0|0|0|0|0|0|0|
658480|||||0|0|495||
658917|1233|0|0|0|0|0|0|6775|
676565|0|0|0|0|0|0|0|0|
666695|0|0|0|0|0|0|0|0|
663593|0|0|0|0|0|0|0|0|
680440|0|0|0|0|0|0|0|0|
668181|2025|2713|0|0|0|0|0|425|
662143|0|0|0|0|0|0|0|0|
662068|0|0|0|0|0|0|0|0|
650001|0|0|0|0|0|0|0|0|
656911|0|0|0|0|0|0|0|0|
647929|0||||0|0|12804||
665511|0|0|0|0|0|0|0|0|
667661|0|0|0|0|0|0|0|0|
