OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
486338|1102|na|na|na|na|647548
524716|1104|||||666982
524717|1105|||||666982
518318|1105|0|0|0|0|664785
522225|1104|0|0|0|0|666166
522226|1105|0|0|0|0|666166
518319|1101|62.50|1|0|0|664787
518320|1103|||||664787
518321|1104|||||664787
518322|1105|||||664787
530433|1105|0|NA|NA|NA|668790
494646|1103|n/a|n/a|n/a|n/a|655121
510384|1103|10|once|10|10|661602
510385|1104|0|0|0|0|661602
510386|1105|0|0|0|0|661602
552427|1103|$0||||677780
494647|1104|n/a|n/a|n/a|n/a|655121
552428|1104|$0||||677780
552429|1105|$0||||677780
494648|1105|n/a|n/a|n/a|n/a|655121
499807|1101|$18|MONTH|$6|$18|656802
499808|1102|NA||||656802
446512|1101|.45|MONTH|NONE|NONE|629152
446513|1103|NONE|NONE|NONE|NONE|629152
446514|1104|NONE|NONE|NONE|NONE|629152
446515|1105|NONE|NONE|NONE|NONE|629152
494649|1101|Variable|Month|$9.00|$25.00|655129
494650|1102|||||655129
450087|1101|$13.90|month|N/A|N/A|630882
450088|1103|0|N/A|N/A|N/A|630882
450089|1104|N/A|N/A|N/A|N/A|630882
450090|1105|N/A|N/A|N/A|N/A|630882
450522|1101|$16|month|N/A|N/A|631178
450523|1103|$250|Init.|N/A|N/A|631178
450524|1104|N/A|N/A|N/A|N/A|631178
450525|1105|N/A|N/A|N/A|N/A|631178
450526|1101|16|month|16|16|631179
450527|1103|N/A|N/A|N/A|N/A|631179
450528|1104|N/A|N/A|N/A|N/A|631179
450529|1105|N/A|N/A|N/A|N/A|631179
450530|1101|$16|MONTH|N/A|N/A|631180
450531|1103|$325|ONCE|N/A|N/A|631180
450532|1104|N/A|N/A|N/A|N/A|631180
450533|1105|N/A|N/A|N/A|N/A|631180
450534|1101|$16|month|N/A|N/A|631181
450535|1103|$250|once|N/A|N/A|631181
450536|1104|N/A|N/A|N/A|N/A|631181
450537|1105|N/A|N/A|N/A|N/A|631181
450538|1101|$15|MONTH|N/A|N/A|631182
450539|1103|$300|ONCE|N/A|N/A|631182
450540|1104|N/A|N/A|N/A|N/A|631182
450541|1105|N/A|N/A|N/A|N/A|631182
450562|1101|$20|MONTH|$6|$20|631188
450563|1103|$300|ONCE|N/A|N/A|631188
450564|1104|N/A|N/A|N/A|N/A|631188
450565|1105|N/A|N/A|N/A|N/A|631188
450570|1101|29|MONTH|29|29|631190
450571|1103|325|ONCE|325|325|631190
450572|1104|0|N/A|0|0|631190
450573|1105|0|N/A|0|0|631190
450574|1101|$6-25|Mo.|$6|$25|631191
450575|1103|$30-150|Init.|$30|$150|631191
450576|1104|N/A|N/A|N/A|N/A|631191
450577|1105|N/A|N/A|N/A|N/A|631191
450578|1101|16.00|MONTH|16.00|16.00|631192
450579|1103|105.00|ONCE|105.00|105.00|631192
450580|1104|0|N/A|N/A|N/A|631192
450581|1105|0|N/A|N/A|N/A|631192
450582|1101|6-22|MONTH|6|22|631193
450583|1103|150|INIT|150|150|631193
450584|1104|N/A|N/A|N/A|N/A|631193
450585|1105|N/A|N/A|N/A|N/A|631193
450586|1101|$6.22|month|$6|$22|631194
450587|1103|$150|once|$30|$150|631194
450588|1104|N/A|N/A|N/A|N/A|631194
450589|1105|N/A|N/A|N/A|N/A|631194
450590|1101|$24|month|$6|$24|631195
450591|1103|$150|once|N/A|N/A|631195
450592|1104|N/A|N/A|N/A|N/A|631195
450593|1105|N/A|N/A|N/A|N/A|631195
450594|1101|$6-$25.40|month|6|25.40|631196
450595|1102|N/A|N/A|N/A|N/A|631196
450596|1103|325|INIT|325|325|631196
450597|1104|N/A|N/A|N/A|N/A|631196
450598|1105|N/A|N/A|N/A|N/A|631196
450599|1101|20.00|MONTH|6.00|20.00|631197
450600|1103|150.00|ONCE|150.00|150.00|631197
450601|1104|0|N/A|N/A|N/A|631197
450602|1105|0|N/A|N/A|N/A|631197
450607|1101|6-25|MONTH|6|25|631199
450608|1103|325|INIT|325|325|631199
450609|1104|N/A|N/A|N/A|N/A|631199
450610|1105|N/A|N/A|N/A|N/A|631199
450616|1101|21.00|month|21.00|21.00|631201
450617|1103|325.00|Init.|325.00|325.00|631201
450618|1104|N/A|N/A|N/A|N/A|631201
450619|1105|N/A|N/A|N/A|N/A|631201
450620|1101|60|Qtr|60|63|631202
450621|1103|350|ONCE|N/A|N/A|631202
450622|1104|0|N/A|N/A|N/A|631202
450623|1105|0|N/A|N/A|N/A|631202
450624|1101|22.00|MONTH|0|22.00|631203
450625|1103|0|N/A|0|0|631203
450626|1104|0|N/A|0|0|631203
450627|1105|0|N/A|0|0|631203
450628|1101|$6 - 21|Mo.|6.00|21.00|631204
450629|1103|300.00|Init.|300.00|300.00|631204
450630|1104|N/A|N/A|N/A|N/A|631204
450631|1105|N/A|N/A|N/A|N/A|631204
450632|1101|$20|MONTH|N/A|N/A|631205
450633|1103|$325|ONCE|N/A|N|631205
450634|1104|N/A|N/A|N/A|N/A|631205
450635|1105|N/A|N/A|N/A|N/A|631205
450636|1101|20.00|M|6.00|20.00|631206
450637|1103|300|ONCE|50.00|300.00|631206
450638|1104|0|N/A|N/A|N/A|631206
450639|1105|0|N/A|N/A|N/A|631206
450640|1101|$17|month|N/A|N/A|631207
450641|1103|$75|once|N/A|N/A|631207
450642|1104|N/A|N/A|N/A|N/A|631207
450643|1105|N/A|N/A|N/A|N/A|631207
450644|1101|$20|month|$6|$60|631208
450645|1103|$300|once|$60|$325|631208
450646|1104|N/A|N/A|N/A|N/A|631208
450647|1105|N/A|N/A|N/A|N/A|631208
450648|1101|25|MONTH|25|25|631209
450649|1103|300|ONCE|300|300|631209
450650|1104|N/A|N/A|0|0|631209
450651|1105|N/A|N/A|0|0|631209
450652|1101|8.80|week|8.80|8.80|631210
450653|1103|105|init|NA|NA|631210
450654|1104|NA|NA|NA|NA|631210
450655|1105|NA|NA|NA|NA|631210
450656|1101|6-25|month|6|25|631211
450657|1102|N/A|N/A|N/A|N/A|631211
450658|1103|30-150|INIT|30|150|631211
450659|1104|N/A|N/A|N/A|N/A|631211
450660|1105|N/A|N/A|N/A|N/A|631211
450661|1101|25|MONTH|6.00|25.00|631212
450662|1103|325|ONCE|325|325|631212
450663|1104|N/A|N/A|N/A|N/A|631212
450664|1105|N/A|N/A|N/A|N/A|631212
450665|1101|16.00|month|16.00|16.00|631213
450666|1102|N/A|N/A|N/A|N/A|631213
450667|1103|60-325|Init.|60.00|325.00|631213
450668|1104|N/A|N/A|N/A|N/A|631213
450669|1105|N/A|N/A|N/A|N/A|631213
494651|1103|||||655129
494652|1104|||||655129
494653|1105|||||655129
452505|1101|15|Mo|15|15|632256
452506|1103|425|1 time|425|425|632256
452507|1104|||||632256
452508|1105|||||632256
524718|1101|100|400|100|800|666983
524719|1103|||||666983
524720|1104|||||666983
454545|1101|13.12-52.47|MONTH|13.12|52.47|633781
454546|1102|NA|NA|NA|NA|633781
454547|1103|3|NA|NA|NA|633781
454548|1104|NA|NA|NA|NA|633781
454549|1105|NA|NA|NA|NA|633781
454558|1101|18.50/ 34.48|BiWeekly|18.50 - regular dues|34.48 dues& dental|633787
454559|1102|||||633787
454560|1103|||||633787
454561|1104|||||633787
454562|1105|||||633787
455639|1101|$38|month|0|38|634338
455640|1102|$1.27-2.60|hour|1.27|2.60|634338
455641|1103|$300|person|300|300|634338
455642|1104|0|n/a|none|none|634338
455643|1105|0|n/a|none|none|634338
524721|1105|||||666983
455816|1101|12.25|1|10.00|15.25|634471
455817|1103|40|1|10.00|15.25|634471
455818|1104|0|0|0|0|634471
455819|1105|0|0|0|0|634471
456449|1101|16-18|BIWEEKLY|16|18|634696
456450|1102|N/A|N/A|N/A|N/A|634696
456451|1103|N/A|N/A|N/A|N/A|634696
456452|1104|N/A|N/A|N/A|N/A|634696
456453|1105|N/A|N/A|N/A|N/A|634696
456637|1101|2 1/2 HRS|MONTH|N/A|N/A|634799
456638|1102|N/A|N/A|N/A|N/A|634799
456639|1103|$40|NewHire|N/A|NA/|634799
456640|1104|NA/|N/A|N/A|N/A|634799
456641|1105|||||634799
456674|1101|$20.00- $70.00|MONTH|$20.00|$70.00|634818
456675|1102|NONE|N/A|N/A|N/A|634818
456676|1103|NONE|N/A|N/A|N/A|634818
456677|1104|NONE|N/A|N/A|N/A|634818
456678|1105|NONE|N/A|N/A|N/A|634818
458391|1101|1.45%|Month|5|2.8 X Gross|635657
458392|1102|0|N/A|N/A|N/A|635657
458393|1103|10|Once|10|10|635657
458394|1104|0|N/A|N/A|N/A|635657
458395|1105|0|N/A|N/A|N/A|635657
459163|1101|4%|MONTH|NA|NA|635992
459164|1103|NA|NA|NA|NA|635992
459165|1104|NA|NA|NA|NA|635992
459166|1105|NA|NA|NA|NA|635992
459674|1101|33.25|month|8.40|33.25|636159
459675|1102|4%|month|4%|4%|636159
459676|1103|500.00|occurrence|100.00|500.00|636159
459677|1104|1.00|occurrence|1.00|1.00|636159
459678|1105|5.00|occurrence|5.00|5.00|636159
461992|1101|140|year|35|140|637243
461993|1103|85|one time|||637243
461994|1104|85|one time|||637243
461995|1105|none|none|||637243
494658|1101|$28.00|MONTH|N/A|N/A|655141
494659|1103|N/A|New Member|$60.00|$300.00|655141
494660|1104|N/A|N/A|N/A|N/A|655141
494661|1105|N/A|N/A|N/A|N/A|655141
494662|1101|$14.90|Month|N/A|N/A|655142
463719|1101|20|0|20|20|637949
463720|1103|||||637949
463721|1104|||||637949
463722|1105|||||637949
494663|1103|N/A|N/A|N/A|N/A|655142
465245|1101|40|month|8.40|40|638438
465246|1102|7%|of gross|N/A|N/A|638438
465247|1103|100|initiation|||638438
465248|1104|0||N/A||638438
465249|1105|0||N/A||638438
465802|1101|$32.00 - $37.00 + 6%|MONTH|$32.00|$37.00|638628
465803|1102|NONE|NONE|||638628
465804|1103|$100 - $800|MEMBER|$100|$800|638628
465805|1104|$1|TRANSFER|||638628
465806|1105|$5|WEEK|||638628
494664|1104|N/A|N/A|N/A|N/A|655142
467345|1101|15.50|Pay Period|15.50|15.50|639081
467346|1103|||||639081
467347|1104|||||639081
467348|1105|||||639081
467932|1101|17.00|0|0|0|639275
467933|1103|||||639275
467934|1104|||||639275
467935|1105|||||639275
494665|1105|N/A|N/A|N/A|N/A|655142
494666|1101|$35|Month|$35|$35|655143
515820|1101|54.80|month|n/a|n/a|663674
530434|1101|4.50|month|0|4.50|668791
530435|1102|0||1%|4%|668791
530436|1103|0||0|0|668791
530437|1104|0||0|0|668791
494667|1103|$500|Initiation|$150|$500|655143
494668|1104|N/A|N/A|N/A|N/A|655143
530438|1105|0||0|0|668791
494669|1105|N/A|N/A|N/A|N/A|655143
494670|1101|5.00|member|5.00|5.00|655146
494671|1103|2.00|member|2.00|2.00|655146
494672|1104|||||655146
494673|1105|||||655146
494674|1101|547|YR|0|0|655151
494675|1103|0|0|0|0|655151
494676|1104|0|0|0|0|655151
494677|1105|0|0|0|0|655151
494678|1101|SEE ATTACHED|MONTH|N/A|N/A|655160
494679|1102|0|N/A|N/A|N/A|655160
494680|1103|100.00|ONCE|N/A|N/A|655160
477530|1101|28.78|Bi-Weekly|0|0|642259
477531|1103|0||0|0|642259
477532|1104|0||0|0|642259
477533|1105|0||0|0|642259
494681|1104||N/A|N/A|N/A|655160
494682|1105||N/A|N/A|N/A|655160
530439|1101|X4%|WAGES|N/A|N/A|668792
480001|1101|0|MONTH|25.00|81.00|642967
480002|1102|0|0|0|0|642967
480003|1103|0|APP.|200.00|1,000.00|642967
480004|1104|0||0|0|642967
480005|1105|0|MONTH|83.25|104.00|642967
482079|1101|$5.00|Month|0|0|643569
482080|1103|0|0|0|0|643569
482081|1104|0|0|0|0|643569
482082|1105|0|0|0|0|643569
494683|1101|170/210|yr|170|210|655179
494684|1103|210||0|0|655179
483267|1101|2.5 hours|month|na|na|643893
483268|1103|na|na|na|na|643893
483269|1104|na|na|na|na|643893
483270|1105|na|na|na|na|643893
494685|1104|0||0|0|655179
483622|1101|25|month|0|$25|644182
483623|1102|||0|8% gross wages|644182
483624|1103|||$250|$500|644182
483625|1104|||||644182
483626|1105|||||644182
483852|1101|2.5 strait time ours|month|1.44%|1.44%|644858
483853|1103|10.|one time|NA|NA|644858
483854|1104|N/A||NA|NA|644858
483855|1105|N/A||NA|NA|644858
494686|1105|0||0|0|655179
484819|1101|2.5 straight time hours|Month|N/A|N/A|646675
484820|1103|50|New Member|N/A|N/A|646675
484821|1104|N/A|N/A|N/A|N/A|646675
484822|1105|N/A|N/A|N/A|N/A|646675
484977|1101|5.00|year|0|0|646802
484978|1103|15.00|year|0|0|646802
484979|1104|0|year|0|0|646802
484980|1105|0|year|0|0|646802
485067|1101|8.75|hour|8.75|9.90|646897
485068|1103|50|member|||646897
485069|1104|||||646897
485070|1105|||||646897
485619|1101|24.67|52|24.67|24.67|647160
485620|1103|||||647160
485621|1104|||||647160
485622|1105|||||647160
485645|1101|24.65|bi-weekly|0|0|647168
485646|1103|0||0|0|647168
485647|1104|0||0|0|647168
485648|1105|0||0|0|647168
485856|1101|18.00|X|0|0|647242
485857|1103|0|0|0|0|647242
485858|1104|0|0|0|0|647242
485859|1105|0|0|0|0|647242
486124|1101|208|yr|208|208|647422
486125|1103|||||647422
486126|1104|||||647422
486127|1105|||||647422
530440|1102|N/A|N/A|N/A|N/A|668792
486144|1101|$6.87 - $13.71|bi-weekly|$6.87|$13.71|647430
486145|1103|||||647430
486146|1104|||||647430
486147|1105|||||647430
486218|1101|0|0|0|0|647464
486219|1103|0|0|0|0|647464
486220|1104|0|0|0|0|647464
486221|1105|0|0|0|0|647464
486337|1101|na|month|$22.00|$34.00|647548
489475|1103|N/A|N/A|N/A|N/A|649669
486339|1103|na|na|na|na|647548
486340|1104|na|na|na|na|647548
486341|1105|na|na|na|na|647548
486373|1101|31.00|1|0|0|647556
486374|1103|31.00|1|0|0|647556
486375|1104|0|0|0|0|647556
486376|1105|0|0|0|0|647556
486540|1101|50|MONTH|50|1219|647646
486541|1103|||||647646
486542|1104|||||647646
486543|1105|||||647646
486578|1101|$24.63|Bi-weekly|0|0|647669
486579|1103|0||0|0|647669
486580|1104|0||0|0|647669
486581|1105|0||0|0|647669
486782|1101|0|0|0|0|647745
486783|1103|0|0|0|0|647745
486784|1104|0|0|0|0|647745
486785|1105|0|0|0|0|647745
486790|1101|20|MONTH|20|20|647747
486791|1103|300|NEW MBR|300|300|647747
486792|1104|||||647747
486793|1105|||||647747
486832|1101|.80|month|na|na|647771
486833|1103|na|na|na|na|647771
486834|1104|na|na|na|na|647771
486835|1105|na|na|na|na|647771
486882|1101|3.00|Mo|0|0|647786
486883|1103|||||647786
486884|1104|||||647786
486885|1105|||||647786
486890|1101|43.90|month|21.95|43.90|647789
486891|1103|||||647789
486892|1104|||||647789
486893|1105|||||647789
486894|1101|26.68|PAYPERIOD|26.68|26.68|647790
486895|1103|0||||647790
486896|1104|0||||647790
486897|1105|0||||647790
487040|1101|VARIES|MONTH|16|18|647899
487041|1102|1.3 X hourly rate|HOURLY|40.36|107.25|647899
487042|1103|30.00|INITIATE|30.00|30.00|647899
487043|1104|N/A|N/A|N/A|N/A|647899
487044|1105|N/A|N/A|N/A|N/A|647899
487082|1101|49.26|MONTH|0|0|647912
487083|1103|0|0|0|0|647912
487084|1104|0|0|0|0|647912
487085|1105|0|0|0|0|647912
487140|1101|32.90|Month|32.90|32.90|647929
487141|1102|32.90|Month|32.90|32.90|647929
487142|1103|N/A|N/A|N/A|N/A|647929
487143|1104|N/A|N/A|N/A|N/A|647929
487144|1105|N/A|Event|N/A|N/A|647929
487357|1101|1.20|member|1.20|1.20|648105
487358|1103|||||648105
487359|1104|||||648105
487360|1105|||||648105
487373|1101|88.79|MONTH|N/A|N/A|648113
487374|1103|200|ONCE|N/A|N/A|648113
487375|1104|N/A|N/A|N/A|N/A|648113
487376|1105|N/A|N/A|N/A|N/A|648113
487646|1101|30/20|MO|20|30|648274
487647|1103|25|NA|||648274
487648|1104|||||648274
487649|1105|||||648274
487742|1101|34|month|408|408|648370
487743|1103|||||648370
487744|1104|||||648370
487745|1105|||||648370
487766|1101|99.50|MONTH|N/A|N/A|648382
487767|1103|100.00|ONCE|N/A|N/A|648382
487768|1104|NONE|N/A|N/A|N/A|648382
487769|1105|NONE|N/A|N/A|N/A|648382
487775|1101|27.10|MONTH|0|50.05|648385
487776|1103|22.95|EVENT|0|50.05|648385
487777|1104|0|MONTH|0||648385
487778|1105|0|MONTH|0||648385
487955|1101|2 1/2 hours strait time|month|1.44%|1.44%|648535
487956|1103|$20|1 time|NA|NA|648535
487957|1104|NA|NA|NA|NA|648535
487958|1105|NA|NA|NA|NA|648535
488133|1101|$3.00|Month|0|0|648624
488134|1103|0|0|0|0|648624
488135|1104|0|0|0|0|648624
488136|1105|0|0|0|0|648624
488150|1101|20.38|Period|0|0|648635
488151|1103|||||648635
488152|1104|||||648635
488153|1105|||||648635
488218|1101|23.58|biweekly|n/a|n/a|648693
488219|1102|||||648693
488220|1103|||||648693
488221|1104|||||648693
488222|1105|||||648693
494687|1101|$6-$100|MONTH|$6|$100|655181
488390|1101|$300|Quarter|$300|$300|648779
488391|1103|N/A|N/A|N/A|N/A|648779
488392|1104|N/A|N/A|N/A|N/A|648779
488393|1105|N/A|N/A|N/A|N/A|648779
488461|1101|83.50|MONTH|77.00|83.50|648829
488462|1102|NONE|N/A|N/A|N/A|648829
488463|1103|100.00|ONCE|N/A|N/A|648829
488464|1104|NONE|N/A|N/A|N/A|648829
488465|1105|NONE|N/A|N/A|N/A|648829
488470|1101|70.00|MONTH|N/A|N/A|648832
488471|1103|100.00|ONCE|N/A|N/A|648832
488472|1104|NONE|N/A|N/A|N/A|648832
488473|1105|NONE|N/A|N/A|N/A|648832
488498|1101|84.25|MONTH|N/A|N/A|648884
488499|1102|NONE|N/A|N/A|N/A|648884
488500|1103|100.00|ONCE|N/A|N/A|648884
488501|1104|NONE|N/A|N/A|N/A|648884
488502|1105|NONE|N/A|N/A|N/A|648884
488529|1101|$26.58|2 weeks|$16.50|$26.58|648892
488530|1103|0||0|0|648892
488531|1104|0||0|0|648892
488532|1105|0||0|0|648892
488581|1101|24.63|biweekly|24.63|24.63|648924
488582|1103|0||0|0|648924
488583|1104|0||0|0|648924
488584|1105|0||0|0|648924
494688|1102|N/A||||655181
488684|1101|2.5 hours straight time pay|Month|N/A|N/A|649020
488685|1103|20.00|Month|N/A|N/A|649020
488686|1104|N/A||N/A|N/A|649020
488687|1105|N/A||N/A|N/A|649020
488705|1101|$88.00|MONTH|N/A|N/A|649054
488706|1103|$100|ONCE|N/A|N/A|649054
488707|1104|NONE|N/A|N/A|N/A|649054
488708|1105|NONE|N/A|N/A|N/A|649054
488753|1101|1.5|GROSS|22.00|N/A|649131
488754|1103|25.00|ONCE|N/A|N/A|649131
488755|1104|N/A|N/A|N/A|N/A|649131
488756|1105|N/A|N/A|N/A|N/A|649131
488780|1101|148|All|70/yr|148/yr|649142
488781|1103|115|All|0|115|649142
488782|1104|NA|All|NA|NA|649142
488783|1105|NA|All|NA|NA|649142
488818|1101|$25.00|MONTH|N/A|N/A|649154
488819|1103|N/A|N/A|N/A|N/A|649154
488820|1104|N/A|N/A|N/A|N/A|649154
488821|1105|N/A|N/A|N/A|N/A|649154
488822|1101|99.75|MONTH|N/A|N/A|649156
488823|1103|100.00|ONCE|N/A|N/A|649156
488824|1104|NONE|N/A|N/A|N/A|649156
488825|1105|NONE|N/A|N/A|N/A|649156
488834|1101|10.00|wk|10.00|10.00|649164
488835|1102|0.00||0.00|0.00|649164
488836|1103|100.|one time|100.00|100.00|649164
488837|1104|0.00||0.00|0.00|649164
488838|1105|0.00||0.00|0.00|649164
488851|1101|10.17-12.52|month|10.17|12.52|649173
488852|1102|0|0|0|0|649173
488853|1103|40-125|month|40|125|649173
488854|1104|0|0|0|0|649173
488855|1105|0|0|0|0|649173
488856|1101|N/A|BIWEEKLY|15.22|15.54|649174
488857|1102|||||649174
488858|1103|||||649174
488859|1104|||||649174
488860|1105|||||649174
488866|1101|0|month|8.50|43|649176
488867|1102|1.95|hour|0|0|649176
488868|1103|0|event|500|1000|649176
488869|1104|||||649176
488870|1105|||||649176
488889|1101|13.35|BI-WK|12.58|13.35|649192
488890|1103|0||||649192
488891|1104|0||||649192
488892|1105|0||||649192
488905|1101|$99.50|MONTH|N/A|N/A|649197
488906|1103|$100|ONCE|N/A|N/A|649197
488907|1104|NONE|N/A|N/A|N/A|649197
488908|1105|NONE|N/A|N/A|N/A|649197
488909|1101|.50|member|.00|.00|649198
488910|1103|N/A|N/A|||649198
488911|1104|N/A|N/A|||649198
488912|1105|N/A|N/A|||649198
488923|1101|$16875.00|Member|$1000.00|$16875.00|649202
488924|1102|n/a|n/a|n/a|n/a|649202
488925|1103|n/a|n/a|n/a|n/a|649202
488926|1104|n/a|n/a|n/a|n/a|649202
488927|1105|n/a|n/a|n/a|n/a|649202
488936|1101|$99.50|MONTH|N/A|N/A|649209
488937|1103|$100|ONCE|N/A|N/A|649209
488938|1104|NONE|N/A|N/A|N/A|649209
488939|1105|NONE|N/A|N/A|N/A|649209
488944|1101|87.25|MONTH|59.00|87.25|649213
488945|1102|NONE|N/A|N/A|N/A|649213
488946|1103|100.00|ONCE|N/A|N/A|649213
488947|1104|NONE|N/A|N/A|N/A|649213
488948|1105|NONE|N/A|N/A|N/A|649213
488949|1101|19.00|member|0|0|649214
488950|1103|1.55|member|0|0|649214
488951|1104|0|member|0|0|649214
488952|1105|0|member|0|0|649214
488974|1101|26.51|Bi Weekly|0|0|649223
488975|1103|0|0|0|0|649223
488976|1104|0|0|0|0|649223
488977|1105|0|0|0|0|649223
488983|1101|24.41|month|24.41|48.00|649227
488984|1102|||||649227
488985|1103|80.00|member|80.00|80.00|649227
488986|1104|||||649227
488987|1105|||||649227
488992|1101|99.50|MONTH|93.00|99.50|649229
488993|1102|NONE|N/A|N/A|N/A|649229
488994|1103|100.00|ONCE|N/A|N/A|649229
488995|1104|NONE|N/A|N/A|N/A|649229
488996|1105|NONE|N/A|N/A|N/A|649229
488997|1101|93.25|MONTH|N/A|N/A|649231
494689|1103|N/A||||655181
488998|1102|NONE|N/A|N/A|N/A|649231
