RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
668001|0|12216|||0|0|0|0|0|0|0|0|0|0|||||
680118|414458|416420|||||||||||||414458||||
667115|203472|348911|0|0|861497|828298|399248|371877|0|0|1439|1440|0|0|||||
667184|22293|25312|||0|0|0|0|0|0|0|0|0|0|||||
673069|81474|80040|||0|0|219|131|0|0|0|0|0|0|81693||||
671511|78797|86274|||0|0|1300|1300|0|0|0|0|0|0|||||
671529|223508|201530|||0|0|152|152|0|0|52|1205|0|0|||||
675708|6767|12202|||0|3029|0|0|0|0|0|0|0|0|6767||||
674015|81998|125853|||0|0|572|351|0|0|0|0|0|0|||||
674095|21248|27962|||0|0|0|0|0|0|0|0|0|0|||||
680914|20400|21892|||0|0|1687|1687|0|0|0|0|0|0|||||
674490|37772|72251|||0|0|40116|40116|0|0|0|0|0|0|77888||||
670050|95264|136850|||0|0|757|0|0|0|9393|19676|0|0|||||
677764|0|10120|||0|0|0|0|0|0|0|0|0|0|||||
675979|37547|42437|||0|0|0|0|0|0|0|0|0|0|||||
676012|32579|35703|||0|0|0|0|0|0|0|0|0|0|32579||||
648056|10228|8925|||83453|80545|9600|9600|0|0|0|0|0|0|103281||||
674756|60985|70111|||0|0|0|0|0|0|0|0|0|0|||||
676904|31704|50174|||0|0|0|0|0|0|152|152|0|0|31856||||
676780|22016|7642|||0|0|0|0|0|0|0|0|0|0|||||
676861|10873|7977|||16380|16462|0|0|0|0|0|0|0|0|||||
665644|4067|1731|||0|0|900|900|0|0|0|0|0|0|||||
677252|215848|238420|||0|0|0|0|0|0|0|0|0|0|||||
677328|23446|24664|||0|0|0|0|0|0|0|0|0|0|||||
677380|39081|34662|||0|0|495|495|0|0|0|0|0|0|||||
692121|197964|87488|||0|0|300|300|0|0|0|0|0|0|||||
653571|12175|13460|||0|0|0|0|0|0|0|0|0|0|12175||||
677751|10229|5774|||0|0|0|0|0|0|0|0|0|0|||||
653495|78486|66278|||0|0|0|0|0|0|0|0|0|0|78486||||
679742|724|702|81||100||0||0|0|0||0||||||
652701|4888|2514|||||||||||||4888||||
679264|35882|46397||||0||0||0||0||0|||||
682303|175478|184109|||0|0|10195|10195|0|0|0|0|0|0|||||
657695|6340|5089|||0|0|0|0|0|0|0|0|0|0|6340||||
680202|3075|1082|||0|0|0|0|0|0|0|0|0|0|||||
680339|88793|87511|||0|0|0|0|0|0|0|0|0|0|||||
680092|182423|256339|0||0||0|64|0|0|0||0||||||
679843|18828|22227|||0|0|0|0|0|0|0|0|0|0|||||
671945|352244|526830|||||373716|322432|0|0|||||||||
653362|136965|142692|||0|0|0|0|0|0|0|0|0|0|136965||||
680749|13374|36435|||0|0|0|0|0|0|0|0|0|0|||||
653111|14158|26604|||0|0|0|0|0|0|0|0|0|0|14158||||
710993|50804|91781|||0|0|0|0|0|0|0|0|0|0|||||
738184|2799|1496|||0|0|0|0|0|0|0|0|0|0|||||
681121|5331|16764|||0|0|0|0|0|0|0|0|0|0|||||
680921|31713|35048|||30000|30000|0|0|0|0|0|0|0|0|||||
683210|36849|41115|||0|0|0|0|0|0|0|0|0|0|||||
681628|8979|10104|||0|0|32|0|0|0|0|0|0|0|||||
654377|1036471|1134094|18154|24721|0|500000|43472|29163|0|0|602|2112|1299|0|||||
656905|60460|63088|||0|0|0|0|0|0|0|0|0|0|||||
681439|0|2886|||0|0|0|0|0|0|0|0|0|0|||||
654644|1661444|1919187|||||3813114|3715967|0|0|139|139|||||||
654685|36290|39410|||0|0|0|0|0|0|0|0|0|0|||||
655102|23585|24618|||0|0|0|0|0|0|0|0|0|0|||||
655540|597928|485636|61651|84864|2140008|2664465|68599|108140|0|0|11947||||||||
654710|24362|25316|||0|0|0|0|0|0|0|0|0|0|||||
