OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|CASH_PAID|RPT_ID
121855||PIMCO SHORT TERM FUNDS (3,325.92 SHARES)|30000|30000|30000|482785
121858||UTICA COPIER|1086|1086|1086|482785
121857||PIMCO SHORT TERM FUNDS (5,964.215 SHARES)|30000|30000|30000|482785
121856||PIMCO SHORT TERM FUNDS (2,132.435 SHARES)|24139|24139|24139|482785
112579||CANNON POWERSHOT|342|342|342|465062
112584||2010 BUICK LUCERNE|22186|22186|22186|465062
112583||LAPTOP|793|793|793|465062
112582||AIO PRINTER|185|185|185|465062
112581||ACER MONITOR|140|140|140|465062
112580||LAPTOP|743|743|743|465062
112599||Building - 814 Airport Blvd.|4209998|4147028|440019|465108
112625||Fed Natl Mortgage 1% due 4/16/38|101827|101827|101827|465126
112634||PIMCO|15000|15000|15000|465126
112633||Goldman Sachs Strategic fund|25000|25000|25000|465126
112632||Temple Global Bond fund|20000|20000|20000|465126
112631||JP Morgan Strategic fund|7000|7000|7000|465126
112630||Fed Natl Mortgage 2.25% |100000|100000|100000|465126
112629||Fed Home Loan 1.5% due 07/16/15|70000|70000|70000|465126
112628||SIT US Govt Bond Fund |25000|25000|25000|465126
112627||Fed Home Loan 1.375% due 01/6/16|99973|99973|99973|465126
112626||SIT US Govt Bond Fund|31000|31000|31000|465126
114609||COMPUTER EQUIPMENT|2027|2027|2027|467105
118717||VEHICLE|9715|9715|9715|477979
120671||Dell desktop computer|775|775|775|480662
122101||2010 Ford Truck|40132|40132|40132|486812
122104||Training Center Improvements|3579|3579|3579|486812
122103||Shop Building Cost to Complete|1876|1876|1876|486812
122102||2011 Chevrolet Truck|26099|26099|15999|486812
119780||Two Automobiles|13060|13060|13060|479467
119781||Computer Equipment|1147|1147|1147|479467
123071||Automobiles|94129|94129|94129|488584
123073||Building Air Conditioner|15995|15995|15995|488584
123072||Building Boiler|18222|18222|18222|488584
121971||HP Laptop Computer|584|584|584|486744
121848||EQUIPMENT & FURNITURE|35227|35227|35227|482756
121850||MARKETABLE SECURITIES|564237|564237|564237|482756
121849||MAUI  BUILDING|75300|75300|75300|482756
116469||Office Equipment|1539|1216|1539|470849
116382||FILING CABINET|789|769|789|470730
115733||Building improvements (Boron, CA)|7746|7746|7746|468830
115734||Office equipment|3932|3932|3932|468830
116188||Building Improvements -  Mt. Clemens, MI|15144|15144|15144|470369
116190||Mutual Funds, Mt. Clemens, MI |271067|264985|271067|470369
116189||Equipment, Mt. Clemens, MI.|1619|1619|1619|470369
116364||EQUITY AND FIXED INCOME SECURITIES|849575|849575|849575|470702
116346||PODIUM, DESKTOP, AND PHONE|1892|1892|1892|470666
114117||American Funds: Capital Icome Builder Class A|60661|60661|60661|467000
114120||Purchased Building Improvements|4981|4981|4981|467000
114119||Purchased office equipment|120|120|120|467000
114118||Purchased computer equipment|903|903|903|467000
113622||MUTUAL FUNDS|129479|129479|129479|466695
125801||OFFICE EQUIPMENT|2302|2302|2302|495659
125802||HEATING & AIR CONDITIONING UNIT|19851|19851|19851|495659
118954||Vanguard|60000|60000|60000|478414
118955||Dividend Reinvestment Vanguard|12192|12192|12192|478414
126191||OFFICE FURNITURE|59|59|59|499149
111941||OFFICE EQUIPMENT|2587|2587|2587|461377
111942||AUTOMOTIVE EQUIPMENT|15896|15896|15896|461377
112746||OFFICE FURNITURE|1243|994|1243|465651
112747||2011 JEEP GRAND CHEROKEE|29432|23546|29432|465651
118888||PANASONIC MICROWAVE OVEN|154|154|154|478322
118891||H.P. LASERJET PRINTER|749|749|749|478322
118890||AIR CONDITIONER FOR OFFICE|390|390|390|478322
118889||HOOVER VACUUM CLEANER|120|120|120|478322
