RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
414021|632276|0|100000|480|0|22697|0|0|5700|0|342475|0|0|0|342475
428868|50598||||||||||||||
430765|53567|0|0|||33|||0||0||||
419781|35722|0|0|||943|||0||0||||
428625|68338|0|0|||1491|||0||1139||||
429417|160866|0|0|||1726|||0||3537||||
430756|5290|0|0|||1846|||0||4213||||
419788|0|52954|0|||1051|||0||50000||||
419229|29375|0|0|||0|||0||||||
411190|17746|0|0|||336|||0||0||||
430672|78757|0|0|||438|||0||18155||||
409733|33585|0|0|||563|||0||725||||
422005|29387|0|0|||49|||0||73||||
375560|14644|0|0|||201|||40427||1388||||
415489|0|82737|0|||59|||0||62442||||
426902|42568|0|0|||291|||0||104||||
423917|23967||||||||29953||||||
424493|23249|0|0|||0|||75||0||||
425864|21338|||||11|||||||||
413486|11480|0|0|||1|||0||0||||
425221|40257|0|0|||0|||0||112839||||
419954|1205|0|0|||418|||0||11767||||
399287|0|119180|0|||1230|||0||19875||||
399098|21504|0|0|||3|||0||0||||
417917|88368|0|0|||162|||0||251||||
411449|24127|0|0|||221|||0||11402||||
433377|11889|0|0|||11|||0||375||||
426662|1879345|0|0|0|0|10302|0|0|0|0|16739|0|0|0|16739
432452|6970|0|0|||2|||0||0||||
433369|29910|||||186|||||||||
396469|14238|0|0|||0|||0||0||||
422445|74999|0|0|||0|||0||0||||
433081|8821|0|0|||761|||0||3031||||
421293|17438||||||||||||||
401566|1719410|160916|30000|0|0|8572|0|0|0|0|44618|0|0|0|15519
405172|26802|||||292|||||||||
400401|279826|0|0|3726|0|21161|0|0|392134|0|156380|0|57981|0|0
421431|50519|0|0|||124|||0||0||||
407741|138826|0|0|||2844|||0||0||||
403243|858661|0|156321|4329|0|58046|20136|0|2130086|0|267210|0|0|0|14338
404955|0|36187|0|||3|||0||506||||
