OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
3|ArVest Bank|424216|0|29734|0|394482|227525
4|Ford Credit|0|7000|854|0|6146|229081
5|BARDSDALE FEDERAL CREDIT UNION|16386|37762|8659|0|45489|229173
6|CHASE MANHATTAN|16516|0|4217|0|12299|229173
7|UFCW INTERNATIONAL|11500|0|5500|0|6000|229173
8|CHRYLER FINANCIAL|5867|0|5866|0|1|229173
9|CHRYSLER FINANCIAL|12507|0|3965|0|8542|229614
10|CHRYSLER FINANCIAL|12506|0|3964|0|8542|229614
11|FORD MOTOR CREDIT|0|21106|288|0|20818|229614
12|FORD MOTOR CREDIT|0|20959|286|0|20673|229614
13|Teague Mortgage|22729|0|6604|0|16125|232348
14|GENERAL MOTORS ACCEPTANCE|7462|0|2234|5228|0|234362
15|CHASE AUTOMOTIVE FINANCE|0|37535|7865|0|29670|234362
16|FORD CREDIT|0|12977|0|0|12977|234362
23|DEEP SEA FISHERMEN BUILDING ASSOC.|4042|0|0|0|4042|243239
440|MORTGAGE PAYABLE|2798|0|2798|0|0|262029
469|HUDSON UNITED BANK|190000|0|0|0|190000|263415
470|NATIONAL PMH UNION|153987|200000|75751|0|278236|263415
536|LINE OF CREDIT|29642|0|0|0|29642|267095
570|INSURANCE|0|15755|1750|0|14005|267505
597|NATIONAL APWU|5000|0|0|0|5000|268307
620|National Office|198610|0|0|0|198610|268922
621|HANCOCK BANK|35106|0|4207|0|30899|268927
1155|NONE|0|0|0|0|0|272891
1857|LOAN INT'L|116271|0|20000|0|96271|278245
1858|OFFICER LOAN|0|8500|7000|0|1500|278245
8316|SEIU AFL-CIL, CLC|0|350000|100000|0|250000|364870
8946|APWU NATIONAL|234000|261780|339780|0|156000|371689
15716|N/P - Monarch Bank (Auto)|3332|0|3332|0|0|461787
15717|N/P - Monarch Bank (Auto)|0|26630|4111|0|22519|461787
15722|MORTGAGE PAYABLE|181959|0|181959|0|0|463052
15744|Bank of Tennessee|0|6500|1610|0|4890|463433
15745|KEY BANK - CREDIT CARD|17795|12663|14000|0|16459|463491
15746|AMERICAN EXPRESS - DELTA|11147|15855|15900|0|11101|463491
15747|AMERICAN EXPRESS|327|2642|2175|0|794|463491
15748|Small Business Adminstration|25000|0|866|0|24134|463504
15749|LOCAL UNION 72|0|1778|0|0|0|463549
15751|OPEIU Pension Fund|38600|0|8400|0|30200|463557
15752|Auto Loan|8072|0|2332|0|5740|463560
15753|Jefferson Bank|8933|0|4245|0|4688|463566
15761|VEHICLE LOAN GMAC|6823|18854|10760|0|14917|463672
15762|LI COMM MORTGAGE PAYABLE|106983|0|7732|0|99251|463699
15763|WELLS FARGO|443298|0|29327|0|413971|463797
15772|FORD CREDIT|7689|0|5767|0|1922|464057
15773|COMPASS BANK|3602|0|3602|0|0|464057
15774|BANK OF AMERICA|17534|0|4060|0|13474|464057
15775|GMAC|17631|0|5872|0|11759|464057
15778|MORTGAGE ON BUILDING|293901|0|3153|0|290748|464069
15782|AUTO LOANS|16305|23241|25084|0|14462|464084
15783|Loans payable to National|108830|42280|11004|0|140106|464085
15784|Copier Note|6230|0|2311|0|3919|464085
15785|SEIU|536005|0|38258|0|497747|464107
15786|Bank of America|38657|0|10604|0|28053|464107
15787|SEIU Pension|0|31335|0|0|31335|464107
15789|Auto Loans|0|43482|12063|0|31419|464137
15794|AMALGAMATED BANK|0|305531|4402|0|301130|464395
