RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
723031|108080|121151|||0|0|0|0|0|0|0|0|0|0|||||
717763|99113|88971|||0|0|0|0|0|0|0|0|0|0|||||
705288|51725106|98270091|28452650|28371640|255641657|201822836|42428941|42275736|109605275|219737595|26840463|24280502|2910|0|||||
721171|598706|640668|0|0|0|0|31595|32095|0|0|0|0|0|0|||||
712940|350386|315018|0|0|0|0|0|0|0|0|1800|1800|0|0|||||
714247|24622|25365|||0|0|0|0|0|0|0|0|0|0|||||
738009|115068|82192|||0|12000|2969|6005|0|0|0|0|0|0|||||
723716|2440|1093|0|0|0|0|21914|21914|0|0|1500|1500|0|0|||||
724864|701979|311740|0||0||4606|2667|0|0|0||0||||||
714414|34157|37008|||0|0|109|109|0|0|0|0|0|0|||||
721756|182656|202655|0|0|0|0|145425|144049|0|0|21074|22266|0|0|||||
722297|178529|156805||0||0|4034|9976|0|0|906035|867911||0|||||
720975|874679|1090111|81077|80481|||473567|454108|0|0|6322|5831|0||||||
717638|2705|677|||0|0|0|0|0|0|19511|20755|0|0|||||
719542|48567|48732|||0|0|1158|900|0|0|10996|22493|0|0|||||
732800|889394|821413|53475|112829|0|0|313283|301668|0|0|543|0|500|800|||||
724156|109115|102275|||0|0|123089|123089|0|0|0|0|0|0|||||
717249|816471|786576|0||212413|215370|178586|180223|0|0|5756|7729|0||||||
717933|22919|32037|||0|0|4810|4810|0|0|0|0|0|0|||||
722028|4370872|12597277|1001385|1066208|134077|153597|2089494|112988|0|0|39104|40654|0|0|||||
721379|119985|208708|0|0|0|0|7335|4967|0|0|0|0|0|0|||||
730433|444081|419864|0|0|653600|785361|2483548|2400681|0|0|9240|4438|0|0|||||
709769|706424|830642|62268|56480|0|0|1923|3110|0|0|1557|3477|0|0|||||
721873|3318231|3594703|1092779|1251640|1614859|2353683|37875|30186|646088|0|6405|0|6405|7138|||||
725517|33394|38040|62927|19136|546498|280866|278676|254377|0|0|0|0|0|0|||||
717003|92481|132374|||0|0|4372|4372|0|0|0|0|0|0|||||
721286|2474934|2280332|2962000|3525989|13115067|12971961|722979|717915|865570|1148791|152704|153700|||||||
724135|320256|330942|||0|0|59917|59917|0|0|9725|9725|0|0|||||
719906|412834|388928|||286520|376647|0|0|0|0|0|0|0|0|||||
719784|3725606|3759418||0|342627|397867|290555|300270|0|0|0|0||0|||||
720949|399499|431306|||||36210|11682|0|0|||||||||
715275|88406|89692|||0|0|1313|2158|0|0|0|0|0|0|||||
722930|1237066|1237847|82701|26669||0|226856|203880|0|0|||0|0|||||
711344|1182605|1237066||82701|||252201|226856|0|0||||0|||||
720878|416916|504158|233|323||0|1612|1209|0|0|3575|3834|0|0|||||
723315|201091|198867|1789|0|218732|248572|85500|87220|0|0|100|212|29379|0|||||
720891|1325497|1034846|||1810710|2893868|2225561|2121941|0|0|||0|0|||||
724450|520929|385678|0||0||2414||0|0|0||0||||||
718656|306186|360350|0|0|458412|595546|201|163|0|0|0|0|0|0|||||
718575|659449|901570|0|0|7219|9149|538477|520150|0|0|0|0|0|0|||||
714174|508028|567068|0||0||55865|53253|0|0|805|805|0||||||
724591|9887|7999|||74433|79083|0|0|0|0|0|0|0|0|||||
727152|496412|598126|||0|0|0|0|0|0|0|0|0|0|||||
715055|7954|22624|0|0|0|0|0|0|0|0|0|0|0|0|||||
733060|2616233|3803884|462|0|0|0|204951|191360|0|0|0|0|257996|0|||||
723585|3615840|4009672|31451|28698|0|0|566758|583653|0|0|0|0|0|0|||||
723807|10781009|11705966|||235485|249163|2925390|2830102|0|0|||||||||
728256|43311|58748|||0|0|1402|1402|0|0|0|0|0|0|||||
724913|63083|109037|||0|0|0|0|0|0|0|0|0|0|||||
719609|3497503|244103|224359|220550|1712213|4544634|158662|83643|99715|304419|8989|8989|0|0|||||
727620|350100|401963|0|0|0|0|0|0|0|0|0|0|0|0|||||
717606|240337|248591|||0|0|107492|107492|0|0|0|0|0|0|||||
728527|63236|58613|||0|0|240310|263965|0|0|0|0|0|0|||||
726353|166066|144575|||0|0|0|0|0|0|229|3657|0|0|||||
716279|13655|13521|||0|0|0|1485|0|0|0|0|0|0|||||
716239|15456|21117|||0|0|4917|4917|0|0|0|0|0|0|||||
715317|104419|101028|||0|0|0|0|0|0|0|0|0|0|||||
707171|19552|19987|||0|0|0|0|0|0|0|0|0|0|||||
722216|23481|35421|||0|0|0|0|0|0|0|0|0|0|||||
708262|14666|18137|||0|0|0|0|0|0|0|0|0|0|||||
732938|33188|34206|||0|0|0|0|0|0|0|0|0|0|||||
719904|443387|223748|0|0|6698673|6160465|1066565|1074584|0|0|3709|2590|0|0|||||
730634|225484|106959|0|0||0|156036|147030|0|0||0|0|0|||||
720193|1522785|1190174|0|0|8900172|13518582|314822|194489|0|0|25860|10584||0|||||
715985|22287|40815|||0|0|0|0|0|0|0|0|0|0|||||
722532|21704|22702|||0|0|157|152|0|0|0|0|0|0|||||
715527|14334|21142|||0|0|0|0|0|0|0|0|0|0|||||
722755|1953677|2202552|0|0|0|0|0|0|0|0|0|0|0|0|||||
719687|765061|782611|0|0|0|0|1059783|1059783|0|0|6293|2368|0|0|||||
714879|85425|90483|||0|0|0|0|0|0|0|0|0|0|||||
720323|29768|43928|||0|0|0|0|0|0|0|0|12070|5700|||||
722325|0|0|||||||0|0|||||||||
717701|134065|132674|||0|0|0|0|0|0|0|0|0|0|||||
722225|1146862|919067|||||0|0|0|0|||||||||
719358|746431|796278|21675|20806|0|0|181826|169897|0|0|0|0|0|0|||||
727359|107775|71360|||0|0|0|0|0|0|0|0|0|0|||||
715185|12345|11023|||0|0|0|0|0|0|0|0|0|0|||||
727609|25942|24229|||0|0|0|0|0|0|0|0|0|0|||||
719662|15638|25741|||0|0|0|0|0|0|0|0|0|0|||||
723230|337158|419087|||0|0|0|0|0|0|18557|12719|0|0|||||
733805|60365|67651|||0|0|0|0|0|0|0|0|0|0|||||
727246|3127437|2802768|0|0||526337|177144|148647|0|0||0||0|||||
722350|6826|10470|||0|0|0|0|0|0|0|0|0|0|||||
733721|15414|53063|||0|0|0|0|0|0|0|0|0|0|||||
706271|207988|242314|0||0||1419|954|0|0|0||186232|186232|||||
710430|274100|278276|||0|0|0|0|0|0|4567|4568|0|0|||||
731943|28275|39200|||0|0|0|0|0|0|0|0|0|0|||||
731989|32109|40882|||0|0|0|0|0|0|0|0|0|0|||||
723132|3852257|1773350|1467311|1472211|8033292|11851009|50683|79898|499817|808559|0|0|0|0|||||
723817|413834|513181|62790|57274|0|0|759561|735060|0|0|0|0|0|0|||||
732308|87296|107668|||0|0|1068|427|0|0|0|0|0|0|||||
708286|10014074|14220542|0|0|19245150|20031504|55151|64594|0|0|491|993|0|0|||||
727476|128450|149683|||0|0|0|0|0|0|0|0|0|0|||||
706680|8534|9485|||0|0|0|0|0|0|5400|0|0|0|||||
733114|20424|7854|||||0||0|0|4250|4250||0|||||
727426|2804834|3026847|60195|64739|40262|42540|10959|11780|0|0|44079|30129|0|0|||||
722879|907830|837113|0||0||751552|732100|0|0|0||0||||||
726063|573383|788599|2414|162017|0||283340|177134|0|0|0|1968|0|0|||||
723736|1296919|1509828|1231083|1262408|4787815|5680346|1240624|1213338|6445408|6094211|889251|971103|0|0|||||
723665|113197|110820|||165|165|19942|19942|0|0|0|0|0|0|||||
712641|156825|170609|||0|0|887|590|0|0|10029|10927|0|0|||||
734946|16741|10882|||0|0|490|490|0|0|0|0|0|0|||||
725500|104740|109540|||20249|20249|4019|4019|0|0|0|0|0|0|||||
713167|169465|176883|0|0|0|0|889|539|0|0|1300|3400|0|0|||||
726160|46820|40627|||0|0|1669|1502|0|0|5247|5247|0|0|||||
715454|35518|36661|||0|0|1622|1622|0|0|0|0|0|0|||||
725580|114816|101621|||||262246|253026|0|0|||||||||
723120|128292|131855|||0|0|1316|970|0|0|165|686|0|0|||||
738287|267427|225244|||0|0|0|0|0|0|0|0|0|0|||||
730094|112620|138292|||0|0|0|0|0|0|0|0|0|0|||||
719010|53495|44654|||0|0|0|0|0|0|0|0|0|0|||||
735556|198089|204098|||0|0|0|0|0|0|0|0|0|0|||||
