YEAR,CHANGE
2000,0.0
2001,0.9594980364879944
2002,0.46068010977210355
2003,0.4232015585136681
2004,0.5705710223274728
2005,0.44210058897298143
2006,0.6226139051860522
2007,0.25982081323225364
2008,0.9990014802177676
2009,0.4334508245639987
2010,0.4125185392398516
2011,0.4115287184542169
2012,0.43062444899996816
2013,0.9990104693436842
2014,0.438228374158934
2015,0.41342568510964495
2016,0.19865291821447809
2017,0.5426777239290833
2018,0.22049670608340913
2019,0.5511350194333352
2020,0.34033092647608554
2021,0.5217391304347826
