OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
34353|FIRST SOUTHERN BANK|454953|0|47383|0|407570|736525
34119|St. Mary's Bank|0|13069|0|0|13069|732216
34140|NONE|0|0|0|0|0|733885
33416|United Association|96125|0|0|0|96125|722746
34169|N/A|0|0|0|0|0|734908
34423|ALLY BANK|22308|0|3623|0|18685|737930
33949|EASTERN BANK MORTGAGE|265486||11828||253658|728699
33998|NONE|0|0|0|0|0|729433
34032|Loan from Construction Crafts |40000|40000|60000|0|20000|730059
34048|NONE|0|0|0|0|0|730161
34049|NONE|0|0|0|0|0|730163
34054|FORD MOTOR CORP|25622|0|6029|0|19593|730207
34055|FORD MOTOR CORP|34031|0|8008|0|26023|730207
34056|FORD MOTOR CORP|38354|0|7935|0|30419|730207
34057|FORD MOTOR CORP|0|17258|2848|0|14410|730207
34058|FORD MOTOR CORP|0|20472|2471|0|18001|730207
34059|OPCMIA International Union|100000|0|50000|0|50000|730230
34062|OHWBST|100000|100000|100000||100000|730269
34063|Bank of Labor||420000|20868||399132|730280
34077|M&T BANK|445095|0|445095|0|0|730528
34081|Wayne Motors Inc. |11007||11007|0|0|730546
34082|Ford Credit (Larson Ford)|12035||8496|0|3539|730546
34083|Ford Credit (Larson Ford)|12491||8817|0|3674|730546
34084|Waye Motors Inc.|0|40778|7960|0|32818|730546
34085|Chrysler Motors|0|7500|211|0|7289|730546
34086|NONE|0|0|0|0|0|730552
34103|155 West 46 Owner LLC|3779715||80586||3699129|731579
34122|BUSEY BANK|7999|0|7999|0|0|732627
34123|FORD MOTOR CREDIT|3977|0|3977|0|0|732627
34124|MORTON COMM BANK|4963|0|4963|0|0|732627
34125|Mortgage Loan|546994|0|33487|0|513507|732657
34127|FORD CREDIT|8898||8898||0|732677
34128|FORD CREDIT|8746||8746||0|732677
34129|Auto Finance Loan|0|50971|16990||33981|732766
34130|Vehicle loan|44622|0|6199|0|38423|733089
34132|ILA Great Lakes District Council|95500|0|2000||93500|733177
34133|ILA Local 2063|6000|0|6000|0|0|733177
34139|none|0|0|0|0|0|733794
34144|NONE|0|0|0|0|0|734067
34145|NONE|0|0|0|0|0|734116
34146|NONE|0|0|0|0|0|734169
34147|AUTO LOANS|206855|51507|92223||166139|734203
34148|UA Local 73|724578|0|0|724578|0|734260
34149|NBT Bank|266066|0|6847|259219|0|734260
34150|NONE|0|0|0|0|0|734296
34153|NONE|0|0|0|0|0|734366
34156|NONE|0|0|0|0|0|734488
34157|NONE|0|0|0|0|0|734609
34158|Xerox Corporation|4512||1619||2893|734648
34159|NONE|0||||0|734667
34161|NONE|0|0|0|0|0|734678
34163|NONE|0|0|0|0|0|734774
34164|OLD NATTIONAL BANK|69327|0|69327|0|0|734871
34165|0|||||0|734876
