RPT_ID|ACCOUNTS_PAYABLE_START|ACCOUNTS_PAYABLE_END|LOANS_PAYABLE_START|LOANS_PAYABLE_END|MORTGAGE_PAYABLE_START|MORTGAGE_PAYABLE_END|OTHER_LIABILITIES_START|OTHER_LIABILITIES_END|TOTAL_START
546724|0|0|11756|7679|0|0|4282|5265|
576783|0|0|0|0|0|0|0|0|0
544013|0|0|0|0|0|0|0|0|
554700|0|0|0|0|0|0|0|0|0
555310|0|0|0|0|0|0|0|0|
556511|0|0|0|0|0|0|0|0|0
551577|0|0|0|0|0|0|0|0|0
551247|0|0|0|0|0|0|0|0|0
540510|0|0|0|0|0|0|0|0|0
557534|0|0|0|0|0|0|0|0|0
552340|13226|12854|0|0|0|0|0|0|13226
554802|0|0|0|0|0|0|0|0|0
554534|||||||||0
528144|0|0|0|0|0|0|0|0|0
542572|382|244|0|0|0|0|0|0|382
573046||0||0||0|2007|2007|2007
552047|0|0|0|0|0|0|0|0|0
548624|0|0|0|0|0|0|0|0|
553727|||||||||
554837|0|0|0|0|0|0|0|0|0
541352|0|0|0|0|0|0|0|0|0
559608|0|0|0|0|0|0|0|0|0
551933|0|0|0|0|0|0|0|0|0
531511|0|0|0|0|0|0|0|0|0
557524|0|0|0|0|0|0|0|0|0
529585|0|0|0|0|0|0|206|219|206
559814|0|0|0|0|0|0|687|190|687
555502|0|0|0|0|0|0|0|0|0
551643|0|0|0|0|0|0|0|0|0
551162|0|0|0|0|0|0|0|0|0
557081|0|0|0|0|0|0|0|0|0
550213||0||0|0|0||0|
534137|0|0|0|0|0|0|0|0|0
549769|0|0|0|0|0|0|0|0|
557761|0|0|0|0|0|0|0|0|0
538673|0|0|0|0|0|0|0|0|0
556601|0|0|0|0|0|0|756|485|756
557401|0|0|0|0|0|0|0|0|0
683206|0|0|0|0|0|0|0|0|
548060|0|0|0|0|0|0|0|0|
533701|101380|53266|||0|0|10827|9396|
535773|0|0|0|0|0|0|0|0|
533733|||||3327420|3222813|99700|126784|
536088|0|0|0|0|0|0|554|576|554
534002|0|0|0|0|0|0|939|950|
534612|69653|51206||0|0|0|5724|5054|
530140|0|0|0|0|0|0|0|0|
535733|4955|0|0|0|0|0|11150|1344|
551838|0|0|0|0|0|0|189|320|
534264|0|0|0|0|0|0|550|550|
534349|0|0|0|0|0|0|0|0|0
534212|0|0|0|0|0|0|0|0|0
