RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
547814|68635|0|0|||1|||0||0||||
543881|12485|0|0|||229|||0||100||||
546668|34008|0|0|||108|||0||0||||
552285|10535|0|0|||0|||0||118||||
535344|77660|0|0|||0|||0||0||||
550931|66713|162309|0|||93|||500||8863||||
539359|12591|0|0|||4|||0||498||||
541950|30161|0|0|||37|||2620||200||||
534699|10984|0|0|||5|||0||0||||
545202|2134149|0||0||20934|0|0|0||78272|0|0||5630
540384|14259|0|0|||1|||0||1357||||
541373|26972|0|0|||0|||0||0||||
533447|30184|0|0|||2|||0||462||||
551832|117133|0|0|||20|||0||0||||
550360|157120|0|0|||35|||0||1282||||
557741|214406|||||13|||||||||
541111|89961|0|0|||69|||0||0||||
531515|26630|0|0|||0|||0||0||||
544447|38324|0|0|||4|||0||0||||
553432|||||||||||||||
548630|0|24138|0|||83|||0||4467||||
559379|22130|0|0|||0|||31731||68699||||
536425|4295|0|0|||4|||0||15||||
554099|17296|0|0|||22|||0||943||||
536071|95749|0|0|||70|||0||0||||
554517|80872|0|0|||183|||0||738||||
538118|19627|0|0|||167|||0||0||||
533785|125742|0|0|||151|||5104||0||||
572547|0|0|0|||238|||20812||0||||
549891|19525|0|0|||0|||0||7987||||
538043|10005|0|0|||87|||0||0||||
550734|24507|0|0|||8|||450||194||||
535529|225177|0||0||1138|0|0|50||4221|0|0||4221
547380|28007|0|0|||174|||0||0||||
542568|17860|||||122|||||||||
551367|6360|0|0|||0|||0||0||||
537027|123605|0|0|||61|||0||540||||
548661|44791|0|0|||65|||2161||43||||
536792|13045|0|0|||0|||0||0||||
553505|40683|0|0|||0|||0||40||||
548997|323250|0||0||3|0|0|0|0|0|0|1050000||
551918|75034|0|0|||0|||0||29973||||
554605|103208|0|0|||30|||0||50735||||
533101|24615|0|0|||1|||0||760||||
537448|391504|0|0|0|0|966|0|0|0|0|412|0|0||412
554963|546937|0||2354||1031|0|2425|250|0|158125|0|17576||42756
540153|0|0|0|||0|||0||74530||||
551902|11577|0|0|||0|||0||0||||
539351|29183|0|0|||1696|||0||0||||
536073|32130|0|0|||0|||0||0||||
545604|6442|0|0|||9|||0||0||||
572613|250802|0||0||42|0|0|14064||8146|0|0||8146
539208|74398|||||5|||||5981||||
545710|34717|0|0|||179|||400||0||||
