RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
519486|74897|1625|5268|1224|31753|13071|0|0|0||11369|0|160532|41099|373|131|0|0|0||-7105|16554|-3483||7105|0|31460|522|5268|1224|12672|||
526225|||0||||||||||54629|33387|0|25227|0|||40873|28013|||14489||||||||19066||4100
521757|||250||||||||||16608|3421|0|0|0|||566|0|||218||||||||101||0
513562|||0||||||||||0|11721|0|0|0|||1957|56|||||||||||9045||0
508547|374919|3288|3288|251112|40806|93348|0|0|0||17006|0|44862|277760|1076088|91011|||275694||51130|100913|-7565||||9141|0|0|16944|6210|||
523411|||700||||||||||7242|3857|0|0|0|||2437|4987|||||||||||2446||200
524329|259532|5519|265|166172|63803|98663|0|0|0||34258|0|104484|237214|6040|215174|||0||55512|98388|275|84754|13910||||265|42454|6884|||
522721|||0||||||||||62383|6200|0|0|0|||32228|0|||||||||||6619||3239
522418|||250||||||||||0|4323|0|0|0|||0|0|||||||||||4877||0
510343|12944|0|0|54230|42271|0|0|438|0||0|0|3547|39222|||||0|||0||||||||40895|29327|||
504813|975319|135377|47010|76194|811605|338791|0|0|0||110128|0|389345|222382|3447936|617573|0|0|806673||767504|338137|654|79822|258969|0|62500|7617|41260|14179|120808|||
504553|185683|833|6144|186288|45610|13129|0|0|0||7106|0|101702|63639|0|30934|0|0|0||15958|12645|484||||3129||5825|40986||||
504351|1303700|225499|26300|272943|310889|384276|40039|0|0||107430|0|185905|184446|415717|726276|||0||1141046|384276|||||44388|8240|20144|34669|14644|||
522814|||0||||||||||1594|9189|0|0|0|||1512|0|||||||||||1209||0
514960|8451|0|1291|22489|42900|0|0|0|0||3738|0|32230||1070|15390|0|160671|0||33563|0|||5317||675||1291|22489|11796|||
509228|||16860||||||||||89374|36577|0|0|0|||4296|6346|||||||||||5616||0
504469|1568|2400|700|86293|31453|10262|0|0|0||11891|0|45141|1550|534|17472|0|8389|0||47520|9443|819||||790|2400|700|25015|25923|||
521825|||250||||||||||52896|10161|0|4467|0|||42651|0|||||||||||3524||5300
513670|||103||||||||||0|5396|0|0|0|||8179|0|||||||||||1004||0
511678|||0||||||||||8179|50468|0|0|0|||31710|0|||||||||||20055||0
512571|22601|6178|13583|33219|63052|25183|0|3120|0||7961|0|192653|80068|||||0||768|27360|-2177|24945|238||1341||5975|5488|4554|||
519882|||500||||||||||19993|1833|0|0|0|||0|0|||||||||||2135||0
503765|4894|3050|7235|137249|155434|36548|306816|0|35819||11519|0|62756|78982|223596|91356|0|31827|375||71634|35183|1365||||4894|3050|7235|44424|4818|||
