OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
246245|1103|n/a|n/a|n/a|n/a|502785
246246|1104|n/a|n/a|n/a|n/a|502785
246247|1105|n/a|n/a|n/a|n/a|502785
246252|1101|43|Month|43|43|502789
246253|1103|60|One Time|60|60|502789
246254|1104|N/A|N/A|N/A|N/A|502789
246255|1105|N/A|N/A|N/A|N/A|502789
246329|1101|43|MONTH|43|43|502883
246330|1103|60|ONE TIME|60|60|502883
246331|1104|N/A|N/A|N/A|N/A|502883
246332|1105|N/A|N/A|N/A|N/A|502883
246348|1101|see tiem 69|month|see item 69|see item 69|502889
246349|1102|n/a|n/a|n/a|n/a|502889
246350|1103|1.00|mbr|1.00|5.00|502889
246351|1104|n/a|n/a|n/a|n/a|502889
246352|1105|n/a|n/a|n/a|n/a|502889
246389|1101|43|Month|43|43|502905
246390|1103|60|One Time|60|60|502905
246391|1104|N/A|N/A|N/A|N/A|502905
246392|1105|N/A|N/A|N/A|N/A|502905
246393|1101|43|MONTH|43|43|502906
246394|1103|60|ONE TIME|60|60|502906
246395|1104|N/A|N/A|N/A|N/A|502906
246396|1105|N/A|N/A|N/A|N/A|502906
246447|1101|43|MONTH|43|43|502929
246448|1103|60|ONE TIME|60|60|502929
246449|1104|N/A|N/A|N/A|N/A|502929
246450|1105|N/A|N/A|N/A|N/A|502929
246648|1101|$.30|n/a|$65|n/a|503110
246649|1103|0|n/a|n/a|n/a|503110
246650|1104|0|n/a|n/a|n/a|503110
246651|1105|0|n/a|n/a|n/a|503110
246801|1101|24|Month|24|24|503303
246802|1102|||||503303
246803|1103|||||503303
246804|1104|||||503303
246805|1105|||||503303
246864|1101|36.59|Month|N/A|N/A|503350
246865|1102|N/A|N/A|N/A|N/A|503350
246866|1103|N/A|N/A|N/A|N/A|503350
246867|1104|N/A|N/A|N/A|N/A|503350
246868|1105|N/A|N/A|N/A|N/A|503350
246935|1101|6.50-14.00|MONTH|N/A|N/A|503394
246936|1103|40.25|N/A|N/A|N/A|503394
246937|1104|NONE|N/A|N/A|N/A|503394
246938|1105|NONE|N/A|N/A|N/A|503394
246952|1101|0|mos|43.10|46.10|503398
246953|1103|0||100|300|503398
246954|1104|0||||503398
246955|1105|0||||503398
246961|1101|none|none|none|none|503407
246962|1102|none|none|none|none|503407
246963|1103|none|none|none|none|503407
246964|1104|none|none|none|none|503407
246965|1105|none|none|none|none|503407
247326|1101|$59.00|MONTH|N/A|N/A|503639
247327|1102|N/A||||503639
247328|1103|$180||||503639
247329|1104|N/A||||503639
247330|1105|N/A||||503639
247336|1101|25.67|BI-WEEKLY|25.67|25.67|503641
247337|1102|||||503641
247338|1103|||||503641
247339|1104|||||503641
247340|1105|||||503641
247513|1101|34.00|Month|34.00|45.00|503690
247514|1102|||||503690
247515|1103|||||503690
247516|1104|||||503690
247517|1105|||||503690
247588|1101|56.00|month|8.40|56.00|503724
247589|1102|4.0%|Hour|0|0|503724
247590|1103|500.00|Member|100.00|500.00|503724
247591|1104|50.00|Member|0|0|503724
247592|1105|5.00|week|5.00|5.00|503724
247653|1101|0|month|0|0|503751
247654|1102|1.00|mbr/mo|||503751
247655|1103|||||503751
247656|1104|||||503751
247657|1105|||||503751
247710|1101|6.00|MONTH|6.00|17.00|503763
247711|1102|0|MONTH|0|0|503763
247712|1103|0-300|TIME|0|300|503763
247713|1104|N/A|N/A|N/A|N/A|503763
247714|1105|N/A|N/A|N/A|N/A|503763
247739|1101|$2.50|MBR/YR|$2.50|$2.50|503769
247740|1103|N/A|N/A|N/A|N/A|503769
247741|1104|N/A|N/A|N/A|N/A|503769
247742|1105|N/A|N/A|N/A|N/A|503769
247799|1101|36.00|Month|8.40|36.00|503809
247800|1102|5%|Wages|||503809
247801|1103|500.00|Initiation|||503809
247802|1104|1.00|Transfer|||503809
247803|1105|5.00|Week|||503809
247838|1101|N/A|week|0|1000|503820
247839|1102|N/A||||503820
247840|1103|100||||503820
247841|1104|N/A||||503820
247842|1105|N/A||||503820
247870|1101|$71.00|QUARTER|$54.00|$71.00|503829
247871|1102|3.5%|GROSS WAGES|.5%|3.5%|503829
247872|1103|$900.00|INITIATE|$225.00|$900.00|503829
247873|1104|N/A|N/A|N/A|N/A|503829
247874|1105|N/A|N/A|N/A|N/A|503829
247875|1101|26.70|Mo|4.5% of gross|0|503836
247876|1103|0|0|0|0|503836
247877|1104|0|0|0|0|503836
247878|1105|0|0|0|0|503836
247884|1101|1.8%|bi-mo|0|0|503843
247885|1103|40.00|1x|40.00|40.00|503843
247886|1104|0|0|0|0|503843
247887|1105|0|0|0|0|503843
247941|1101|$3 to $25|Month|$3|$25|503856
247942|1103|$148/$500|Application|$148|$500|503856
247943|1104|$15|Transfer|||503856
247944|1105|N/A||||503856
248061|1101|8.40-34.00|month|8.40|34.00|503918
248062|1102|4%-6%|gross pay|4%|6%|503918
248063|1103|100.00|member|||503918
248064|1104|None||||503918
248065|1105|5.00|week|||503918
248132|1101|Various|Month|$14|$36|503944
248133|1102|Various|Hour|$.25|$2.68|503944
248134|1103|Various|Initiation|$40|$3,000|503944
248135|1104|N/A|N/A|N/A|N/A|503944
248136|1105|N/A|N/A|N/A|N/A|503944
248159|1101|20.00|MONTH|N/A|N/A|503951
248160|1102|NONE||N/A|N/A|503951
248161|1103||PERSON|50.00|100.00|503951
248162|1104|NONE||N/A|N/A|503951
248163|1105|20.00|MONTH|N/A|N/A|503951
248177|1101|20|month|0|20|503957
248178|1103|350|one time|0|350|503957
248179|1104|N/A|N/A|N/A|N/A|503957
248180|1105|N/A|N/A|N/A|N/A|503957
248305|1101|606.60|year|606.60|606.60|504021
270791|1104|||||517540
248306|1102|0|year|0|0|504021
248307|1103|300.00|year|0|0|504021
248308|1104|0|year|0|0|504021
248309|1105|0|year|0|0|504021
248399|1101|N/A|MONTH|6.00|31.00|504069
248400|1103|N/A|NEW MEMBER|50.00|250.00|504069
248401|1104|N/A|N/A|N/A|N/A|504069
248402|1105|N/A|N/A|N/A|N/A|504069
248486|1101|na|month|8.40|46.00|504092
248487|1102|5%|gross wages|na|na|504092
248488|1103|100|occurrence|na|na|504092
248489|1104|na|na|na|na|504092
248490|1105|5.00|week|na|na|504092
248625|1101|28|month|16|28|504129
248626|1102|N/A|N/A|N/A|N/A|504129
248627|1103|300|N/A|N/A-|N/A|504129
248628|1104|N/A|N/A|N/A|N/A|504129
248629|1105|N/A|N/A|N/A|N/A|504129
248788|1101|N/A|MONTH|$6.00|$27.00|504183
248789|1103|$425|NEW MB|N/A|N/A|504183
248790|1104|N/A|N/A|N/A|N/A|504183
248791|1105|N/A|N/A|N/A|N/A|504183
248797|1101|27|MONTH|NONE|NONE|504185
248798|1103|425|NEW MEMBER|NONE|NONE|504185
248799|1104|NONE|NONE|NONE|NONE|504185
248800|1105|NONE|NONE|NONE|NONE|504185
248815|1101|$41.40|MONTH|N/A|N/A|504190
248816|1102|||||504190
248817|1103|500|N/A|||504190
248818|1104|||||504190
248819|1105|||||504190
248885|1101|$35.00|month|N/A|N/A|504207
248886|1103|N/A|N/A|N/A|N/A|504207
248887|1104|$15.00|instance|N/A|N/A|504207
248888|1105|N/A|N/A|N/A|N/A|504207
248945|1101|20.00|MONTH|0.00|0.00|504223
248946|1102|0.59|HOUR|0.00|0.00|504223
248947|1103|||||504223
248948|1104|||||504223
248949|1105|||||504223
249310|1101|$20.00|month|$6.00|$20.00|504334
249311|1102|$1.18|hour|||504334
249312|1103|$150.00|member|$30.00|$150.00|504334
249313|1104|||||504334
249314|1105|||||504334
249379|1101|24.50/2.25|MO/HR|N/A|N/A|504349
