OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
8582|NONE|0|0|0|0|0|368395
9190|Ford Motor Credit - Vehicle|19595|0|5641|0|13954|375764
6307|Apprenticeship Trust|3294|0|3294|0|0|344693
8363|NONE|0|0|0|0|0|366995
8367|SHEET METAL CREDIT UNION|68008|0|47850|0|20158|367283
8368|Texas First Bank|3730|0|3730|0|0|367300
8369|XEROX CORPORATION|0|10299|0|0|10299|367322
8373|MORTGAGE LOAN|75875|0|18704|0|57171|367379
8374|GMAC Financing|7408|0|1227|6181|0|367416
8375|Chrysler Credit|27848|0|6499|0|21349|367416
8376|GMAC Financing|0|28794|5329|0|23465|367416
8422|CHASE|19732|0|2964|0|16768|367456
8423|FORD|11772|0|4187|0|7585|367456
8424|J.P. MORGAN|0|29466|257|0|29209|367456
8429|RIVERSIDE BANK|0|20000|3666|0|16334|367472
8430|HUNTINGTON NATIONAL BANK|14991|0|3579|0|11412|367474
8431|HUNTINGTON NATIONAL BANK|15269|0|3647|0|11622|367474
8432|KEY BANK|123787|0|25893|0|97894|367474
8434|NOTES PAYABLE|1386|13750|1386|0|13750|367511
8441|Donald & Emma Trent|49192|0|45236|0|3956|367627
8443|NONE|0|0|0|0|0|367632
8444|NONE|0|0|0|0|0|367671
8445|EASTERN BANK|6331|0|6331|0|0|367679
8446|IWDCIFM|76000|0|76000|0|0|367679
8447|Suntrust Bank|78950|0|14056|0|64894|367689
8453|None - Not Applicable|0|0|0|0|0|367771
8454|Daimler Chrysler Truck Financial|54754|0|11136|0|43618|367787
8455|AMALGAMATED BANK|0|6386868|0|0|6386868|367794
8456|NONE|0|0|0|0|0|367829
8457|Brotherfhhold Bank & Trust|39068|0|39068|0|0|367836
8458|Boilermakers Local #175|159070|0|0|0|159070|367836
8459|NONE|0|0|0|0|0|367852
9191|Ford Motor Credit - Vehicle|31390|0|6608|0|24782|375764
9192|Old National Bank - Mortage|84788|0|4304|0|80484|375764
9193|CREDIT CARD|0|3039|0|0|3039|375766
9194|NONE|0|0|0|0|0|375856
9195|Greylock Federal Credit Union|112686|0|112686|0|0|375912
9196|WESTERN SECURITY BANK|12845|0|3458|0|9387|375914
9197|DOLPHIN CAPITAL CORPORATION|4961|0|2536|0|2425|375914
9198|WESTERN SECURITY BANK|16533|0|3886|0|12647|375914
9199|WESTERN SECURITY BANK|0|15225|818|0|14407|375914
9200|CHASE|43588|0|2994|0|40594|375971
9201|Automobiles|4379|0|4379|0|0|376128
8471|NONE|0|0|0|0|0|367887
9202|SMITH BARNEY-AGAINST CD'S|0|51147|0|0|51147|376493
9203|AUTO LOAN-M & T CREDIT|26868|0|5559|0|21309|376517
8481|New England Regional Council|125591|0|10116|0|115475|367901
8482|Commonwealth Bank|24620|0|24620|0|0|367901
8485|Colorado Springs National Bank|95688|0|66797|0|28891|367918
8486|Ford Motor Credit|27269|0|8844|0|18425|367932
8487|XEROX AND OTHER LEASES|27990|0|18500|0|9490|367958
8488|LESSOR-PITNEY BOSES (POSTAGE)|49235|0|18052|0|31183|367958
8489|LESSOR-SOLARCOM (PRINT SHOP)|439010|0|99322|0|339688|367958
8490|LESSOR-SOLARCOM (PHASER)|3356|0|972|0|2384|367958
8491|LESSOR-SOLARCOM (DP-12)|68502|0|19280|0|49222|367958
8492|LESSOR-SOLARCOM (WCP-90)|32733|0|9213|0|23520|367958
8493|LESSOR-SOLARCOM (WCP-128)|8191|0|2305|0|5886|367958
8494|LESSOR-SOLARCOM (AS400)|438623|0|166439|0|272184|367958
8495|LESSOR-SOLARCOM (AS400)|118434|0|40495|0|77939|367958
8496|LESSOR-SOLARCOM (COPIER)|25375|0|5480|0|19895|367958
8497|LESSOR-SOLARCOM (DA 950 MAILING)|0|35060|6823|0|28237|367958
8498|SOLARCOM (IFSD)|0|4300|1490|0|2810|367958
8499|SOLARCOM (BINDING MACHINE)|0|31257|10618|0|20639|367958
8500|SOLARCOM (PRINT SHOP)|0|9993|3660|0|6333|367958
8501|No. CA Carpenters Regional Council|0|1350000|4460|0|1345540|367966
8502|HUNTINGTON BANK|130386|0|18106|0|112280|367981
8503|FORD MOTOR CREDIT-TAURUS|1999|0|1999|0|0|367981
8504|FORD MOTOR CREDIT-500|5631|0|5631|0|0|367981
8505|FORD MOTOR CREDIT-FOCUS|4160|0|4160|0|0|367981
8506|FORD MOTOR-FUSION|15039|0|7241|0|7798|367981
8507|GMAC- 3 BUICK CENTURIES|3250|0|3250|0|0|367981
8508|None|0|0|0|0|0|367986
8509|None|0|0|0|0|0|367994
8510|NONE|0|0|0|0|0|368004
8511|NONE|0|0|0|0|0|368048
8512|IBEW LU 278 FCU B|1688|0|1688|0|0|368052
8513|IBEW LU 278 FCU E|6967|0|6967|0|0|368052
8514|IBEW LU 278 FCU F|6866|0|6866|0|0|368052
8515|IBEW LU 278 FCU  G|3643|0|3643|0|0|368052
8516|IBEW LU 278 FCU B|0|3941|328|0|3613|368052
8517|IBEW LU 278 FCU  C|0|10121|4175|0|5946|368052
8518|UNION SAVINGS BANK|14624|0|3612|0|11012|368062
8519|PowerNet Credit Union|17621|0|4271|0|13350|368127
8523|CSEA, Council 400|77914|0|19519|0|58395|368186
8524|NO CALIFORNIA CARPENTERS REGIONAL COUNCIL|327408|0|47130|0|280278|368196
8525|Sovereign Bank|18022|0|3246|0|14776|368198
8526|None|0|0|0|0|0|368199
8528|NONE|0|0|0|0|0|368201
8529|NONE|0|0|0|0|0|368202
8530|NONE|0|0|0|0|0|368204
8531|UNITED LABOR BANK NOTE|186710|0|2542|0|184168|368205
8532|UNITED LABOR CREDIT CARD|0|14582|6464|0|8118|368205
8533|IRONWORKERS INTL.|0|5552|0|0|5552|368205
8534|IRONWORKERS INTL.PER CAP|0|45000|0|0|45000|368205
8535|NONE|0|0|0|0|0|368206
8536|NONE|0|0|0|0|0|368207
8537|NOTE FROM NCCRC|2039696|0|36648|0|2003048|368208
