RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
588854|||300||||||||||0|1500|0|2000|0|||0|6776|||||||||||1470||16674
589480|||150||||||||||0|25319|0|0|0|||0|12990|||||||||||13208||3673
585828|||0||||||||||1352|21486|0|0|0|||0|8934|||3544||||||||50842||7519
591966|||500||||||||||1342|5200|0|0|0|||1|0|||||||||||2494||0
589448|||825||||||||||0|0|918|0|0|||3673|76380|||||||||||954||1600
576380|||825||||||||||6732|8545|0|0|0|||6693|1625|||||||||||5275||0
589525|||300||||||||||32704|14166|0|0|0|||27269|2078|||||||||||8165||0
585280|||0||||||||||160983|15767|0|0|0|||0|0|||||||||||18256||1939
597360|||2000||||||||||16221|9994|0|1600|0|||7358|0|||||||||||2660||18
579706|||2170|||||||||||23948||||||6312|1051|||||||||||1613||319
581493|||0||||||||||6982|7402|0|468|0|||3325|2375|||1591||||||||1225||1128
589931|||||||||||||28516|1412||||||695||||||||||||1103||
589113|||392||||||||||300|426|0|0|0|||0|47|||||||||||0||1819
595535|||1847||||||||||0|36555|0|5000|0|||112185|0|||||||||||1151||0
584195|||250||||||||||0|2655|0|0|0|||11158|250|||||||||||172||0
557426|||5764||||||||||27543|13800|0|0|0|||51219|0|||||||||||1073||39463
559035||||||||||||||6697||||||2131||||||||||||2016||1700
599720|||1119||||||||||0|20343|0|0|0|||0|3686|||||||||||14779||2625
592873|||3363||||||||||2430|48865|502|0|0|||48609|11959|||||||||||17147||3369
593097|||0||||||||||5942|0|0|0|0|||0|0|||||||||||296||0
561924|||0||||||||||0|4244|0|0|0|||0|653|||||||||||231||5559
560986|||0||||||||||0|0|0|0|0|||0|0|||||||||||121||0
602778|||5426||||||||||33690|37857|0|786|0|||2525|0|||||||||||19375||4373
595991|||433||||||||||0|9006|0|0|0|||926|0|||||||||||6291||0
