OID|DESCRIPTION|COST_BASIS|DEPRECIATION|BOOK_VALUE|VALUE|ASSET_TYPE|RPT_ID
346641|2615 Washington Street Waterloo IA 50702|190200|0|190200|190200|301|698480
346642|2615 Washington Street Waterloo IA 50702|1168400|0|1168400|1168400|302|698480
346643|Automobiles and Other Vehicles|||||303|698480
346644|Office Furniture and Equipment|547080||547080|547080|304|698480
346645|Other Fixed Assets|||||305|698480
345453|110 DRY ROAD, WHITESTOWN, NY |373915|43793|330122|330122|302|697783
345454|Automobiles and Other Vehicles|97223|51644|45579|45579|303|697783
345455|Office Furniture and Equipment|55829|50069|5760|5760|304|697783
345456|Other Fixed Assets|||||305|697783
353124|Automobiles and Other Vehicles|||||303|710063
353125|Office Furniture and Equipment|2591227|894948|1696279|1696279|304|710063
353126|Other Fixed Assets|4218992|505371|3713621|3713621|305|710063
348486|Automobiles and Other Vehicles|||||303|699473
348487|Office Furniture and Equipment|47857|1091|46766|45000|304|699473
348488|Other Fixed Assets|||||305|699473
357387|Automobiles and Other Vehicles|0|0|0|0|303|713882
357388|Office Furniture and Equipment|0|0|0|0|304|713882
357389|Other Fixed Assets|0|0|0|0|305|713882
337370|Automobiles and Other Vehicles|0|0|0|0|303|690906
337371|Office Furniture and Equipment|1996|1996|0|0|304|690906
337372|Other Fixed Assets|0|0|0|0|305|690906
340189|402 37th Street Richmond CA|155000|0|155000|155000|301|694240
340190|402 37th Street Richmond CA|450028|285383|164645|164645|302|694240
340191|Automobiles and Other Vehicles|||||303|694240
340192|Office Furniture and Equipment|142014|128800|13214|13214|304|694240
340193|Other Fixed Assets|4259|1166|3093|3093|305|694240
332744|Automobiles and Other Vehicles|||||303|683592
332745|Office Furniture and Equipment|||||304|683592
332746|Other Fixed Assets|||||305|683592
330630|Automobiles and Other Vehicles|||||303|681973
330631|Office Furniture and Equipment|||||304|681973
330632|Other Fixed Assets|||||305|681973
346456|Automobiles and Other Vehicles|0|0|0|0|303|698397
346457|Office Furniture and Equipment|40264|4200|36064|36064|304|698397
346458|Other Fixed Assets|0|0|0|0|305|698397
330612|Automobiles and Other Vehicles|76682|67174|9508|9508|303|681925
330610|NONE|0|0|0|0|301|681925
330613|Office Furniture and Equipment|35569|29589|5980|5980|304|681925
330614|Other Fixed Assets|22990|22990|0|0|305|681925
330611|NONE|0|0|0|0|302|681925
330672|814 Airport Blvd., Austin, Texas|124387|0|124387|2324570|301|682032
330673|814 Airport Blvd., Austin, Texas|4245721|818916|3426805|2103300|302|682032
330674|Automobiles and Other Vehicles|33725|17987|15738|15738|303|682032
330675|Office Furniture and Equipment|152716|129468|23248|23248|304|682032
330676|Other Fixed Assets|81378|46458|34920|34920|305|682032
335791|Automobiles and Other Vehicles|||||303|686230
335792|Office Furniture and Equipment|4442|663|3779|3500|304|686230
335793|Other Fixed Assets|||||305|686230
331300|Automobiles and Other Vehicles|143702|58271|85430|85430|303|682799
331301|Office Furniture and Equipment|211302|156612|54691|55000|304|682799
331302|Other Fixed Assets|||||305|682799
332817|Automobiles and Other Vehicles|||||303|683647
332818|Office Furniture and Equipment|22331|19576|2755|2755|304|683647
332819|Other Fixed Assets|||||305|683647
