RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
700568|||0||||||||||97590|16500|0|16463|0|||0|0|||0||||||||49018||31789
697783|215208|19829|45386|176545|222074|83481|0|0|0||23608|0|177508|296519|31554|287781||9900|0||38761|83481||||0|0|0|1908|79794|45426|||
702148|||50||||||||||49464|1804|0|0|0|||3621|0|||0||||||||7335||3415
711880|||741||||||||||0|2000|0|4212|0|||65|0|||0||||||||2522||12621
700556|||1314||||||||||0|8022|0|0|0|||0|0|||957||||||||13307||5943
699038|||363||||||||||1830|43033|0|0|0|||0|16563|||||||||||51910||1789
702145|||0||||||||||3272|3900|0|0|0|||284|0|||0||||||||398||228
692344|||0||||||||||0|0|0|0|0|||0|10122|||0||||||||12862||148
699941|||500||||||||||0|0|0|0|0|||211|63546|||0||||||||273||2400
700925|||340||||||||||0|0|0|0|0|||7623|678|||0||||||||253||0
697263|||0||||||||||0|15210|0|0|0|||7907|0|||4261||||||||7869||0
708748|||0||||||||||34275|20296|0|0|0|||39716|4101|||||||||||893||0
697333|30190|0|317|8021|10205|1237|0|0|0||1569|0|178511|15925|||||0|||1237||1237|||20679|0|317|2952|2553|||
703950|||0||||||||||0|0|0|0|0|||11282|0|||0||||||||854||100
707337|||1287||||||||||17451|21113|0|1600|0|||50|447|||0||||||||18606||1750
696172|||3915||||||||||3002|19314|0|0|0|||4098|50|||||||||||289||0
708909|||0||||||||||157|3761|0|0|0|||4702|0|||1378||||||||0||0
676190|||0||||||||||22838|25586|0|0|0|||20710|0|||7911||||||||7192||1405
697451|||10350||||||||||33050|0|0|0|0|||9150|0|||0||||||||53506||250
702547|||2953||||||||||0|19600|0|0|0|||4722|0|||7921||||||||7474||533
698411|||200||||||||||1670|37332|0|0|0|||34130|0|||||||||||660||1000
708379|||0||||||||||0|0|0|0|0|||19789|0|||0||||||||271||0
703258|||0||||||||||0|0|0|0|0|||48605|0|||||||||||21820||5558
706183|||502||||||||||0|0|0|0|0|||112|0|||0||||||||0||0
691915|||11240||||||||||0|60670|0|0|0|||107544|1916|||0||||||||5774||745
689277|||0||||||||||0|0|0|0|0|||5300|0|||0||||||||600||0
692299|||5606||||||||||59679|64264|0|5259|0|||7706|0|||0||||||||10713||19353
