OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
23176|0|0|0|0|0|0|562723
23186|0|0|0|0|0|0|562810
23195|0|0|0|0|0|0|562911
21603|None|0|0|0|0|0|539082
21625|Bank of America|389744|0|17060|372684|0|540584
21730|NONE|0|0|0|0|0|543375
24050|0|0|0|0|0|0|584409
23280|AFSCME|295000|0|70000|0|225000|572986
22719|N/A|0|0|0|0|0|554044
22729|N/A|0|0|0|0|0|554856
22742|None|||||0|555095
22743|None|0|0|0|0|0|555120
22744|Capitalized lease payable|8815|0|2396||6419|555138
22747|NONE|0|0|0|0|0|555148
22810|UURWAW INTERNATIONAL UNION|32500|0|3559|28941|0|556816
22812|SUNTRUST LINE OF CREDIT|0|622672|0|0|622672|556933
22813|NONE|0|0|0|0|0|556953
22824|Ford Motor Credit|16031||1734||14297|557317
22825|Ford Motor Credit|17423||502|16921|0|557317
22826|GMAC Finance|11302||977|10325|0|557317
22827|Seneca Falls Savings Bank|11626||11626||0|557317
22828|Beacon Federal|28914||7738||21176|557317
22829|Ford Motor Credit|0|31000|902||30098|557317
23281|Ford Credit|15026|15749|16125||14650|572990
22837|GMAC - 2011 CHEVY IMPALA|11106|0|3745|0|7361|557481
22838|GMAC - 2010 CHRYSLER TOWN & COUNTRY|6266|0|5017|0|1249|557481
22839|NONE|0|0|0|0|0|557555
22840|DC 33 LEGAL SERVICES PLAN|122544|0|0|0|122544|557559
22841|NONE|0|0|0|0|0|557607
22843|KEYBANK LINE OF CREDIT |0|2131159|2131159||0|557669
22845|OPEIU INTERNATIONAL|0|45000|0|0|45000|557716
22847|Ford Credit|27184|0||27184|0|557746
22849|NONE|0|0|0|0|0|557779
22850|Ford Credit - Automobile|7056||2429||4627|557794
22851|P&CM LOCAL 111 HEALTH FUND|35519||35519||0|557834
22852|COMERICA BANK|0|1160041|30530||1129511|557837
22853|FORD MOTOR CORP|88190|81200|38829|47500|83061|557839
22854|ALLY FINANCIAL|0|46921|3656|0|43265|557839
22855|IBEW |7952||3056|0|4896|557847
22856|155 West 46 Owner LLC|4000000||||4125293|557871
22857|SEIU Local 503|0|75000|0|0|75000|557902
22858|OHWBST|0|100000|0|0|100000|557902
22870|N/A|0|0|0|0|0|559585
22871|ALLY VEHICLE FINANCING|27000|0|4779|0|22221|559646
22872|POWERNET BANK - AUTO|13264|0|5136|0|8128|559662
22873|Northeastern Engineers Federal Credit Union|271491|0|15074|0|256417|559703
22874|N/A|0|0|0|0|0|559721
22875|HERGET BANK|20495|0|9311|0|11184|559745
22876|FORD MOTOR CREDIT|0|41872|5583|0|36289|559745
22877|AUTOSERV OF TILTON NH|50428|0|14242|0|36186|559751
22879|MORGAN STANLEY|153049|1473|154522|0|0|559783
22880|Mortgage Loan|675161||19193||655968|559788
22881|N/A|0|0|0|0|0|559822
22889|N/A|0|0|0|0|0|559988
22890|XEROX CORPORATION|9164|0|1759||7405|560111
22892|NONE|0|0|0|0|0|560183
22893|NONE|0|0|0|0|0|560290
22894|PNC COMMERCIAL LOAN|609302|0|609302|0|0|560307
22895|BOK COMMERCIAL LOAN|0|582485|12609|0|569876|560307
22896|N/A|0|0|0|0|0|560325
22897|NONE|0|0|0|0|0|560424
22898|Busey Bank Mortgage|1185691||40675||1145016|560483
22902|Ford Motor Credit|20367||4666||15701|560664
22903|Ford Motor Credit|22833||5231||17602|560664
22904|HUNTINGTON NATONAL BANK-VEHICLE LOAN|18870|0|18870|0|0|560701
22905|N/A|0|0|0|0|0|560704
22906|FORD CREDIT|37080|0|25371|7261|4448|560706
22907|DISTRICT COUNCIL 16|0|2300000|2300000|0|0|560712
22910|NONE|0|0|0|0|0|560730
22911|Ford Motor Credit|0|37484|7977|0|29507|560743
22912|PICKUP LOANS|8951|39918|8951||39918|560809
22913|None|0|0|0|0|0|560825
22914|NONE|0|0|0|0|0|560839
22915|SUNTRUST BANK|40418339|0|0|0|40418339|560870
22916|WEST COAST BANK|184894||75565||109329|560874
22917|WEST COAST BANK|35000||35000||0|560874
22918|NONE|0|0|0|0|0|560897
22919|NONE|0|0|0|0|0|560903
22920|PAC NW IRONWKRS CU|18303|0|2927|0|15376|560969
22921|IBEW LU 278 FCU  N|2150||2150||0|560999
22922|IBEW LU 278 FCU  V|33257||33257||0|560999
22923|IBEW LU 278 FCU  W|7137||7137||0|560999
22924|IBEW LU 278 FCU  X|4409||4409||0|560999
22925|FORD MOTOR CREDIT|0|24436|350||24086|561000
22929|N/A|0|0|0|0|0|561008
22930|NONE|0|0|0|0|0|561023
22931|NONE|0|0|0|0|0|561032
22932|NONE|0|0|0|0|0|561040
22933|NONE|0|0|0|0|0|561043
22934|NONE|0|0|0|0|0|561055
22935|N/A|0|0|0|0|0|561156
22936|COOP. CASA DEL TRABAJADOR|7219|0|5026|0|2193|561195
22937|DE LAGE LANDEN FINANCIAL|9743|0|4628|0|5115|561195
22938|VEGA COOP. - MORTGAGE|596419|0|23950|0|572469|561195
22944|NONE |0|0|0|0|0|561208
22945|N/A|0|0|0|0|0|561213
22946|NONE|0|0|0|0|0|561272
22947|Ally|13176|0|13176|0|0|561285
22948|Ford|12735|286|13021|0|0|561285
22949|Ford|16217|343|16560|0|0|561285
22950|Ford|16215|343|16558|0|0|561285
22951|Chrysler|0|20478|4019|0|16459|561285
22952|NONE|0|0|0|0|0|561311
22953|NONE|0|0|0|0|0|561315
22954|GMAC|11964|0|5981|0|5983|561371
22955|GMAC|10063|0|3356|6707|0|561371
22956|FORD|0|29500|0|0|29500|561371
22957|FORD|0|29441|0|0|29441|561371
22958|FORD|0|29722|0|0|29722|561371
22959|CHASE AUTO FINANCE|0|27780|7444||20336|561374
22960|AUTOMOBILE LOANS|126474|0|31435||95039|561375
22961|BancorpSouth|1970|54|2024||0|561377
22962|NONE|0|0|0|0|0|561387
22963|N/A|0|0|0|0|0|561400
