OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
198820|1104|N/A|N/A|N/A|N/A|463423
169660|1103|||||432772
169661|1101|0|month|||432772
169662|1104|||||432772
169663|1105|||||432772
176534|1101|0|NONE|29|37|439408
176535|1102|NONE|NONE|NONE|NONE|439408
176536|1103|0|MEMBER|150|165|439408
176537|1104|NONE|NONE|NONE|NONE|439408
176538|1105|NONE|NONE|NONE|NONE|439408
178235|1101|$25.20|BI-WEEKLY|$5.00|.08%|440961
178236|1102|||||440961
178237|1103|||||440961
178238|1104|||||440961
178239|1105|||||440961
179104|1101|0|0|0|0|443057
179105|1102|0|0|0|0|443057
179106|1103|0|0|0|0|443057
179107|1104|0|0|0|0|443057
179108|1105|0|0|0|0|443057
180177|1101|8% |0|0|0|444549
180178|1102|0|0|0|0|444549
180179|1103|500.|0|0|0|444549
180180|1104|0|0|0|0|444549
180181|1105|0|0|0|0|444549
197341|1102|NONE||||460428
197159|1101|7.00|week|7.00|7.00|460066
197160|1102|||||460066
197161|1103|100.|lifetime|100.00|100.00|460066
197162|1104|||||460066
197163|1105|||||460066
185980|1101|29.34|Pay Period|29.34|29.34|448936
185981|1102|0||||448936
185982|1103|0||||448936
185983|1104|0||||448936
185984|1105|0||||448936
187101|1101|9-11|MONTH/MEMBER|9|11|449320
187102|1102|1.5% -3.0%|WAGES|1.5%|3.0%|449320
187103|1103|5-450|MEMBER|5|450|449320
187104|1104|90-225|MEMBER|90|225|449320
187105|1105|0||0|0|449320
187486|1101|4.5%|MO|NA|NA|449511
187487|1102|NA|NA|NA|NA|449511
187488|1103|NA|NA|NA|NA|449511
187489|1104|NA|NA|NA|NA|449511
187490|1105|NA|NA|NA|NA|449511
189116|1101|NA|NA|NA|NA|450193
189117|1102|NA|NA|||450193
189118|1103|NA|NA|||450193
189119|1104|NA|NA|||450193
189120|1105|NA|NA|||450193
197342|1103|100.00||||460428
205781|1102|||||467504
197343|1104|NONE||||460428
197344|1105|NONE||||460428
193361|1101|N/A|N/A|N/A|N/A|451819
193362|1102|N/A|N/A|N/A|N/A|451819
193363|1103|N/A|N/A|N/A|N/A|451819
193364|1104|N/A|N/A|N/A|N/A|451819
193365|1105|N/A|N/A|N/A|N/A|451819
194853|1101|N/A|N/A|N/A|N/A|452533
194854|1102|N/A|N/A|N/A|N/A|452533
194855|1103|N/A|N/A|N/A|N/A|452533
194856|1104|N/A|N/A|N/A|N/A|452533
194857|1105|N/A|N/A|N/A|N/A|452533
195233|1103|50.00|Member|50.00|50.00|453190
195234|1101|1.5|Hour|26.00|55.00|453190
195235|1104|None||0.00|0.00|453190
195236|1102|None||0.00|0.00|453190
195237|1105|None||0.00|0.00|453190
195588|1101|36.00|month|0|36.00|454543
195589|1102|0|N/A|||454543
195590|1103|55.00|initiation|55.00|700.00|454543
195591|1104|0|N/A|||454543
195592|1105|0|N/A|||454543
196023|1101|12.00|Month|9.60|12.00|456839
196024|1102|.58|Working hours|.56|.66|456839
196025|1103|200.00|N/A|160.00|200.00|456839
