RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
479202|3395|0|0|||0|||0||8839||||
475582|38953||0|||5|||0||0||||
476141|121501|0|0|||58|||540||27449||||
474359|13649|0|0|||566|||0||0||||
490782|47691|0|0|||1908|||80||2041||||
475740|18960|0|0|||0|||0||0||||
468714|24542|0|0|||37|||0||0||||
483458|36285|0|0|||54|||1057||5029||||
473816|11693|64|0|||234|||0||168||||
468444|30500|0|0|||994|||94907||0||||
495883|9248|0|0|||53|||0||3340||||
465093|31621|0|0|||348|||0||0||||
495283|546668|0||0||63|0|0|5015||71138|0|0|0|111
501124|58035|0|0|||34|||0||218||||
494571|2511|0|0|||0|||0||37987||||
460274|12536|||||15|||||50||||
477085|0|18120|0|||50|||0||0||||
478485|117426|0|0|||3114|||0||5285||||
478122|54219|0|0|||0|||0||0||||
479862|0|217876||0||349|0|0|170413||51808|103004|0||51808
458748|0|27266|0|||24|||0||36708||||
472707|7521|954|0|||0|||0||35||||
476679|21949|0|0|||2|||0||0||||
472680|19019|0|0|||0|||0||30||||
502494|21837|0|0|||0|||0||0||||
472851|97460|0|0|||197|||1650||2330||||
475653|9240|0|0|||0|||240||45||||
490546|790643|0|0|0||0|0|0|0|0|0|0|0||
491983|97379|0|0|||893|||0||17894||||
477309|0|379263||0||8312|0|0|0|0|1742443|0|0||237443
471349|14112|0|0|||0|||0||0||||
494336||12200|||||||||||||
489241||28758|||||||||476||||
501283|19380|0|0|||0|||0||2286||||
489142|0|18613|0|||0|||0||5100||||
474667|22094|0|0|||0|||0||0||||
470992|586944|0|0|0||3583|0|0|0|0|374596|0|0||
495273|1503543|0|0|9007||16065|1301|0|200|0|199838|0|3297||19842
472569|50283|0|0|||182|||0||334||||
469051|110719|0|0|||1123|||0||0||||
471826|15652|0|0|||0|||0||0||||
472669|0|27428|0|||0|||0||1180||||
489320|194870|34804||0||2|0|295|95|38000|4141|0|0|0|
495636|9300|0|0|||0|||0||300||||
489083|9045615|0|0|1897||5817|0|4349|69415|0|199371|0|0|0|18472
464065|37758|0|0|||0|||0||0||||
496477|12795|14402|0|||8045|||0||0||||
490802|597989|0|37735|0||0|3876|0|0||9971|0|0||1353
476380|16344|0|0|||64|||0||2095||||
477527|17157|0|0|||13|||0||1469||||
468928|0|395000||0||2865|0|0|90000||542811|5037229|0||2722
467451|0|298566||0||767|0|0|0||25928|0|0||18653
465019|83509|0|80|||456|||0||2287||||
477007|18800|0|0|||0|||0||6974||||
476597|59691|0|0|||0|||240||0||||
468903|49967|0|0|||88|||0||631||||
476765|136311|0|0|||292|||0||1901||||
489664|2092009|0||0||25179|0|32000|0||449819|0|0||173729
