OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|CASH_PAID|RPT_ID
107215||BANK OF AMERICA FDG CORP NOTE; 4.5%; DUE 4/1/15|29723|29723|29723|448963
107230||PIMCO FUNDS PAC INVT - 1,766.784 SHARES|20000|20000|20000|448963
107229||2010 BUICK LACROSSE|30092|30092|30092|448963
107228||PIMCO SHORT TERM FUND - 10,141.988 SHARES|75861|75861|75861|448963
107227||NATIXIS LOOMIS SAYLES HIGH - 1,658.375 SHARES|20000|20000|20000|448963
107226||LOOMIS SAYLES FDS II INVT GRADE - 1658.375 SHARES|20000|20000|20000|448963
107225||EATON VANCE FLGT RATE FUND CLI- 2,234.637 SHS|20000|20000|20000|448963
107224||PIMCO FUNDS PAC INVT. MGMT - 9,029.026 SHARES|100000|100000|100000|448963
107223||PIMCO SHORT TERM FUND-16,227.181 SHARES|160000|160000|160000|448963
107222||NATIXIS LOOMIS SAYLES HIGH - 14,470.992 SHARES|70000|70000|70000|448963
107221||LOOMIS SAYLES FDS II INVT GRADE-9,995.951 SHARES|120000|120000|120000|448963
107220||EATON VANCE GLOBAL MACRO FUND-2,884.615 SHARES|30000|30000|30000|448963
107219||EATON VANCE FLTG RATE FUND CL I - 7,944.765 SHARES|70000|70000|70000|448963
107218||HSBC FIN CORP NT; 5.0%; DUE 6/30/15|20718|20718|20718|448963
107217||DEUTSCHE BK AG GLOBAL MTN GERMANY; 3.45%; DUE 3/30|29795|29795|29795|448963
107216||CITIGROUP INC. SR NOTE; 4.75%; DUE 5/19/15|19850|19850|19850|448963
110848||Zerox copier machines (two)|18104|18104|18104|452223
98422||PHONE|344|344|344|433208
98430||FORD TAURUS|28528|28528|23028|433208
98429||SOUNDSTATION|480|480|480|433208
98428||LAPTOP|1235|1235|1235|433208
98427||SERVER|2902|2902|2902|433208
98426||LAPTOP|1179|1179|1179|433208
98425||FILE CABINET|1685|1685|1685|433208
98423||BOOKSHELVES|1019|1019|1019|433208
98424||LAPTOP|858|858|858|433208
98451||Construction in Progress - Building
814 Airport|1439406|1439406|162609|433356
100093||Federal Home Ln Bnk 2.25% Due 9/15/14|99570|99570|99570|435898
100102||Federal Home Ln Bnk 4% Due 07/08/19|25230|25230|25230|435898
100101||UST Infl IDX 1.875% Due 7/15/19|30592|20593|30592|435898
100100||Federal Home Ln Bnk Due 7/8/19|29928|29928|29928|435898
100099||SIT US Govt Sec Fund|173000|173000|173000|435898
100098||Federal Home Ln Bnk 3% Due 12/28/16|239431|239431|239431|435898
100097||GNMA II 6% Due 8/20/38|21689|21689|21689|435898
100096||GNMA II 6% Due 7/20/38|57952|57952|57952|435898
100095||Federal Home Ln Bnk 3% Due 10/13/17|139678|139678|139678|435898
100094||Federal Home Ln Bnk 1.25% Due 12/24/12|99895|99895|99895|435898
100404||COMPUTER EQUIPMENT|1025|0|1025|436077
100405||OFFICE FURNITURE & EQUIPMENT|408|0|408|436077
104811||file cabinet|249|249|249|445447
109480||2010 Ford Truck|39930|39930|32430|450978
109482||Shop Building in Progress, 7320 University, LR, AR|99185|99185|88295|450978
109481||Security System|1953|1953|1953|450978
107761||Computer Equipment|1214|1214|1214|449347
107763||Computer Equipment|1389|1389|1389|449347
107762||Computer Equipment|5508|5508|5508|449347
107554||Automobile|21054|21054|21054|449206
105410||Dell Computer, Acerac Monitor|659|659|659|446786
105411||2007 Ford Edge Vehicle|24094|22094|22094|446786
109800||EQUIPMENT & FURNITURE|6734|6734|6734|451145
109802||HONOLULU BUILDING IMPROVEMENTS|22527|22527|22527|451145
109801||MARKETABLE SECURITIES|382235|382235|382235|451145
103180||Office Equipment|153|153|153|440183
103329||COMPUTER AND PRINTER|2221|1896|2221|440364
103330||FILING CABINETS|2733|2287|2733|440364
102226||Office equipment|730|730|730|438550
102957||Mutual Funds|20290|20290|20290|439886
102960||Savings Accounts|78690|78690|78690|439886
102959||2 Computers|2727|2727|2727|439886
102958||Windows|2145|2145|2145|439886
103147||EQUITY AND FIXED INCOME SECURITIES|2938245|2938245|2938245|440137
103149||COMPUTER EQUIPMENT|25240|25240|25240|440137
103148||BUILDING IMPROVEMENTS|17600|17600|17600|440137
103339||DELL LAPTOP|789|789|789|440421
103341||BUILDING RENOVATIONS|5811|5811|5811|440421
103340||SOUND SYSTEM|990|990|990|440421
99665||MUTUAL FUND - NEW WORLD FUND CLASS A|29265|29265|29265|435620
99662||PURCHASES OF COMPUTER EQUIPMENT|1187|1187|1187|435620
99664||MUTUAL FD - AMERICAN INTERNATIONAL GR & INC. FUND|29265|29265|29265|435620
99663||PURCHASED MUTUAL FD - AMERICAN CAPITAL WORLD BOND|10000|10000|10000|435620
101270||MUTUAL FUNDS|207783|207783|207783|436482
101271||OFFICE FURNITURE|6603|6603|6603|436482
104893||OFFICE FURNITURE & EQUIPMENT|6169|6169|6169|445611
104894||STORAGE SHED|2332|2332|2332|445611
109409||Purchase of Office Laptop|477|477|477|450925
109407||Vanguard|60000|60000|60000|450925
