OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
20395|1103|5.00||||277772
20399|1105|||||277772
20398|1102|||||277772
20397|1104|||||277772
20396|1101|22.71/
56.50||||277772
151|1103|300|each|0|0|229933
155|1105|5|wk|0|0|229933
154|1102|25|mo|0|0|229933
153|1104|1|each|0|0|229933
152|1101|20|mo|0|0|229933
199208|1103|50.00||||463663
199212|1105|0|EVENT|||463663
199211|1102|0|MEMBER|||463663
199210|1104|0|EVENT|||463663
199209|1101|6.33|MEMBER|$6|$9|463663
199341|1103|0||||463702
199345|1105|0|Month|||463702
199344|1102|0||||463702
199343|1104|0||||463702
199342|1101|2 hours|Month|||463702
199164|1103|None||||463642
199168|1105|None||||463642
199167|1102|25% of|Loc Union Gross Work|||463642
199166|1104|None||||463642
199165|1101|1.00|Member|||463642
256|1103|||||243238
260|1105|||||243238
259|1102|||||243238
258|1104|||||243238
257|1101|||||243238
199247|1103||Month|||463674
199251|1105||Month|||463674
199250|1102||Month|||463674
199249|1104||Month|||463674
199248|1101|16.90|Month|$4|$21|463674
3828|1103|6.00-60.39|Month|||252295
3832|1105|||||252295
3831|1102|||||252295
3830|1104|||||252295
3829|1101|6.00-60.39|Month|||252295
251|1103|165||||243237
255|1105|0||||243237
254|1102|4.5%||||243237
253|1104|0||||243237
252|1101|50|QTR|||243237
8407|1103|$700|one time
fee|||269256
8411|1105|n/a||||269256
8410|1102|3%|dollar|||269256
8409|1104|$300|one time
fee|||269256
8408|1101|$55|quater|||269256
198953|1103|N/A|N/A|0|0|463491
198957|1105|N/A|N/A|0|0|463491
198956|1102|N/A|N/A|0|0|463491
198955|1104|N/A|N/A|0|0|463491
198954|1101|N/A|MONTH|$2|$37|463491
56|1103|||0|0|227102
60|1105|||0|0|227102
59|1102|||0|0|227102
58|1104|||0|0|227102
57|1101|15.50/42.00|Bi-Weekly/yearly|0|0|227102
198465|1103|600.00||||462905
198469|1105|N/A||||462905
198468|1102|N/A||||462905
198467|1104|0||||462905
198466|1101|23.00|MONTH|||462905
199217|1103|||||463667
199221|1105|||||463667
199220|1102|||||463667
199219|1104|||||463667
199218|1101|19.08|bi-weekly|||463667
198866|1103|24.50||||463440
198870|1105|||||463440
198869|1102|34.46|Month|||463440
198868|1104|||||463440
198867|1101|34.46|Month|||463440
