RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
87803|66949|||||626|||||2647||||
84718|524949||21899|994||21348|11482||11350||412927||||
126783|29582||0|||0|||0||0||||
82670|83693|0|0|||0|||0||0||||
99491|181281|||||334|||1925||||||
81599|8006|||||3854|||||6067||||
74371|12130|||||80|||||7616||||
78954|28819|0|0|||2305|||0||1271||||
80958|76990|0|90|||384|||1500||18218||||
83711|22660|0|0|||1422|||0||0||||
91156|84649|23||||951|||||124||||
70555|10190|0|0|||3257|||9377||28507||||
84604|0|102838|0|||2093|||0||11700||||
83573|46984|||||1879|||||30345||||
99117|8001||||4000||||33112||869189||||
99784|16828||||||||||||||
89045|16357|0|0|||119|||0||0||||
79044|5789|0|0|||128|||0||270||||
80321|50454|||||31|||19765||5524||||
89026|2755|||||178|||||25362||||
69747||29246||||1542|||||41985||||
81537|10425|0|0|||0|||0||0||||
90122|91489|0|0|||376|||0||128||||
81487|11398|||||566|||||358||||
87873|945874|||||25291|||0||15210||||
95945|143031|0|0|||588|||0||0||||
92095|87240|||||729|||||||||
89963|68731|0|0|||1734|||0||3356||||
107359|112137||||||||||||||
71879|87481|||||3138|||||9142||||
75885|17982|0|0|||402|||0||0||||
90006|160209|0|0|10300|0|18600|9099|0|391772|0|276150|0|0||
91377|20749|0|0|||278|||723||6133||||
106650|69422|0|0|||5164|||0||0||||
74613|755672|||||206366|||658103||213084||228290||
174760||22163||||3619|||||10121||||
81708|182498|0|0|1858|0|2520|0|0|0|0|22447|0|0||
101580|65456|||||306|||||||||
74463|66066|||||142|||||||||
73342|32932|0|0|||548|||0||1200||||
90127|39309|||||2543|||||1272||||
75571|49041|0|0|||19|||4800||18300||||
82026|73206|0|0|||3932|||0||7961||||
108397|77317|0||||1531|||0||20616||||
74521||43632|||||||0||7020|214483|238525||
96747|333279|0|0|0|0|2030|0|0|0|0|1114|0|0||
91616|48785||13751|||10583|||||3593||||
99889|18477||3586|||1451|||||1071||||
92874|50679|||||1893|||||66||||
95799|34477|||||785|||||13050||||
84175|27470|||||1112|||60||||||
89024|19682|||||1846|||14451||884||||
90717|96508|||||851|||||15074||||
104944|280479|0|0|0|0|0|0|0|0|0|916|0|||
92146|93248|||||2333|||||188||||
96259|13035|0|0|||35|||0||1303||||
87131|162529|0|0|0|0|1015|0|17231|337434|0|2749|0|0||
107251|0|118713|0|0|1500|0|0|0|9200|0|305140|0|0||
83620|13978||||||||||187||||
89304|142883|0|0|||258|||0||17730||||
79118|10299|0|0|||154|||0||51||||
