RPT_ID|ACCOUNTS_PAYABLE_START|ACCOUNTS_PAYABLE_END|LOANS_PAYABLE_START|LOANS_PAYABLE_END|MORTGAGE_PAYABLE_START|MORTGAGE_PAYABLE_END|OTHER_LIABILITIES_START|OTHER_LIABILITIES_END|TOTAL_START
87803|0|0|0|0|0|0|0|0|0
84718|2096|2326|||||||2096
126783|||||||||
82670|0|0|0|0|0|0|0|0|0
99491|1461|1384|10847|7982|||||12308
81599|0|0|0|0|0|0|0|0|0
74371|||||||||
78954|0|0|0|0|0|0|0|0|0
80958|5269|817|0|0|0|0|0|0|5269
83711|0|0|0|0|0|0|0|0|0
91156|||||||||
70555|0|0|0|0|0|0|0|0|0
84604|263|430|0|0|0|0|0|0|263
83573|||||||1812|1812|1812
99117|8787|57490|||||||8787
99784|||||||||
89045|314|381|0|0|0|0|0|0|314
79044|0|0|0|0|0|0|0|0|0
80321|||||||350|414|
89026|||||||||
69747|||||||||
81537|0|0|0|0|0|0|0|0|0
90122|0|0|0|0|0|0|0|0|0
81487|||||||||
87873|||||||||0
95945|||||||||
92095|||||||653|468|653
89963|0|0|0|0|0|0|0|0|0
107359|||||||||
71879|||||||||0
75885|0|0|0|0|0|0|0|0|0
90006|||||||||
91377|0|0|0|0|0|0|16|0|16
106650|0|0|217|0|0|0|636|724|853
74613|33773|56642|||||||33773
174760|||||||||0
81708|0|0|0|0|0|0|0|0|0
101580|||||||70|434|70
74463|||||||208|221|208
73342|0|0|0|0|0|0|0|0|0
90127|||||||||
75571|15772|7532|0|0|0|0|0|0|15772
82026|0|0|0|0|0|0|0|0|
108397|0|0|0|0|0|0|5921|2140|5921
74521|||||||||
96747|0|0|0|0|0|0|6000|4468|6000
91616|||||||497|455|497
99889|||||||||
92874|||||||504|1782|504
95799|||||||||
84175|107|2|||||301|301|408
89024|||||||278|413|278
90717|||||||3585|1532|3585
104944|0|0|0|0|0|0|0|0|0
92146|||||||||
96259|0|0|0|0|0|0|0|0|0
87131|0|0|22482|18584|0|0|17466|29688|39948
107251|0|0|0|0|0|0|1662|149|1662
83620|||||||||
89304|1915|0|0|0|0|0|13586|14458|15501
79118|0|0|0|0|0|0|0|0|0
95563|88|172|||||||88
90530|0|0|0|0|0|0|574|574|574
87783|||||||750|4967|750
83712|0|0|0|0|0|0|0|0|0
87369|0|0|0|0|0|0|49028|43145|49028
87346|444167|195617|100000|0|0|0|51116|7459|595283
83751|||||||||
82440|290|108|||||||290
89620|7136|50|0|0|0|0|0|7115|7136
100101|0|0|0|0|0|0|0|0|0
96053|||||||||
89659|0|0|0|0|0|0|0|0|0
82506|||||||||
84599|||||||||
89768|0|0|0|0|0|0|0|0|
92583|0|0|0|0|7150|5087|0|0|7150
78051|0|0|0|0|0|0|0|0|0
96214|||||||||0
84382|6240|1374|||||664|848|6904
86580|||||||||
76104|891|687|0|0|0|0|0|0|891
87817|||||||||
91587|0|0|0|0|0|0|0|0|0
97302|||||||||
88583|18329|14163|||||10150|2518|28479
80170|0|0|0|0|0|0|0|0|0
96499|||9388|28059|||29595|4581|38983
84677||||||||1244|
75740|1727|1588|||||||1727
79162|0|0|0|0|0|0|0|0|0
91008|0|0|0|0|0|0|0|591|0
90740|||||||||
88389|0|0|0|0|0|0|0|494|0
77956|||||||162|688|162
102101|||||||||
77602|0|0|0|0|0|0|0|0|0
107575|963|2514|0|0|0|0|0|569|963
80014|||||||||
82357|0|0|36336|26758|0|0|0|1626|36336
72376|||||||||
84678|164630|155372|||||||164630
92262|||||20000|20000|||20000
82522|||||||||
91403|0|0|0|0|0|0|0|0|0
91499|||||||||
99675|0|0|0|0|0|0|0|0|0
86123|137|737|||||137||
83707|0|0|0|0|0|0|0|0|0
84176|0|0|0|0|0|0|0|0|0
92523|0|0|0|0|0|0|817|678|817
82850|0|0|0|0|0|0|0|0|0
79981|680|57|0|0|0|0|123|123|803
100003|63547|57783|0|0|0|0|259133|12359|322680
85308|0|0|0|0|0|0|0|0|0
90525|0|0|0|0|0|0|0|0|0
92512|||||||||
89763||200|||||||
73586|182|182|||||||182
95887|369|213|0|0|0|0|0|0|369
99934|0|0|0|0|0|0|0|0|0
82208|0|0|0|0|0|0|0|0|0
96038|0|0|0|0|0|0|0|0|0
91624|0|0|157200|157200|0|0|0|0|157200
99972|0|0|0|0|0|0|52|346|52
87316|0|0|0|0|0|0|0|0|0
71262|0|0|0|0|0|0|0|0|0
81045|0|0|0|0|0|0|0|0|0
88726|0|0|0|0|0|0|123|652|123
83610|0|0|0|0|0|0|0|0|0
98839|498|444|0|0|0|0|0|0|498
83725|0|0|0|0|0|0|0|0|0
80902|0|0|0|0|0|0|0|0|0
99665|0|0|0|0|0|0|0|0|0
87970|0|0|0|0|0|0|0|0|0
81057|0|0|0|0|0|0|0|0|0
84502|9989|12628|0|0|0|0|54|30|10043
91671|0|0|0|0|0|0|0|0|
97055|||||||101|505|101
90980|0|0|0|0|0|0|0|0|0
85712|3494|18736|0|0|0|0|5754|5897|9248
81256|||||||||0
86038|0|0|0|0|0|0|183|0|183
96470|||||||644|626|644
84177|||||||||
86734|0|0|0|0|0|0|0|0|0
93262|0|0|0|0|0|0|0|0|0
74951|0|0|0|0|0|0|0|0|0
108559|||||||||
98210|||||||||
97355|0|0|0|0|0|0|0|0|0
85990|0|0|0|0|0|0|0|0|
93861|0|0|0|0|0|0|0|0|0
99540|0|0|0|0|0|0|0|0|0
80935|||||||||
85864|19032|13302|0|0|0|0|0|0|19032
83168|||||||||
95832|0|0|0|0|0|0|0|0|0
73810|||||||||
97354|0|0|0|0|0|0|0|0|0
87082|0|0|0|0|0|0|1454|1709|1454
117073|0|0|0|0|0|0|0|0|0
99607|||2917||||||2917
100020|0|0|0|0|0|0|0|0|0
88477|||||||||
97353|0|0|0|0|0|0|0|0|0
87982|149|0|0|0|0|0|0|0|39647
90342|0|0|0|0|0|0|0|0|0
91431|0|0|0|0|0|0|0|0|0
91012|0|0|0|0|0|0|0|0|0
84755|0|0|||||||
83829|0|0|0|0|0|0|0|0|0
88824|4941051|5826525|1364971|1867358|||785520|962237|7091542
107410|0|0|0|0|0|0|0|0|0
70267|0|0|||||||0
74008|0|29492|0|0|0|0|0|0|0
92815|||||||387|398|387
83069|0|0|0|0|0|58830|443|0|443
81727|0|0|0|0|0|0|0|0|
73001|0|0|0|0|0|0|0|0|0
76722|0|0|0|0|0|0|9|0|9
76821|0|0|0|0|0|0|0|0|0
78258|19083|24108|0|0|0|0|204332|157394|223415
77481|5430|12850|||||||5430
73903|7406|10800|||||11861|3460|19267
96448|0|0|0|0|0|0|0|0|0
80807|0|0|0|0|0|0|0|0|
79074|0|0|0|0|0|0|0|0|0
79176|0|0|0||||||0
66963|||||||||
99315|0|0|0|0|0|0|0|0|0
91476|||||||||
82358|||||||3642|4026|3642
90712|0|0|0|0|0|0|0|0|0
79027|||||||||
101908|1436|0|0|0|0|0|18393|1228|19829
78076|1304|1441|||||||1304
97231|0|0|0|0|0|0|0|0|0
88779|0|0|0|0|0|0|0|0|0
96477|0|0|0|0|0|0|0|0|0
88786|0|0|0|0|0|0|0|0|0
96939|19862|0|2660|0|0|0|93631|220531|116153
96096|0|0|0|0|0|0|0|0|0
95529|0|0|0|0|0|0|0|0|0
78912||176|||||||
101871|0|0|0|0|0|0|0|0|0
86276|0|0|0|0|0|0|0|0|
97193|0|0|0|0|0|0|0|0|
94470|||26753|24456|26753|24456||2126|
97503|217|188|||||||217
92141|0|0|0|0|0|0|0|0|0
74978|||||||315|1799|315
81304|0|0|0|0|0|0|133|1226|133
95730|0|0|0|0|0|0|0|0|0
75560|0|0|0|0|0|0|0|0|0
88143|||||||||
101864|||||||||
96542|0|0|0|0|0|0|0|0|0
82080|0|0|0|0|0|0|0|0|0
86477|0|0|0|0|0|0|0|0|0
82082|0|0||0||0||0|
86315|0|0|0|0|0|0|0|0|0
73086|0|0|0|0|0|0|0|304|0
71882|0|0|0|0|0|0|0|0|0
91652|0|107|||||||0
91812|0|0|0|0|0|0|0|0|0
88744|1496|0|0|0|0|0|688|2184|2184
83643|||||||||
88371|0|0|0|0|0|0|0|0|0
88810|29548|10529|0|0|0|0|0|0|29548
96919|0|0|1500|1500|0|0|1770|725|3270
83644|0|0|0|335|0|0|0|0|0
108383|0|0|0|0|0|0|0|0|0
81829|819|1720|0|0|0|0|2334|1508|3153
89492|||||||||
87965|0|0|0|0|0|0|0|0|0
99699|0|69|0|0|0|0|0|0|
87980|0|0|0|0|0|0|0|0|0
78102|1262|622|0|0|0|0|20763|16618|22025
78950|0|0|0|0|0|0|7216|338|7216
91978|5911|70|||||836|709|6747
83931|0|0|0|0|0|0|0|0|0
90424|0|0|0|0|0|0|0|0|0
93264|||||||||
79472|0|0|0|0|0|0|0|0|0
108587|0|0|0|0|0|0|0|0|0
79941|0|0|||||||
108588|0|0|0|0|0|0|0|0|0
108295|||||||||
92206|0|0|0|0|0|0|0|0|0
81617|||||||||
97658|||||||||
83732|1615|1296|||||||1615
80797|||||||||0
83694|||||||||
97005|||||||||
75888|||||||||
82068|0|0|0|0|0|0|0|0|0
99700|||||||||
83645|||||||||
97816|0|0|0|0|0|0|0|0|0
99409|0|0|0|0|0|38506|1810|1625|0
92071|||||||||
99587|||||||||
82083|0|0|0|0|0|0|99|431|99
85913|1753|2420|0|0|0|0|1295|0|3048
88144|||||||||
71347|0|0|0|0|0|0|0|0|0
93392|0|0|0|0|0|0|0|0|0
86244|0|0|0|0|0|0|0|0|1199
79130|657|718|0|0|0|0|0|0|657
89583|||||||||
91502|0|0|0|0|0|0|0|0|0
99861|0|0|0|0|0|0|0|0|0
88339|0|0|0|0|0|0|0|0|0
87409|24023|25280|||||200021|154358|224044
72640|8901|9977|0|0|0|0|1950|1500|10851
77055|||||||||
89908|0|0|0|0|0|0|0|0|0
90366|0|0|0|0|0|0|0|0|0
104166|0|0|||||||0
102055|||||||82|126|81
84638|0|0|0|0|0|0|0|0|0
90073|0|0|0|0|0|0|0|0|0
93205|0|0|0|0|0|0|0|0|0
87034|||||||||
81598|||||||||
77079|||||||||
81150|||||||||
86446|48|55|0|0|0|0|11153|9038|11201
86578|0|0|0|0|0|0|0|0|0
75271|0|0|0|0|0|0|3696|3529|3696
91288|9530|10340|||||||
91977|||||||||
79657|0|0|0|0|0|0|0|0|0
99013|0|0|0|0|0|0|0|0|0
96887|2027|1791|0|0|0|0|472|254|2499
84787|0|0|0|0|0|0|1946|2000|1946
99051|0|0|0|0|0|0|0|0|0
79437|0|0|0|0|0|0|0|0|0
87009|34514|31375||8245|||||34514
83646|||||||||0
75485|0|0|0|0|0|0|0|0|0
77833|0||0||0||0||0
82693|||||||||
99701|||||||539|1167|539
95762|||||||||
85455|||||||||
77592|153849|0|97269|99039|166560|154903|0|0|417680
81560|0|0|0|0|0|0|0|0|0
96080|2829|2589||4538|36145|32433|2247|1257|41221
129618|0|0|0|0|0|0|0|0|0
101725|||||||||
91947|||||||||
73803|0|0|0|0|0|0|0|0|0
82460|||||||||
82318|||||||||
86813|||||||||0
79259|0|0|||||||
