RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
718743|90984|0|0|109898|127620|33713|0|0|0||5148|0|0|116374|2907|0|0|0|0|||28565|5148||||65053|||86623|60449|||
734061|||0||||||||||103651|15175|0|0|0|||0|0|||0||||||||75466||29264
722137|224396|19592|71097|169126|212516|26025|0|452|0||26025|0|214295|295864|214000|293356||39196|0||46179|28698|-2673|0|||1665|0|27034|71922|28453|||
728849|||343||||||||||52020|9078|0|0|0|||0|0|||0||||||||24504||1240
718018|||928||||||||||0|7049|0|0|0|||1145|0|||881||||||||2198||0
718601|||1254||||||||||0|2000|0|4921|0|||1|0|||0||||||||2582||21179
724379|||1722||||||||||0|9084|461|0|0|||0|0|||1211||||||||25305||4800
725707|||4975||||||||||1638|55899|0|0|0|||0|17271|||||||||||31301||0
720074|||0||||||||||0|0|0|0|0|||6298|13576|||||||||||3753||12495
725524|||470||||||||||0|0|1847|0|0|||0|126358|||0||||||||100||1200
719588|||0||||||||||0|16802|0|0|0|||9232|0|||4780||||||||7251||0
727945|||0||||||||||68240|11646|0|0|0|||3065|0|||0||||||||1798||0
730415|17726|0|0|8660|7818|937|0|0|0||1378|0|214908|15930|||||0|||937|||||7858|||3710|1756|||
716282|||0||||||||||0|0|0|0|0|||11627|0|||||||||||898||100
714216|||1410||||||||||21241|12505|0|400|0|||0|67|||0||||||||7659||4759
714935|||0||||||||||0|15727|0|0|0|||12099|1838|||4216||||||||315||0
723858|||0||||||||||388|4379|0|0|0|||4976|0|||615||||||||1136||0
702798|||0||||||||||17117|26805|0|0|0|||18066|0|||8567||||||||4168||1420
729839|||15730||||||||||30750|0|0|0|0|||20|0|||||||||||33599||0
732527|||0||||||||||0|0|0|0|0|||0|0|||0||||||||0||0
727672|||529||||||||||0|24913|0|0|0|||25103|6752|||9795||||||||11||725
722498|||200||||||||||2037|41626|0|0|0|||40143|0|||||||||||511||8593
723388|||0||||||||||0|0|0|0|0|||0|0|||||||||||0||0
714061|||4127||||||||||0|0|0|0|0|||0|0|||0||||||||462||0
727664|||11000||||||||||0|47480|0|0|0|||73248|0|||2295||||||||894||630
732683|||0||||||||||0|0|0|0|0|||6424|0|||0||||||||0||0
