OID|DESCRIPTION|COST_BASIS|DEPRECIATION|BOOK_VALUE|VALUE|ASSET_TYPE|RPT_ID
297242|110 Dry Road, Whitestown, NY|373915|22163|351752|351752|302|639058
297243|Automobiles and Other Vehicles|89815|55972|33843|33843|303|639058
297244|Office Furniture and Equipment|78392|64739|13653|13653|304|639058
297245|Other Fixed Assets|||||305|639058
330051|Automobiles and Other Vehicles|||||303|680085
330052|Office Furniture and Equipment|1996|1804|192|192|304|680085
330053|Other Fixed Assets|||||305|680085
306549|402 37th Street Richmond CA |155000|0|155000|155000|301|647189
306550|402 37th Street Richmond CA |450028|273903|176125|176125|302|647189
306551|Automobiles and Other Vehicles|||||303|647189
306552|Office Furniture and Equipment|125963|87201|38762|38762|304|647189
306553|Other Fixed Assets|4259|430|3829|3829|305|647189
284442|NONE|0|0|0|0|301|625387
284443|NONE|0|0|0|0|302|625387
284444|Automobiles and Other Vehicles|85797|49122|36675|36675|303|625387
284445|Office Furniture and Equipment|33256|26459|6797|6797|304|625387
284446|Other Fixed Assets|22990|22990|0|0|305|625387
294847|814 Airport Blvd., Austin, Texas|4209998|602713|3607285|1742368|302|637427
294849|Office Furniture and Equipment|123070|115278|7792|7792|304|637427
294848|Automobiles and Other Vehicles|33726|4497|29229|29229|303|637427
294846|814 Airport Blvd., Austin, Texas|124387|0|124387|1676402|301|637427
294850|Other Fixed Assets|81378|36957|44421|44421|305|637427
285951|Automobiles and Other Vehicles|127460|65827|61632|66000|303|626891
285952|Office Furniture and Equipment|148837|141870|6967|8000|304|626891
285953|Other Fixed Assets|||||305|626891
288486|none|0|0|0|0|301|627622
288487|none|0|0|0|0|302|627622
288488|Automobiles and Other Vehicles|0|0|0|0|303|627622
288489|Office Furniture and Equipment|22331|16083|6248|6248|304|627622
288490|Other Fixed Assets|0|0|0|0|305|627622
295029|3300 US HWY 70 EAST, DURHAM, NC  27703||0|63500|63500|301|637564
295030|3300 US HWY 70 EAST, DURHAM, NC  27703|63500|63500|0|0|302|637564
295031|IMPROVEMENTS TO BUILDING|27912|750|26321|26321|302|637564
295032|Automobiles and Other Vehicles|21530|1308|10830|10830|303|637564
295033|Office Furniture and Equipment|9910|2029|2222|2222|304|637564
295034|Other Fixed Assets|||||305|637564
294499|Automobiles and Other Vehicles|||||303|637021
294500|Office Furniture and Equipment|12840|11932|908|908|304|637021
294501|Other Fixed Assets|||||305|637021
309594|Land - 7320 S. University Ave., Little Rock, Ark|29902|0|29902|75000|301|655681
309595|Land - Lot, Little Rock, Ark|1|0|1|25000|301|655681
309596|Land - 7400 S. University Ave., Little Rock, Ark|80000|0|80000|100000|301|655681
309597|7320 S. University Ave., Little Rock, Ark|69761|68661|1100|200000|302|655681
309600|Automobiles and Other Vehicles|49803||49803|80000|303|655681
309601|Office Furniture and Equipment|109787|1769|108018|64000|304|655681
309602|Other Fixed Assets|52996||52996|40000|305|655681
309598|7420 S. University Ave., Little Rock, Ark|206779||206779|250000|302|655681
309599|Shop Building, Little Rock, Arkansas|101950||101950|120000|302|655681
299335|248 Main St Forest Park GA|52500|0|52500|41774|301|640391
299336|5403 Dividend Drive Decatur GA|250000|0|250000|322500|301|640391
299337|109 Gusmus Ave Muscle Shoals AL|37500|0|37500|8685|301|640391
299338|248 Main St Forest Park GA|297500|136850|160650|236716|302|640391
299339|5403 Dividend Drive Decatur GA|1175364|0|1175364|962895|302|640391
299340|109 Gusmus Ave Muscle Shoals AL|212500|97750|114750|49215|302|640391
299341|Automobiles and Other Vehicles|228799|56085|172714|148026|303|640391
299342|Office Furniture and Equipment|37853|32827|5026|5026|304|640391
299343|Other Fixed Assets|||||305|640391
292480|Automobiles and Other Vehicles|||||303|634488
292481|Office Furniture and Equipment|26189|26189|26189|26189|304|634488
292482|Other Fixed Assets|||||305|634488
301107|325 South Ashland Avenue, Chicago, IL 60607|71168|0|71168|72000|301|641409
301108|333 South Ashland Avenue, Chicago, IL 60607|135522|0|135522|153000|301|641409
301109|Building- 333 S. Ashland Ave.-Chicago, IL 60607|856072|818454|37618|1350000|302|641409
301110|B.Improvements-333 S. Ashland , Chgo,IL 60607|171577|50104|121473|125000|302|641409
301111|Automobiles and Other Vehicles|856876|552269|304607|304607|303|641409
301112|Office Furniture and Equipment|449005|443392|5613|70000|304|641409
301113|Other Fixed Assets|0|0|0|0|305|641409
305240|Office Furniture and Equipment|12668|10090|2578|2578|304|643451
305241|Other Fixed Assets|17868|15204|2664|2664|305|643451
305239|Automobiles and Other Vehicles|||||303|643451
295254|Automobiles and Other Vehicles|||||303|637725
295255|Office Furniture and Equipment|8987||8987|8987|304|637725
295256|Other Fixed Assets|||||305|637725
296572|Automobiles and Other Vehicles|48687|43009|5678|5678|303|638640
296573|Office Furniture and Equipment|48534|47331|1203|1203|304|638640
296574|Other Fixed Assets|269120|74264|194856|194856|305|638640
293377|Automobiles and Other Vehicles|0|0|0|0|303|635658
293378|Office Furniture and Equipment|0|0|0|0|304|635658
293379|Other Fixed Assets|0|0|0|0|305|635658
296837|HONOLULU|136812|0|136812|0|301|638748
296838|MAUI 2|811259|0|811259|0|301|638748
296839|HILO|45236|0|45236|0|301|638748
296840|KAUAI|223984|0|223984|0|301|638748
296841|MAUI 3|341287|0|341287|0|301|638748
296842|HONOLULU|1106994|725134|381860|0|302|638748
296843|MAUI 2|1800348|801206|999142|0|302|638748
296844|KAUAI|1520737|1070986|449751|0|302|638748
296845|HAWAII|464515|309173|155342|0|302|638748
296846|HONOLULU IMPROVEMENTS|2393|2393|0|0|302|638748
296847|OREGON IMPROVEMENTS|18401|14564|3837|0|302|638748
296848|Automobiles and Other Vehicles|0|0|0|0|303|638748
296849|Office Furniture and Equipment|2180985|1973314|207672|0|304|638748
296850|Other Fixed Assets|||||305|638748
290945|Automobiles and Other Vehicles|65214|65214|0|0|303|630530
290946|Office Furniture and Equipment|164208|153992|10216|10216|304|630530
290947|Other Fixed Assets|8354|265|8089|8089|305|630530
290860|Automobiles and Other Vehicles|121861|37713|84148|84148|303|630497
290861|Office Furniture and Equipment|120430|114053|6377|6377|304|630497
290862|Other Fixed Assets|2729|2683|46|46|305|630497
289226|Land (Boron, CA)|2000|0|2000|2000|301|628260
289227|Building (Boron, CA)|364835|144914|219921|170000|302|628260
289228|Automobiles and Other Vehicles|||||303|628260
289229|Office Furniture and Equipment|96550|68469|28081|55000|304|628260
289230|Other Fixed Assets|1314||1314|1000|305|628260
290217|Automobiles and Other Vehicles|||||303|630009
290216|145 Colonial Ct., Mt. Clemens, MI 48043|234761|63616|171145|171145|302|630009
290218|Office Furniture and Equipment|33440|30349|3091|3091|304|630009
290219|Other Fixed Assets|||||305|630009
290647|17233 W Ten Mile Rd, Southfield, MI 48075|20000|0|20000|20000|301|630338
290648|17233 W Ten Mile Rd, Southfield, MI 48075|204447|204447|0|295461|302|630338
290649|Automobiles and Other Vehicles|0|0|0|0|303|630338
290650|Office Furniture and Equipment|107679|107260|419|419|304|630338
290651|Other Fixed Assets|194882|119693|75189|75189|305|630338
300880|Automobiles and Other Vehicles|0|0|0|0|303|641199
300881|Office Furniture and Equipment|4382|4382|0|0|304|641199
300882|Other Fixed Assets|0|0|0|0|305|641199
290869|190 W. G STREET, COLTON, CA 92324|25160|0|25160|43069|301|630503
290870|190 W. G STREET, COLTON, CA 92324|145295|145295|0|282235|302|630503
290871|Automobiles and Other Vehicles|||||303|630503
290872|Office Furniture and Equipment|53066|49450|3616|3616|304|630503
290873|Other Fixed Assets|184437|134731|49707|49707|305|630503
307155|100 N River St Newcomerstown, OH 43832|111300|44730|66570|100000|302|648824
307156|Automobiles and Other Vehicles|31788|24901|6887|8000|303|648824
307157|Office Furniture and Equipment|16144|16144|0|0|304|648824
307158|Other Fixed Assets|||||305|648824
292675|1440 BELLEFONTAINE AVE. LIMA, OH|20073|0|20073|20073|301|634801
292676|1440 BELLEFONTAINE AVE. LIMA, OH|82207|0|82207|82207|302|634801
292677|Automobiles and Other Vehicles|||||303|634801
292678|Office Furniture and Equipment|17235|0|17235|17235|304|634801
292679|Other Fixed Assets|||||305|634801
305247|Automobiles and Other Vehicles|55433|55433|0|0|303|643457
305248|Office Furniture and Equipment|138052|133259|4793|4793|304|643457
305249|Other Fixed Assets|||||305|643457
287443|161 LONDONDERRY TPKE, HOOKSETT NH|48071|0|48071|289700|301|627288
287444|161 LONDONDERRY TPKE, HOOKSETT NH|788699|493024|295676|501900|302|627288
287445|Automobiles and Other Vehicles|44591|24524|20067|20000|303|627288
287446|Office Furniture and Equipment|26642|23350|3292|3000|304|627288
287447|Other Fixed Assets|16000|16000|0|1000|305|627288
294773|Automobiles and Other Vehicles|||||303|637369
294774|Office Furniture and Equipment|||||304|637369
294775|Other Fixed Assets|||||305|637369
292893|Automobiles and Other Vehicles|||||303|635126
292894|Office Furniture and Equipment|||||304|635126
292895|Other Fixed Assets|||||305|635126
285741|Other Fixed Assets|0|0|0|0|305|626843
285737|NONE|0|0|0|0|301|626843
285738|NONE|0|0|0|0|302|626843
285739|Automobiles and Other Vehicles|0|0|0|0|303|626843
285740|Office Furniture and Equipment|26700|18014|8686|8686|304|626843
302693|100 BLUE SKY PARKWAY, LEXINGTON, KY 40509|95000|0|95000|150000|301|642146
302694|100 BLUE SKY PARKWAY, LEXINGTON, KY 40509|497357|372527|124830|700100|302|642146
302695|Automobiles and Other Vehicles|7400|5778|1622|1000|303|642146
302696|Office Furniture and Equipment|64507|44636|19871|20000|304|642146
302697|Other Fixed Assets|||||305|642146
303716|Office Furniture and Equipment|||||304|642678
303717|Other Fixed Assets|||||305|642678
303715|Automobiles and Other Vehicles|17093|17093|0|0|303|642678
304770|Automobiles and Other Vehicles|0|0|0|0|303|643274
304771|Office Furniture and Equipment|0|0|0|0|304|643274
304772|Other Fixed Assets|0|0|0|0|305|643274
283594|Automobiles and Other Vehicles|124006|0|124006|124006|303|622160
283595|Office Furniture and Equipment|46421|0|46421|46421|304|622160
283596|Other Fixed Assets|||||305|622160
283803|199 North Wellwood Avenue, Lindenhurst, NY 11757|345000|39771|305229|305229|302|623802
283804|Automobiles and Other Vehicles|169253|136051|33202|33202|303|623802
283805|Office Furniture and Equipment|26931|23317|3614|3614|304|623802
