RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
414021|392592|23149|12342|50625|185732|79835|0|1513|0||21679|0|161821|170580|4171|165050|0|6121|0|0|36139|79914|-79|68910|10925|0|19994|0|3890|26321|45721|0||0
428868|||258||||||||||30325|0||||||||||||||||||5291||2181
430765|||0||||||||||44609|3307|0|0|0|||4543|186|||||||||||2380||0
419781|||2200||||||||||0|2786|0|0|0|||0|0|||||||||||16924||15503
428625|||2650||||||||||0|23821|0|0|0|||0|9790|||||||||||25348||4012
429417|||994||||||||||3132|36358|0|8947|0|||18877|9985|||||||||||31246||3274
430756|||200||||||||||1911|5200|0|0|0|||4227|0|||||||||||6457||0
419788|||6375||||||||||0|0|0|0|0|||11317|97066|||||||||||3403||1540
419229|||0||||||||||0|16480|0|0|0|||1720|0|||||||||||9995||0
411190|||625||||||||||5151|5806|0|0|0|||996|783|||||||||||2908||0
430672|||334||||||||||44323|24452|0|0|0|||18509|1693|||||||||||13540||0
409733|||0||||||||||16018|6015|0|565|0|||1128|0|||||||||||4223||0
422005|||3390||||||||||0|16198|0|0|0|||2014|707|||||||||||424||1578
375560|||500||||||||||12390|24750|0|0|0|||2777|0|||||||||||7793||1960
415489|||800||||||||||59940|0|0|0|0|||72664|0|||||||||||3355||0
426902|||1173||||||||||0|26205|0|0|0|||17577|1109|||||||||||142||10043
423917|||||||||||||2135|15192||||||29441||||||||||||1284||
424493|||105||||||||||6033|6463|8000|610|0|||1646|2145|||||||||||382||692
425864|||530||||||||||15478|2737|0|0|0|||0|0|||||||||||3785||0
413486|||50||||||||||4655|2735|0|0|0|||0|861|||||||||||0||0
425221|||5521||||||||||0|46710|0|0|0|||81088|0|||||||||||3142||3650
419954|||0||||||||||0|16361|0|0|0|||12539|475|||||||||||292||0
399287|||1056||||||||||0|11196|0|0|0|||85864|0|||||||||||1580||45266
399098|||0||||||||||12911|2088|0|0|0|||656|0|||||||||||2164||2670
417917|||1451||||||||||3130|23969|0|0|0|||21507|6545|||||||||||15946||3001
411449|||49||||||||||11430|4206|0|0|0|||13811|0|||||||||||1777||0
433377|||135||||||||||7660|4626||368|||||0|||||||||||||
426662|611999|22505|7210|135248|276262|0|35834|0|0||68785|0|531702|818376|0|131374|0|0|0|0|0|0|0|0|0|0|50912|0|4505|33791|901|0||0
432452|||500||||||||||0|4184|0|0|0|||584|0|||||||||||1497||0
433369||||||||||||||11001||||||23444||||||||||||1028||
396469|||0||||||||||1492|0|0|0|0|||0|0|||||||||||70||0
422445|||7400||||||||||16468|33004|0|0|0|||8114|2320|||||||||||20300||1510
433081|||1035||||||||||357|10568|0|0|0|||6066|0|||||||||||4796||0
421293|||||||||||||1285|12415||||||3781||||||||||||||
401566|1133627|111790|11249|247699|254893|280338|0|0|0||54742|0|0|179248|22683|355870|0|0|0|0|315424|281851|-1513|22480|257858|0|8584|5287|7903|74879|7989|0||0
405172|||2670|||||||||||4477||||||18571||||||||||||7957||101
400401|69736|16352|36200|277361|175739|77216|47696|0|0||36303|0|271917|253174|151742|138803|0|0|0|0|95148|77216|0|0|0|0|778|2500|16200|41184|375|0||0
421431|||0||||||||||14449|14450|0|0|0|||58|0|||||||||||12781||1525
407741|||625||||||||||105625|21052|0|0|0|||7556|0|||||||||||8387||1934
403243|1616245|41341|23076|213723|265048|178823|0|4967|0||64200|0|544820|459479|205352|334967|0|0|0|0|362359|179482|-659|0|-30824|0|120732|2389|4574|47340|32286|0||0
404955|||13500||||||||||0|7200|0|0|0|||24996|0|||||||||||23575||400
403674|270705|1936|0|0|140994|46610|0|0|0||17806|0|22519|238603|13799|0|0|0|0|0|4033|43552|3058|46106|504|0|49931|0|0|0|40852|0||0
403991|63269|130|130|206651|67813|69631|265|3733|3147||13316|0|167255|67511|28605|119818|0|0|0|0|0|69631|0|69631|0|0|0|0|0|56481|377|0||0
407999|||550||||||||||52034|6927|0|1801|0|||665|0|||||||||||8393||680
407490|||0||||||||||4900|0|0|0|0|||0|0|||||||||||0||0
408378|||||||||||||27824|5190||||||2568||||||||||||4342||
405952|||||||||||||17955|||||||27030||||||||||||||1500
414013|||350||||||||||2104|29859|4094|||||12326|7008|||||||||||19178||10506
433478|||4055||||||||||810|20350|0|0|0|||25899|12411|||||||||||3482||690
401258|||0||||||||||21629|17716|0|0|0|||6470|0|||||||||||12425||1786
414111|0|0|1675|0|0|0|0|0|0||0|0|7386|61750|0|0|0|0|0|33806|0|0|0|19435|0|0|0|0|0|0|0|11275||0
423849|||0||||||||||13961|15406|0|300|0|||3908|7353|||||||||||19343||860
414404|||650||||||||||234|13845|0|0|0|||21127|0|||||||||||1096||0
414642|||2643||||||||||0|11009|0|0|0|||18940|1065|||||||||||1847||815
412058|||4266||||||||||0|15982|0|0|0|||6802|1617|||||||||||14879||0
422391|||0||||||||||979|13517|0|0|0|||6279|0|||||||||||2212||0
415952||||||||||||||4800||||||1104||||||||||||560||36095
415959|||0||||||||||6855|3596|0|4099|0|||3912|3166|||||||||||7921||1655
413836|||2750||||||||||8775|27242|0|0|0|||38307|9832|||||||||||21797||8045
464865|||1315||||||||||605|18670|0|1579|0|||15997|15769|||2701||||||||9636||17083
429433|||1625||||||||||288|23765|0|0|0|||19196|0|||||||||||2613||225
426523|||272||||||||||490|9733|0|0|0|||4781|519|||||||||||327||0
416120|||0||||||||||28096|216|0|3163|0|||0|0|||||||||||199||0
417252|0|6254|200|76583|64126|24239|0|0|0||11705|0|67443|1840|0|18516|0|0|0|0|97126|24239|0|0|0|0|0|6254|0|41743|0|0||0
420084|0|649825|71770|87054|379541|25658|0|0|0||12452|0|0|0|1313|31580|0|0|0|0|125367|25635|23|0|0|0|0|11600|4770|19675|15087|0||0
421392|||0||||||||||0|506|0|0|0|||8231|0|||||||||||0||500
411366|||80||||||||||-66|14402|0|0|0|||6078|0|||||||||||3468||0
428389|||2377||||||||||0|2835|0|0|0|||820|0|||||||||||687||0
419069|||304||||||||||12991|2928|0|0|0|||1517|0|||||||||||42||0
411003|||0||||||||||0|0|0|0|0|||0|0|||||||||||11820||1300
416330|297380|45420|7468|43515|131183|47512|0|0|0||32313|0|115564|182690|12574|93231|0|1600|0|0|34752|48877|-1365|0|0|0|33558|7520|7468|7520|31906|0||0
418236|463259|19704|15255|574564|167467|186428|0|0|0||71111|0|406447|65930|11511|346109|0|0|2510575|0|581644|183428|3000|30330|156098|0|0|0|2671|212767|0|0||0
413417|||100||||||||||858|6930||||||3072||||||||||||3192||
419696|48131|0|4110|1453|208992|32195|0|0|0||15216|0|382451|83329|0|0|0|0|0|0|44739|32497|-302|22162|10033|0|24788|0|4110|1453|21330|0||0
419658|5630805|412878|155140|3592623|959320|1673539|0|0|0||540189|0|2185659|1243537|0|2183562|0|1000000|253000|0|4246473|1656007|17532|323230|1350309|0|273927|9099|11280|256909|180516|0||0
414578|||1300||||||||||50584|8233|0|0|0|||8207|2205|||||||||||6032||0
430442|||0||||||||||34076|11505|0|0|0|||15855|0|||||||||||2504||0
418122|||300||||||||||23418|32139|1898|0|0|||8452|0|||||||||||4210||5405
469276|||0||||||||||84201|49026|0|0|0|||25350|4672|||||||||||10605||50
423420|||45913||||||||||720|7659|536|0|0|||0|0|||||||||||10089||440
410181|||428||||||||||250|9498|0|0|0|||0|130|||||||||||669||0
416497|||2354||||||||||5505|58414|0|0|0|||25552|10488|||||||||||1106||2737
422642|||600|||||||||||25884|||||||8093|||||||||||2935||12794
412088|||188||||||||||0|972|0|0|0|||5486|0|||||||||||513||695
414392|||0||||||||||0|6244|0|0|0|||13384|0|||||||||||5705||0
412316|||4513||||||||||4102|11855|45276|0|0|||19885|0|||||||||||5662||160
425082|||311||||||||||10502|2386|0|0|0|||1180|0|||||||||||914||0
430955|||3297||||||||||25116|8858|0|0|0|||13869|2933|||||||||||5484||2395
419561|||884||||||||||0|0|0|1070|0|||0|0|||||||||||11422||0
427600|||0||||||||||0|8820|0|0|0|||17520|0|||||||||||0||0
409095|||0||||||||||25642|12985|0|0|0|||0|3023|||||||||||7541||1035
423495|||960||||||||||0|12875|0|520|0|||20803|14127|||||||||||587||0
419080|||28675||||||||||0|43406|0|0|0|||7856|10602|||||||||||22053||0
418931|0|0|950|0|0|0|0|0|0||0|0|0|4400|0|884|0|0|0|17840|699|0|0|0|0|0|0|0|0|0|0|9667||1970
405315|||0||||||||||41616|30663|0|0|0|||5649|13050|||||||||||52590||278
420155|217447|0|0|31672|26080|50818|0|0|0||22566|0|227493|134271|0|0|0|0|0|0|53395|50818|0|35783|20078|0|0|0|0|0|0|0||0
412165|||0||||||||||0|0|0|0|0|||0|0|||||||||||54||719
425614|||295||||||||||1980|13384|0|0|0|||14531|1217|||||||||||3216||100
431050|||2015||||||||||864|6766|0|0|0|||6499|3477|||||||||||2667||1361
418646|920321|26171|17579|190026|644460|523835|0|0|0||111625|0|470662|381045|2243|154150|0|0|0|0|531947|523835|0|243259|280576|0|19188|105|16838|29100|40258|0||0
409116|||2872||||||||||4130|4038|0|850|0|||0|17|||||||||||951||0
409614||||||||||||||10134||||||100||||||||||||1618||
433412|||8838||||||||||2735|9314|0|0|0|||8465|5677|||||||||||385||1162
413547|||744||||||||||337|8364|0|0|0|||5338|8374|||||||||||2042||5221
421314|||9287||||||||||87116|19723|0|471|0|||20555|2446|||||||||||16688||942
425172|||1478||||||||||108909|18536|0|0|0|||12983|15801|||||||||||5556||5606
422472|||8200||||||||||153|2348|0|0|0|||4669|0|||||||||||2406||0
412591|||900|||||||||||0||||||3666|1647|||||||||||||100
446236|||0||||||||||59896|8050|1265|0|0|||6429|5252|||||||||||8171||0
