OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
434129|1101|17.00|member|0|0|620397
446705|1101|15|biweekly|15|0|629311
446706|1102|n/a|0|0|0|629311
446707|1103|n/a|0|0|0|629311
446708|1104|n/a|0|0|0|629311
446709|1105|n/a|0|0|0|629311
446710|1101|25%|Month|0|80|629312
446711|1103|||0|0|629312
446712|1104|||0|0|629312
446713|1105|||0|0|629312
446714|1101|1950|Year|n/a|n/a|629316
446715|1103|n/a|n/a|n/a|n/a|629316
446716|1104|n/a|n/a|n/a|n/a|629316
446717|1105|n/a|n/a|n/a|n/a|629316
393089|1101|34.00|Month|N/A|N/A|599515
393090|1102|4%|Gross Pay|N/A|N/A|599515
393091|1103|100.00|N/A|N/A|N/A|599515
393092|1104|1.00|N/A|N/A|N/A|599515
393093|1105|5.00|N/A|N/A|N/A|599515
393927|1101|20|Month|6.00|20.00|600429
393928|1103|0-300|One Time|0.00|300.00|600429
393929|1104|N/A||||600429
393930|1105|N/A||||600429
394552|1101|N/A|MONTH|15.90|22.10|601032
394553|1103|N/A|N/A|N/A|N/A|601032
394554|1104|N/A|N/A|N/A|N/A|601032
394555|1105|N/A|N/A|N/A|N/A|601032
395215|1101|24.47|biweekly|24.47|24.47|601444
395216|1103|||||601444
395217|1104|||||601444
395218|1105|||||601444
399515|1101|N/A|N/A|N/A|N/A|604026
399516|1102|4%|GROSS WAGES|1%|4%|604026
399517|1103|$300|ONE TIME|N/A|N/A|604026
399518|1104|N/A|N/A|N/A|N/A|604026
399519|1105|N/A|N/A|N/A|N/A|604026
399997|1101|8%|NA|NA|NA|604526
399998|1102|0|NA|NA|NA|604526
399999|1103|500.|NA|NA|NA|604526
400000|1104|0|NA|NA|NA|604526
400001|1105|0|NA|NA|NA|604526
400494|1101|20.00|Month|6.00|20.00|604812
400495|1103|350.00|One time|100.00|350.00|604812
400496|1104|N/A|N/A|N/A|N/A|604812
400497|1105|N/A|N/A|N/A|N/A|604812
402462|1101|2.5 HRS|MONTH|0|0|606031
402463|1103|20.00|ONE TIME|||606031
402464|1104|0|N/A|||606031
402465|1105|0|N/A|||606031
403453|1101|15.25|1|10|15.25|606434
403454|1103|40|1|10|15.25|606434
403455|1104|0|0|0|0|606434
403456|1105|0|0|0|0|606434
405557|1101|5%|MO|NA|NA|607756
405558|1103|NA|NA|NA|NA|607756
405559|1104|NA|NA|NA|NA|607756
405560|1105|NA|NA|NA|NA|607756
414251|1101|2.5HRS|MONTH|N/A|N/A|610987
414252|1103|||||610987
414253|1104|||||610987
414254|1105|||||610987
415734|1101|1.90%|year|N/A|N/A|611440
415735|1102|N/A||||611440
415736|1103|||50|200|611440
415737|1104|N/A||||611440
415738|1105|N/A||||611440
446722|1101|300|local|300|300|629332
446723|1103|0|0|0|0|629332
446724|1104|0|0|0|0|629332
432179|1101|1.25|gross|n/a|n/a|618428
432180|1103|3.00|member|n/a|n/a|618428
432181|1104|n/a|n/a|n/a|n/a|618428
432182|1105|n/a|n/a|n/a|n/a|618428
446725|1105|0|0|0|0|629332
432342|1101|26.91|Bi-Weekly|0|0|618526
432343|1103|0||0|0|618526
432344|1104|0||0|0|618526
432345|1105|0||0|0|618526
432411|1101|6.80 to 13.57|bi-weekly|6.80|13.57|618588
432412|1103|||||618588
432413|1104|||||618588
432414|1105|||||618588
423564|1101|1%|N/A|N/A|N/A|613832
423565|1103|N/A|N/A|N/A|N/A|613832
423566|1104|N/A|N/A|N/A|N/A|613832
423567|1105|N/A|N/A|N/A|N/A|613832
428794|1101|40.00|year|0|0|615193
428795|1103|0|year|0|0|615193
428796|1104|0|year|0|0|615193
428797|1105|0|year|0|0|615193
430537|1101|31|1|0|0|616022
430538|1103|31|1|0|0|616022
430539|1104|0|0|0|0|616022
430540|1105|0|0|0|0|616022
430559|1101|2.5 hours|month|na|na|616273
430560|1103|na|na|na|na|616273
430561|1104|na|na|na|na|616273
430562|1105|na|na|na|na|616273
430643|1101|6-16|month|6|16|616550
430644|1102|N/A||||616550
430645|1103|N/A||||616550
430646|1104|N/A||||616550
430647|1105|N/A||||616550
430648|1101|19|month|0|0|616553
430649|1103|250|membership|0|0|616553
430650|1104|0|0|0|0|616553
430651|1105|0|0|0|0|616553
430652|1101|69|qtr|n/a|n/a|616558
430653|1103|0|n/a|n/a|n/a|616558
430654|1104|0|n/a|n/a|n/a|616558
430655|1105|0|n/a|n/a|n/a|616558
430656|1101|22.05|MONTH|N/A|N/A|616560
430657|1103|N/A|N/A|N/A|N/A|616560
430658|1104|N/A|N/A|N/A|N/A|616560
430659|1105|N/A|N/A|N/A|N/A|616560
430660|1101|25|month|n/a|n/a|616562
430661|1103|300|initiation|n/a|n/a|616562
430662|1104|0|n/a|n/a|n/a|616562
430663|1105|0|n/a|n/a|n/a|616562
430664|1101|0|month|17|18.50|616563
430665|1103|0|n/a|n/a|n/a|616563
430666|1104|0|n/a|n/a|n/a|616563
430667|1105|0|n/a|n/a|n/a|616563
430668|1101|0|month|6|24.05|616566
430669|1103|0||||616566
430670|1104|0||||616566
430671|1105|0||||616566
