OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
28794|GM FINANCIAL|0|42322|8838|0|33484|642203
28795|AUTOMOBILE FINANCING|31565|42791|27214|0|47142|642227
28796|BANK FINANCING|451689|0|208724|0|242965|642227
28797|Amalgamated Bank|75000|150000|75000|0|150000|642238
28798|REPUBLIC BANK|464518||68638||395880|642256
28799|FORD MOTOR CREDIT|6420||6420||0|642256
28800|FORD MOTOR CREDIT|6157||5667||490|642256
28801|AXIS|34358||34358||0|642256
28802|TD EQUIPMENT FINANCE|54078||23401||30677|642256
28803|GRAYBAR FINANCIAL|15487||7209||8278|642256
28804|ALLY|16732|0|8705|0|9334|642261
28805|None|0|0|0|0|0|642263
28806|XEROX COPIER|27873||13214||14659|642264
28807|N/A|0|0|0|0|0|642266
28808|N/A|0|0|0|0|0|642271
28809|Prosperity Bank|94759||9347||85412|642272
28813|NONE|0|0|0|0|0|642317
28819|SEIU, INTERNATIONAL|0|60000|0|0|60000|642331
28820|SEIU HEALTHCARE IL/IN|0|179157|179157|0|0|642331
28829|FORD CREDIT|1247||1247||0|642391
28830|COMMUNITY BANK|0|70000|1921||68079|642391
28854|BANK OF LABOR|200000|0|15184|0|191317|642469
28855|FIRST BANK AND TRUST|39696|0|11433||28263|642472
28856|GMAC|26574|0|10228||16346|642472
28857|FORD MOTOR CO|18415|0|10648||7767|642472
28858|FIRST BANK AND TRUST|34564|0|9193||25371|642472
28860|N/A|0|0|0|0|0|642523
28861|N/A|0|0|0|0|0|642525
28863|TORREY PINES BANK|750000|0|300000|0|450000|642546
28866|Ford Credit Co.|17008|0|3170|0|13838|642569
28867|FORD CREDIT|105283|0|19453||85830|642623
28868|Ford Credit Services|147513|0|56904|0|90609|642640
28869|US Bancorp Equipment Finance|37412|0|14887|0|22525|642640
28870|N/A|0|0|0|0|0|642677
28871|NONE|0|0|0|0|0|642699
28872|OPEIU International Union|7600|0|4800|0|2800|642719
28873|Ford Motor Credit|83062||46294||36768|642728
28874|Chrysler Capital|24715|0|4569|0|20146|642746
28875|FORD CREDIT|13386|0|6748|0|6638|642767
28876|FORD CREDIT|13926|0|6706|0|7220|642767
28877|MEMBERS FIRST CREDIT UNION|14738|0|3320|0|11418|642771
28878|MEMBERS FIRST CREDIT UNION|12191|0|12191|0|0|642771
28879|MEMBERS FIRST CREDIT UNION|12395|0|12395|0|0|642771
28880|MEMBERS FIRST CREDIT UNION|16078|0|3385|0|12693|642771
28881|MEMBERS FIRST CREDIT UNION|0|21373|2911|0|18462|642771
28882|MEMBERS FIRST CREDIT UNION|0|20270|2675|0|17595|642771
28883|FORD CREDIT|0|22159|551|0|21608|642771
28884|BANK OF LABOR AUTO LOAN|0|54200|8227||45973|642774
28885|FORD MOTOR CORP|78679|64000|142679||0|642777
28886|Fifth Third Bank|458983|0|28196|0|430787|642781
28887|Ally bank|0|50325|2962||47363|642783
28888|NONE|0|0|0|0|0|642789
28889|NONE|0|0|0|0|0|642804
28890|None|0|0|0|0|0|642842
28891|PSSDC PENSION FUND-WITHDRAWAL LIABILITY|637550|0|37244||600306|642888
28892|UFCW INTERNATIONAL LOAN|392036|0|17436||374600|642888
28893|N/A|0|0|0|0|0|642893
28894|N/A|0|0|0|0|0|642893
28895|N/A|0|0|0|0|0|642893
28896|N/A|0|0|0|0|0|642893
28897|N/A|0|0|0|0|0|642893
28898|N/A|0|0|0|0|0|642893
28899|N/A|0|0|0|0|0|642893
28900|N/A|0|0|0|0|0|642893
28901|N/A|0|0|0|0|0|642893
28902|N/A|0|0|0|0|0|642893
28903|N/A|0|0|0|0|0|642893
28904|N/A|0|0|0|0|0|642893
28905|NONE|0|0|0|0|0|642894
28906|Vehicle loan|18042|21169|6185|0|33026|642923
28907|East Boston Savings Bank|22255|0|5703|0|16552|642935
28908|Ford Credit|0|37444|1956|0|35488|642935
28909|Ally Bank|0|67675|11219|0|56456|642935
28910|Wells Fargo|0|31467|2887|0|28580|642935
28912|Ally|7021||5580||1441|642949
28913|Chrysler|33200||5178||28022|642949
28914|Citizens Bank|234837||23989||210848|642949
28915|Chrysler|0|39167|4168||34999|642949
28916|NONE|0|0|0|0|0|642955
28919|Wells Fargo - Business Loan|9523|0|9523|0|0|642980
28920|NONE|0|0|0|0|0|642982
28921|EAGLE BANK AND TRUST|1313332||115569||1197763|642986
28922|AFSCME|200000|0|0|0|200000|642989
28923|n/a|0|0|0|0|0|642992
28924|Ford Motor Credit|18849|0|18849||0|642994
28925|Ford Motor Credit|22628|0|22628||0|642994
28926|N/A - None|0|0|0|0|0|643005
28928|2016 Ford Exp|0|36937|3078||33859|643013
28929|2016 Ford Exp|0|34261|6500||27761|643013
28930|2016 Ford Exp|0|35565|2963||32602|643013
28931|2016 Ford Exp|0|34137|4653||29484|643013
28932|2016 Ford Exp|0|47059|5276||41783|643013
29269|FORD MOTOR CREDIT|28723|0|6789|0|21934|648956
28934|2012 Dodge Durango|11529|0|11529||0|643013
28935|2012 Dodge Durango|17263|0|17263||0|643013
28936|2013 Dodge Journey|16285|0|16285||0|643013
28937|2014 Chevy|16359|0|16359||0|643013
28938|MORGAN STANLEY|1177030|53325|0|0|1230355|643021
28939|Hometown National Bank|37631||18930||18701|643029
28940|International Teamsters|72277||15470||56807|643029
28941|First State Bank|18881||4398||14483|643029
28942|CITIZENS BUSINESS BANK|2269|0|2269|0|0|643084
28943|ALLY|0|30742|952||29790|643118
28944|ALLY|9083|0|4428||4655|643118
28945|ALLY|2994|0|2994|0|0|643118
28946|ALLY|3074|0|3074|0|0|643118
28947|ALLY|4658|0|4658|0|0|643118
28948|ALLY|10067|0|6679|0|3388|643118
28949|ALLY|0|23479|1780|0|21699|643118
28968|NONE|0|0|0|0|0|643152
28969|OPEIU INTERNATIONAL|135781|0|29096||106685|643153
28970|AUTO LOANS|37859|99388|23063||114184|643153
28971|Ford Motor Credit Corp. |16876||5386||11490|643157
28972|Ford Motor Credit Corp. |41046||8378||32668|643157
28973|Viriva Credit Union|0|294314|0|0|294314|643172
28974|Ally Bank|25667|0|25667|0|0|643172
28975|Ally Bank|173708|0|107737|65971|0|643172
28976|Ally Bank|41342|0|19724|0|21618|643172
28977|ALLY FINANCIAL|5013||5013||0|643183
28978|Ally Bank|20158||8063||12095|643187
28979|PNC Bank|316624||316624||0|643187
28980|N/A|0|0|0|0|0|643192
28981|Chrysler Capital|20400|0|20400|0|0|643205
28984|FORD CREDIT|19558|0|4789|0|14769|643224
28985|IBEW Intl Office|0|3375000|1000000||2375000|643239
28986|0|0|0|0|0|0|643252
28987|UNION FIDELITY CU|26533||6947||19586|643279
28988|Marlin Business Bank|0|78297|14114||64183|643283
28989|Line of Credit|413927|0|57244|0|356683|643293
28998|0|||||0|643298
28999|Hann Financial Services|22714||4142|0|18572|643305
29000|Hann Financial Services|20051||3656|0|16395|643305
29001|Hann Financial Services|18939||1997|16942|0|643305
29002|Foulke Management Corp.|0||0|0|29903|643305
29003|N/A|0|0|0|0|0|643310
29004|Powernet CU-Auto Loan|9706||4378||5328|643312
29005|TD Auto Finance|20073||20073||0|643339
29006|BCB Bancorp Mortgage|30506|0|7114|0|23392|643353
29007|DUE TO PUBLIC|1970595|216323|0||2186918|643360
29008|FORD ESCAPE - 246672|12596|0|5447|0|7149|643360
29009|FORD ESCAPE - 91339|12136|0|12136|0|0|643360
29010|FORD ESCAPE - 83653|10543|0|4560|0|5983|643360
29011|FORD F-150 - 57751|16411|0|7098|0|9313|643360
29012|FORD EDGE - 29475|39396|0|7735|0|31661|643360
29013|FORD ESCAPE - 3837|0|31662|0|0|31662|643360
29014|FORD ESCAPE - 5793|0|31589|0|0|31589|643360
29015|TWU Int'l|315801||18829||296972|643368
29016|Service Employees International Union|306592|0|0|0|306592|643370
29017|NATIONAL UNION OF HOSPITAL AND HEALTH CARE|67027||67027||0|643372
29018|n/a|0|0|0|0|0|643373
29020|AFM-NO INTRST NOTE DUE 2021|2420|0|500||1920|643378
29021|FORD MOTOR CREDIT|4551||4551||0|643386
29022|Ford Credit|269949|122497|76880|0|315566|643404
29023|Due to PAC||2267|||4200|643420
29024|Ford Credit|0|23845|1870|0|21975|643421
29025|n/a|0|0|0|0|0|643439
29031|JEREMY CRUZ-HAICKEN|25|0|0|0|25|643451
29029|ALPA NATIONAL TO 1625 MASS AVE|878686|239872|122021|0|996537|643450
29030|SUNTRUST COMMERCIAL LOAN|1722569|0|240705|133|1481731|643450
29032|ED Jones Investments|36847||36847||0|643459
29033|FORD CREDIT|6123|0|6123|0|0|643463
29034|FORD CREDIT|7797|0|7797|0|0|643463
29035|FORD CREDIT|20882|0|8400|0|12482|643463
29036|FORD CREDIT|0|15551|1285|0|14266|643463
29037|COMERICA BANK-MORTGAGE PAYABLE|113409||5182||108227|643471
29039|IAFF Emergency Dispute Fund Loan|46000||32000||14000|643485
29040|ALLY FINANCIAL, FINANCE COMPANY|51851|0|10502|0|41349|643497
29041|First Class Credit Union|0|24000|1357||22643|643499
29042|Automobile Loan|5168|34749|3118|0|36799|643501
29048|AFSCME COUNCIL 27|50000||||50000|643526
29068|N/A - None|0|0|0|0|0|643557
29069|Fod Motor Credit 4.89% 60 months loan on vehicle||35805|993||34812|643571
29083|Bank of America|200000|0|0|0|200000|643593
29104|SEIU International|101884|0|101884|0|0|643654
29114|BSB Leasing Inc|17789|0|10532||7257|643681
29115|US Bank|37079|0|8478||28601|643681
29116|Ally Bank|616|0|616||0|643693
29117|Ally Bank|601|0|601||0|643693
29118|Ally Bank|604|0|604||0|643693
29119|Ford Motor Credit|1436|0|1436||0|643693
29120|Ally Bank|4173|0|4173||0|643693
29121|Ally Bank|12340|0|7331||5009|643693
29122|Ally Bank|13781|0|6273||7508|643693
29123|Ford Motor Credit|15999|0|6393||9606|643693
29124|Bank of Nashville|12633|0|3294||9339|643693
29125|Ford Motor Credit|20960|0|5548||15412|643693
29126|Ally Bank|0|12862|3772||9090|643693
29127|Ford Motor Credit|0|24974|3330||21644|643693
29128|Ally Bank|0|16625|486||16139|643693
29129|Ford Motor Credit|0|21374|445||20929|643693
29130|Ford Motor Credit|0|20874|435||20439|643693
29131|Employee Payroll|0|3|0|0|3|643701
29132|FORD CREDIT|14705|0|10863|0|3842|643715
29133|National Postal Mail Handlers Union|169217||4107||165110|643723
29134|GENWORTH|1566256||123692||1442564|643753
29143|Ford Motor Credit|5156|0|5156|0|0|643775
29144|Ford Motor Credit|21032|0|10973|0|10059|643775
29145|Ford Motor Credit|31464|0|8990|0|22474|643775
29146|SERVICE EMPLOYEE INTERNATIONAL UNION|20000||20000||0|643784
29148|WEBSTER BANK|20041|0|20041|0|0|643810
29149|None|0|0|0|0|0|643824
29150|SPECIALTY TRADES JOINT INDUSTRY FUND|1689|0|0||1689|643853
29151|NATIONAL ASSOCIATION OF SPECIALTY TRADES BENEFIT F|44642|0|35833|0|8809|643853
29152|401K PAYABLE|0|75|0||75|643853
29153|PLUMBERS & FITTERS LOCAL 675 FEDERAL CREDIT UNION|80017||34336||45681|643910
29154|Automobiles-Enterprise Fleet Leasing|46260|0|26908|0|19352|643921
29155|BANK OF SPRINGFIELD|144474||10792||133682|644014
29156|Webster Bank|0|75000|4015|0|70985|644030
29157|None|0|0|0||0|644063
29158|None|0|0|0|0|0|644063
29159|None|0|0|0|0|0|644063
29160|None|0|0|0|0|0|644063
29161|None|0|0|0|0|0|644063
29162|None|0|0|0|0|0|644063
29163|None|0|0|0|0|0|644063
29164|None|0|0|0|0|0|644063
29165|None|0|0|0|0|0|644063
29166|None|0|0|0|0|0|644063
29167|None|0|0|0|0|0|644063
29168|None|0|0|0|0|0|644063
29177|Morgan Stanley Line of Credit|410659|3035|||413694|644391
29178|Ally Bank- auto loans|186837||48939|30187|107711|644391
29179|None|0|0|0|0|0|644642
29180|NONE|0|0|0|0|0|644744
29181|None|0|0|0|0|0|644790
29182|Pacific Maritime Assoication||68667|5776|0|62891|644799
29183|NONE|0|0|0|0|0|644845
29184|MTPSI TO IATSE|11072|1365|5040|0|7397|645162
29185|IATSE Union Dues WIthheld|1430|0|1430||0|645162
29186|IATSE to MTPSI|0|625|625|0|0|645162
29187|N/A|0|0|0|0|0|645219
29188|0|0|0|0|0|0|645474
29189|n/a|0|0|0|0|0|645977
29190|n/a|0|0|0|0|0|645977
29191|n/a|0|0|0|0|0|645977
29192|COMERICA BANK|0|3230216|0|0|3230216|646221
