RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
186781|||0||||||||||8161|400|0|0|0|||3333|0|||||||||||316||49
205334|||0||||||||||0|0|0|0|0|||10564|0|||||||||||595||0
189639|||0||||||||||3600|1200|0|0|0|||4248|0|||||||||||968||9792
196062|||721||||||||||25710|4874|0|2006|0|||3145|1202|||||||||||4352||895
203334|||9426|||48632|0|0|0||15191||134172|41637|0|64623|0|0|0|160658|80623|||||||||||43343|6221|3641
440366|||100||||||||||11589|3977|0|0|0|||1412|0|||||||||||900||2851
197750|||22141|||10748|149|0|1310||8744||74680|15121|0|39|0|0|0|12176|62904|||||||||||11059|20802|7620
221547|||1969||||||||||3105|21302|1655|700|0|||26790|28616|||||||||||49927||250
196014|||35||||||||||29596|2466||||||1618|1468|||||||||||2153||
197233|||0||||||||||20791|1235|0|0|0|||807|0|||||||||||1498||0
187311|||500||||||||||121472|22209|0|0|0|||11090|884|||||||||||11965||3135
198589|||0||||||||||71009|175|0|0|0|||28692|200|||||||||||1006||0
199017|||509||||||||||2327|10276|0|1455|0|||2487|805|||||||||||1382||0
202426|||18020|||17617|0|0|0||9566||83370|65971|0|28737|0|0|0|20000|0|||||||||||57322|0|1721
205279|||183||||||||||18341|26213|0|0|0|||5356|0|||||||||||9389||0
209231|||0||||||||||12958|27476|0|2245|0|||12751|0|||||||||||23195||2250
181485|||0||||||||||12254|6023|0|0|0|||1815|50|||||||||||582||0
184569|||0|||44908|0|0|0||12013||0|119572|0|17413|0|0|0|20201|20813|||||||||||37180|818|110919
203134|||1766|||108841|0|8703|0||73000||233457|65664|1845455|182985|0|0|0|309610|487790|||||||||||159470|2659|21363
195216|||340||||||||||117156|6776|0|0|0|||27283|10243|||||||||||5382||8
186505|||0||||||||||53118|16245|0|0|0|||8837|2588|||||||||||2143||2337
185922||||||24223||3954|||4650||91184|36149|1712|59579||4562||9509|24447|||||||||||9806||3700
205110|||0||||||||||0|3420|0|0|0|||1086|0|||||||||||406||0
