RPT_ID|ACCOUNTS_PAYABLE_START|ACCOUNTS_PAYABLE_END|LOANS_PAYABLE_START|LOANS_PAYABLE_END|MORTGAGE_PAYABLE_START|MORTGAGE_PAYABLE_END|OTHER_LIABILITIES_START|OTHER_LIABILITIES_END|TOTAL_START
202339|1963|2073|0|0|0|0|0|0|1963
223111|1771|0|0|0|0|0|0|0|1771
218972|0|0|0|0|0|0|0|0|0
220344|0|0|0|0|0|0|0|0|0
203779|0|9826|0|0|0|0|0|0|0
209683|894|756|631|0|0|0|0|0|1525
195416|0|0|0|0|0|0|0|0|0
193955|0|0|0|0|0|0|0|0|0
191775|0|0|0|0|0|0|0|0|0
196840|4126|4515|0|0|0|0|0|23|4126
194822|0|0|0|0|0|0|0|0|0
201330|||||||||
182444|0|0|0|0|0|0|0|0|0
195190|501|2303|0|0|0|0|0|0|501
196087|0|0|0|0|0|0|2007|2007|2007
200108|||||||||0
269796|0|0|0|0|0|0|0|0|0
201020|346|371|0|0|0|0|0|0|0
192728|0|0|0|0|0|0|0|0|0
203883|||||||879|558|
195035|0|0|0|0|0|0|0|0|0
181140|0|0|0|0|0|0|0|0|0
210069|||||||||
192976|0|0|0|0|0|0|0|0|0
211013|0|0|0|0|0|0|0|0|0
201132|0|0|226058|199507|0|0|0|0|226058
206244|0|0|0|0|0|0|0|0|0
203509|0|0|0|0|0|0|0|0|0
181041|0|0|0|0|0|0|0|553|0
204278|0|0|0|0|0|0|1072|1033|1072
195969|0|0|0|0|0|0|0|0|0
222755|0|0|0|0|0|0|0|0|0
183696|0|0|0|0|0|0|0|7465|0
191233|0|0|0|0|0|0|0|0|0
183747|0|0|0|0|0|0|61337|62751|61337
205012|0|0|0|0|0|0|0|0|0
209485|0|0|0|0|0|0|600|647|600
185028|795|1063|0|0|0|0|0|0|795
184083|29771|30950|0|0|0|0|0|0|29771
181047|0|0|0|0|0|0|0|0|0
185103|0|0|0|0|0|0|0|0|0
187038|26809|26809|482320|443359|0|0|0|0|509129
186859|0|0|0|0|0|0|241|260|241
186341|0|0|0|0|0|0|0|0|0
208524|0|0|||||||
185919|0|0|0|0|0|0|0|0|0
194391|0|0|0|0|0|0|0|0|0
217624|0|0|0|0|0|0|1804|1329|1804
191465|0|0|0|0|0|0|0|0|0
199218|0|0|0|0|0|0|0|0|0
200987|0|0|0|0|0|0|480|424|480
192617|0|0|0|0|0|0|0|0|0
196155|0|0|0|0|0|0|291|289|291
238468|0|0|0|0|0|0|0|0|0
197889|0|0|0|0|0|0|0|0|0
198123|0|0|0|0|0|0|347|350|347
196029|0|0|0|0|0|0|1383|777|1383
195607|0|0|0|0|0|0|0|0|0
197792|0|0|0|0|0|0|0|2785|0
219020|0|0|0|0|0|0|0|0|0
184619|0|0|0|0|0|0|0|0|0
202258|0|0|24302|17235|0|0|188290|157001|212592
202995|13462|4755|3852|0|0|0|116|0|17430
235756|0|0|0|0|0|0|0|0|0
193073|0|0|0|0|0|0|0|0|0
193251|0|0|0|0|0|0|0|0|0
210864|||||||||71
197323|||||||||
201916|0|0|30859|24038|0|0|1753|5514|32612
196790|0|0|0|0|0|0|0|0|0
203068|0|0|0|0|0|0|420321|44213|420321
199688|499358|444064|250000|250000|0|0|9255|12839|758613
197327|0|0|0|0|0|0|0|0|0
196506|566|158|0|0|0|0|0|0|566
198613|0|0|0|0|0|0|8400|4623|8400
205652|0|0|0|0|0|0|0|0|0
202888|0|0|0|0|0|0|0|25252|0
194649|0|0|0|0|0|0|0|0|0
195043|0|0|0|0|0|0|0|0|0
243431|0|0|0|0|0|0|0|0|0
219654|0|0|0|0|0|0|0|0|0
216132|0|0|0|0|952|0|0|0|952
191038|0|0|0|0|0|0|0|0|0
208237|0|0|0|0|0|0|0|0|0
199892|2926|813|0|0|0|0|3294|0|6220
194151|0|0|0|0|0|0|0|0|0
196766|||||||||
189272|589|137|0|0|0|0|0|0|589
203443|0|0|0|0|0|0|0|0|0
200215|0|0|0|0|0|0|0|0|0
200252|0|0|0|0|0|0|0|0|0
187658|0|0|0|0|0|0|0|0|0
205204|7981|6530|0|0|0|0|2302|5737|10283
197152|0|0|0|0|0|0|0|0|0
219846|0|0|0|0|0|0|0|0|0
199610|||||||2539|1805|2539
191326|0|0|0|0|0|0|243|116|243
193200|0|0|0|0|0|0|0|0|0
201345|0|0|0|0|0|0|0|0|0
207883|419||||||||419
203299|0|0|0|0|0|0|0|79|0
190816|207|391|0|0|0|0|0|0|207
212006|0|0|0|0|0|0|0|0|0
192037|0|0|0|0|0|0|0|0|0
206088|0|0|5869|0|0|0|584|0|6453
212227|0|0|0|0|0|0|0|0|0
189018|||||||||
203257|124217|127153|||||||124217
205490||0||0||0||0|
201776|0|0|0|0|0|0|0|0|0
199983|0|0|0|0|0|0|0|0|0
221190|0|0|0|0|0|0|0|0|0
209051|0|0|0|0|0|0|0|0|0
205973|1455|339|||||||1455
198306|0|0|0|0|0|0|0|0|0
210057|0|0|0|0|0|0|0|0|0
202528|0|0|0|0|0|0|352|161|352
197843|0|0|0|0|0|0|0|0|0
198494|1724|0|0|0|0|0|124|124|1848
210441|74366|177435|0|0|0|0|90450|85147|164816
197447|0|0|0|0|0|0|0|0|0
204900|0|0|0|0|0|0|0|0|0
205067|300|0|0|0|0|0|0|0|300
187639|0|0|0|0|0|0|0|0|0
213998|0|0|0|0|0|0|0|0|0
240643|598|250|0|0|0|0|0|0|598
206645|0|0|0|0|0|0|0|0|0
198939|0|0|0|0|0|0|0|0|0
213923|0|0|157200|157200|0|0|0|0|157200
205512|0|0|0|0|0|0|326|22|326
204149|0|0|0|0|0|0|0|0|0
193089|0|0|0|0|0|0|0|0|0
189373|0|0|0|0|0|0|0|0|0
195874|0|0|0|0|0|0|0|0|0
203210|0|0|0|0|0|0|1042|586|1042
200789|0|0|0|0|0|0|0|0|0
211420|399|315|0|0|0|0|0|0|399
194864|0|0|0|0|0|0|0|0|0
196412|0|0|0|0|0|0|0|0|0
193382|0|0|0|0|0|0|0|0|0
199930|9570|12672|0|0|0|0|59|113|9629
199873|0|0|0|0|0|0|0|0|0
205524|0|0|0|0|0|0|0|0|0
208377|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|5215|5813|5215
198081|0|0|0|0|0|0|0|0|0
198325|0|0|0|0|0|0|0|0|0
197104|0|0|0|0|0|0|278|259|278
203888|0|0|0|0|0|0|0|0|0
206012|||||||||
204053|0|0|0|0|0|0|0|0|0
191419|0|0|0|0|0|0|0|0|0
195858|||||||||
199890|0|0|0|0|0|0|0|0|0
205245|0|0|0|0|0|0|0|0|0
212760|15886||0|0|0|0|0|0|15886
242509|0|0|0|0|0|0|0|0|0
206183|0|0|0|0|0|0|0|0|0
199554|67062|9025|0|0|0|0|0|0|67062
195706|0|0|0|0|0|0|0|0|0
204833|0|0|0|0|0|0|0|0|0
187376|||||||||
199888|0|0|0|0|0|0|0|0|0
189545|||||||353|381|
