RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
739402|36157|48361|||0|0|0|0|0|0|0|0|0|0|||||
727267|10122|3839|||49366|50663|9600|9600|0|0|0|0|0|0|||||
738668|5752|2187|||0|0|0|0|0|0|0|0|0|0|||||
739441|14387|9900|||0|0|0|0|0|0|0|0|0|0|||||
736846|10249|32652|||0|0|0|0|0|0|0|0|0|0|||||
737701|5030991|7825873|6008561|4198702|0|0|5422647|3687072|0|0|402555|517095|348787|2622|||||
736023|9470|10560|||0|0|0|0|0|0|0|0|0|0|||||
730215|89047|115896|||0|0|0|0|0|0|0|0|0|0|||||
732260|9383|5077|||0|0|0|0|0|0|0|0|0|0|||||
736860|191139|209176|||0|0|0|0|0|0|0|0|0|0|||||
736865|60057|76694|||0|0|0|0|0|0|0|0|100|100|||||
736181|270279|324339|54300|58357|0|0|0||0|0|0||0|0|||||
734118|26935|9333|||0|0|0|0|0|0|5653|1163|0|0|||||
736572|84703|129236|15371|11566|||0||0|0|16562||||||||
735611|238182|267078|0|0|0|0|0|0|0|0|0|0|0|0|||||
729761|4193|4297|||0|0|0|0|0|0|0|0|0|0|||||
734116|1277318|773649|362992|13992|1037273|2570980|57767|106367|0|0|3433|28100|0|0|||||
733029|60265|52567|||0|0|0|0|0|0|0|0|0|0|||||
736455|613066|474747|49626|34745||0|21700|14558|0|0|750|0|0|0|||||
733909|2030311|2732231|||514809|558643|3546645|3435079|0|0|139|139|||||||
736246|40642|38487|||0|0|0|0|0|0|0|0|0|0|||||
738521|348284|480529|||||3580|2621|0|0|800|2498|||||||
734486|25277|25184|||0|0|0|0|0|0|0|0|0|0|||||
736413|136383|206217|0|0|0|0|0|0|0|0|4316|42833|0|0|||||
736442|32096|49191|161907|237357|||||0|0|3202|1096|||||||
735196|105960|318190|0|0|0|0|7281|7818|0|0|0|0|0|0|||||
736581|125196|383290|86483|65565|1933504|1876913|106996|85930|597315|760205|3591|3083|712811|660311|||||
737880|123378|323925|115166|154205|0||4262|3315|0|0|36876|39163|0||||||
733937|136574|279007|234112|331809|||||0|0|4163|8346|||||||
736399|81886|119905|161294|214493|||5399|4011|0|0||8508|||||||
735402|31347|26087|||0|0|0|0|0|0|0|0|0|0|||||
737775|115798|149895|110564|148304|0|0|1333|1133|0|0|16486|58897|0|0|||||
735839|219025|255964|0|0|0|0|1594|882|0|0|0|0|0|0|||||
735565|588481|950532|||548190|295158|585885|544836|0|0|||||||||
736892|9584|6992|||0|0|0|0|0|0|0|0|0|0|||||
732256|13282|22608|||0|0|0|0|0|0|0|0|0|0|||||
733671|152|12708|||0|0|0|0|0|0|0|0|0|0|||||
736406|29478|119050|0||0||0||0|0|5256|16395|0||||||
736678|113810|118269|||0|0|0|0|0|0|0|0|0|0|||||
736004|98158|97464|||0|0|32|0|0|0|4627|2757|0|0|||||
736356|2094868|1200571|277362|328051|0|0|480328|463915|0|784109|12263|15611|0|7038|||||
736183|90064|91494|24439|32524|0|0|1039|885|0|0|0|0|0|0|||||
739498|397031|759152|0|0||250000||7846|0|0||0||0|||||
733841|16903|17961|||0|0|0|0|0|0|0|0|0|0|||||
739730|20308|25826|||0|0|0|0|0|0|0|0|0|0|||||
736759|1977805|1521278|0|0|0||1353393|2978421|0|0|136985|190140|0|0|||||
737007|50118|61889|||0|0|0|0|0|0|0|0|0|0|||||
735588|0|6811|||0|0|0|0|0|0|0|0|0|0|||||
736512|998|15288|||0|0|0|0|0|0|0|0|0|0|||||
736756|73612|89781|||0|0|0|0|0|0|0|0|0|0|||||
736429|151088|169172|||0|0|102|0|0|0|0|35|0|0|||||
738452|4277|13372|||0|0|0|0|0|0|0|0|0|0|||||
739503|94221|99679|||0|0|0|0|0|0|0|0|0|0|||||
738404|54426|94336|||0|0|0|0|0|0|0|0|0|0|||||
739715|51502|57281|||0|0|0|0|0|0|0|0|0|0|||||
738763|861101|893963||79||0|34543|25676|0|0|17311|16931||0|||||
738989|352703|400031|143289|72250|5142685|5161416|42235|9839|0|0|8336|1860|0||||||
737060|606271|725888|0||0||215083|208891|0|0|14937|9105|0||||||
738501|221182|211107|||0|0|0|0|0|0|0|0|0|0|||||
732807|28269|27398|||0|0|0|0|0|0|0|0|0|0|||||
738331|432826|431654|||||154018|147703|0|0|||||||||
738631|964534|776079|0|0|2979274|3279851|86262|83134|0|0|0|0|0|0|||||
738020|108411|128358|||0|0|0|0|0|0|0|0|0|0|||||
736957|28122|26885|||0|0|0|0|0|0|0|0|0|0|||||
736560|38855|59133|||0|0|0|0|0|0|0|0|0|0|||||
738322|413670|447260|0|0|0|0|57645|52570|0|0|0|0|0|0|||||
739267|323335|336657|||0|0|32100|32100|0|0|0|0|0|0|||||
734070|42271|32652|||0|0|0|0|0|0|0|0|0|0|||||
739710|9563|20273|||0|0|0|0|0|0|0|120|0|0|||||
734953|432273|834832|77391|50228|545902|576049|357272|355192|0|0|141|4129|0|0|||||
738966|41930|53998|||0|0|0|0|0|0|0|0|0|0|||||
737945|15903|16588|||0|0|2367|1420|0|0|0|0|0|0|||||
735217|473438|178239|3368|2298|290666|599562|819|101|0|0|21391|20645|0|0|||||
735395|712008|454634|||0|0|0|0|0|0|0|0|0|0|||||
