RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
457682|12658|0|0|||5|||0||0||||
448963|774077|0|394334|974|0|28110|0|0|7650|20092|372378|0|0|0|372378
458270|46332||||||||||2075||||
452556|44485|0|0|||24|||0||0||||
460844|38792|0|0|||829|||800||0||||
456825|67817|0|0|||491|||0||646||||
455918|117142|0|0|||1431|||0||2499||||
459407|4996|0|0|||922|||0||2004||||
453865|0|45609|0|||216|||0||96000||||
454051|42154|0|0|||0|||0||0||||
444101|19637|0|0|||199|||0||11173||||
458908|77116|0|0|||238|||2400||11771||||
474840|31859|0|0|||192|||0||194||||
447087|43373|0|0|||61|||0||220||||
427033|12636|0|0|||927|||34444||21||||
456568|0|75579|0|||40|||0||10414||||
445110|40573|||||130|||||3374||||
453672|29826||||||||32377||||||
455207|23126|0|0|||0|||0||2000||||
457954|20941|||||11|||||||||
453451|10040|0|0|||0|||0||0||||
464705|48669|0|0|||0|||0||109738||||
452982|139|0|0|||738|||0||13566||||
430148|0|128644||||551|||||47625||||
463097|10645|0|0|||0|||0||0||||
430354|22794|||||4|||||||||
460957|85815|0|0|||123|||0||10||||
455368|23842|0|0|||129|||0||0||||
453502|11185|0|0|||0|||0||0||||
452223|1768745|0|0|0||18660|0|0|0|0|10709|0|0||10709
459001|15995|0|0|||2|||0||24||||
532219|12042|0|0|||63|||0||0||||
465641|16516|0|0|||0|||0||0||||
460320|74824|0|0|||0|||0||0||||
463359|9330|||||403|||||1460||||
452420|16924|0|0|||0|||250||1096||||
433208|2311058|130053|0|0|1451|1398|0|0|0|0|16369|5328|0|0|16369
438853|23707|0||||286|||0||||||
433356|288588|0|0|2270|0|4028|0|0|632896|0|176520|0|46394|0|9252
446719|46479|0|0|||76|||0||0||||
434092|121848|0|0|||1600|||0||0||||
435898|784087|0|1185497|2698|0|33363|31722|0|1896154|0|253440|0|0|0|4944
432912|0|30098|0|0|0|0|0|0|0|0|400|0|0|0|0
436077|0|461676|0|345|0|2750|0|0|0|0|25328|0|0|0|2024
448509|0|73281|0|||3274|||0||246||||
468239|80973|0|0|||0|||0||0||||
441333|11649|0|0|||0|||0||0||||
472072|8270|0|0|||544|||0||75000||||
437916|42487|||||390|||||||||
463084|27352|||||206|||||8026||||
445291|96537|0|0|||931|||0||7110||||
458238|57637|0|0|||198|||0||10645||||
433246|4028|2408|0|||226|||0||1210||||
