RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
301507|||0||||||||||46462|3931|0|0|0|||7933|750|||||||||||1512||0
274489|||0||||||||||0|0|0|951|0|||517|0|||||||||||893||11080
275166|||2200||||||||||0|20282|620|0|0|||4166|9277|||||||||||11065||4010
277824|||387||||||||||3172|52157|0|18391|0|||32232|7556|||||||||||61975||9165
297825|||||||||||||3140|990|||||||4900|||||||||||7557||
277268|||0||||||||||0|0|0|0|0|||55730|0|||||||||||1581||0
264926|||1400||||||||||6733|4571|0|0|0|||2810|6509|||||||||||3402||0
268608|||850||||||||||54267|15168|0|0|16022|||0|3130|||||||||||4632||0
270974|||500||||||||||11253|3900|0|1100|0|||1121|0|||||||||||6004||0
267949|||2634||||||||||26627|13682|0|0|0|||5984|202|||||||||||834||654
268227|||0||||||||||5498|6249|0|531|0|||2319|1833|||||||||||496||0
274947|||2040||||||||||34425|30279|0|5520|0|||2056|269|||||||||||3427||4275
242416|||500|||||||||||3000||||||31729||||||||||||9416||13390
275556|||114||||||||||7258|480|0|0|0|||200|0|||||||||||91||0
266269|||578||||||||||3359|28672|0|0|0|||22961|8786|||||||||||19767||3206
282195|||131||||||||||7606|0|401|96|0|||5139|0|||||||||||202||0
277142|||9370||||||||||66610|22438|0|0|0|||8025|2276|||||||||||7826||1606
279001||||||||||||||4983||||||267||||||||||||7532||
263937|||1800||||||||||0|3880|0|0|0|||4877|0|||||||||||5153||101
245364|||3250|||45139|48500|0|2288||28404||208973|143130|0|90387|0|0|0|53050|36782|||||||||||90413|0|46601
266416|165651|5506|0|0|122006|42962|0|0|0||12365|0|7705|155724|0|0|0|0|0|0|1080|36849|6113|37066|120|0|31559|0|0|0|19631|0||0
251231|||0||||||||||25702|4083|0|0|0|||4584|0|||||||||||2465||1816
272199|82949|59|4555|8519|38336|13238|0|0|0||13592|0|98396|80340|0|1800|0|0|0|0|29996|0|13238|0|0|0|0|0|0|0|0|0||0
281000|||0||||||||||14647|11181|4383|300|0|||6885|8463|||||||||||19033||780
279399|||3350||||||||||3540|15287|0|0|0|||35368|9441|||||||||||17689||3544
271768|||581||||||||||7752|26218||||||14579|2728|||||||||||3566||
274478|||3599||||||||||0|5737|0|0|0|||216|0|||||||||||1189||0
278259|||2218||||||||||13011|3766|0|295|0|||3388|88|||||||||||3467||971
295374|338601|1352|19380|532756|88656|138426|0|0|0||50004|0|404656|237378|44700|254105|0|0|1481369|0|243717|138426|0|72575|65854|0|0|0|5532|227264|0|0||0
277601|||100||||||||||12045|6801|0|0|0|||2598|0|||||||||||1952||0
