OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
30142|FIRST STATE BANK|14483|0|4616|0|9867|666912
30143|INTERNATIONAL BROTHERHOOD OF TEAMSTERS|56807|0|15980|0|40827|666912
30144|N/A|0|0|0|0|0|666945
30145|1st Community Bank|145710|0|2846|0|142864|666993
30146|Teleconnect Lease|3004|0|1030||1974|667052
30147|Toledo Teamsters Federal CU|33275|0|33275|0|0|667057
30148|IUOE LOCAL 003|5000000||||5000000|667058
30149|IUOE LOCAL 004|2000000||||2000000|667058
30150|IUOE LOCAL 012|2000000||||2000000|667058
30151|IUOE LOCAL 012 BURIAL FD|1000000||||1000000|667058
30152|IUOE LOCAL 015|7000000||||7000000|667058
30153|IUOE LOCAL 017|250000|250000|||500000|667058
30154|IUOE LOCAL 018|2000000||||2000000|667058
30155|IUOE LOCAL 030|2000000||||2000000|667058
30156|IUOE LOCAL 037|250000||||250000|667058
30157|IUOE LOCAL 039|1000000||||1000000|667058
30158|IUOE LOCAL 039 EDUC FD|250000||||250000|667058
30159|IUOE LOCAL 066|2000000||||2000000|667058
30160|IUOE LOCAL 101|1000000||||1000000|667058
30161|IUOE LOCAL 103|250000||||250000|667058
30162|IUOE LOCAL 103 STRIKE FD|250000||||250000|667058
30163|IUOE LOCAL 112|1000000||||1000000|667058
30164|IUOE LOCAL 132|1000000||||1000000|667058
30165|IUOE LOCAL 132 HPE|1000000||||1000000|667058
30166|IUOE LOCAL 137|1000000||||1000000|667058
30167|IUOE LOCAL 139|3000000||||3000000|667058
30168|IUOE LOCAL 158|1000000||||1000000|667058
30169|IUOE LOCAL 181|500000||||500000|667058
30170|IUOE LOCAL 234|500000||||500000|667058
30171|IUOE LOCAL 295|250000||||250000|667058
30172|IUOE LOCAL 302|7000000||||7000000|667058
30173|IUOE LOCAL 324|2000000||||2000000|667058
30174|IUOE LOCAL 399|500000||||500000|667058
30175|IUOE LOCAL 420|300000||||300000|667058
30176|IUOE LOCAL 450|1000000||||1000000|667058
30177|IUOE LOCAL 463|250000||||250000|667058
30178|IUOE LOCAL 478|250000||||250000|667058
30179|IUOE LOCAL 513|1000000||||1000000|667058
30180|IUOE LOCAL 520|250000||||250000|667058
30181|IUOE LOCAL 542|3000000||||3000000|667058
30182|IUOE LOCAL 649|500000||||500000|667058
30183|IUOE LOCAL 793|1000000||||1000000|667058
30184|IUOE LOCAL 825|5000000||||5000000|667058
30185|IUOE LOCAL 841|1000000|1000000|||2000000|667058
30186|IUOE LOCAL 68||500000|||500000|667058
30187|IUOE LOCAL 115||500000|||500000|667058
30188|IUOE LOCAL 178||250000|||250000|667058
30189|IUOE LOCAL 148||250000|||250000|667058
30190|IUOE LOCAL 351||500000|||500000|667058
30191|WELLS FARGO CREDIT LINE||33040626|3201165||29839461|667058
30192|FORD CREDIT|47493|17631|13227|0|51897|667065
30193|Ford Motor Credit#17|19369||6641||12728|667082
30194|Ford Motor Credit #14|12170||8581||3589|667082
30195|Ford Motor Credit #15|14175||14175||0|667082
30196|Chrysler Motor Credit #16|24779||24779||0|667082
30197|Chrysler Motor Credit #18||46183|6414||39768|667082
30198|Chryslet Motor Credit #19||30901|4133||26768|667082
30199|UA Local 73|802414||24573||777841|667084
30200|Alley|3608||3608||0|667084
30201|NBT Bank|296576||10506||286070|667084
30202| ||||||667096
30203|NONE|0|0|0|0|0|667098
30204|n/a|0|0|0|0|0|667112
30205|M&T BANK - AUTO LOANS|34322|0|8180|0|26142|667115
30206|NONE|0|0|0|0|0|667124
30208|NONE|0|0|0|0|0|667150
30209|TEAMSTERS CREDIT UNION|139495|0|22984|0|116511|667164
30210|CIT|12273|0|2484|0|9789|667169
30211|Seafarers Int'l Union of N.A.- AGLIW|970000|0|100000||870000|667172
30212|FORD CREDIT|129346|0|47035|0|82311|667177
30213|NONE|0|0|0|0|0|667181
30214|Seafarers Int'l Union of N.A.- AGLIW|2136950|457323||2318358|275915|667188
30215|FORD MOTOR CREDIT|12086||5659||6427|667225
30216|IBEW LOCAL FCU|6293|0|1585|0|4708|667228
30217|NO LOANS|0|0|0|0|0|667241
30218|GM Financial|58380|50985|17145|0|92220|667263
30219|Ally|28096|0|28096|0|0|667263
30220|NONE|0|0|0|0|0|667276
30221|Line of credit|97592|0|45|0|97547|667278
30222|Cherry Avenue Loan|938778|0|24644|0|914134|667278
30223|Auto loan|0|66327|713|0|65614|667278
30224|Building Loans|116754|0|0|0|116754|667283
30225|N/A|0||||0|667287
30226|SEIU INTL. UNION|300000|0|0|0|300000|667291
30227|Chrysler Financial|20372|0|0|20372|0|667313
30228|Ford Motor Credit - Auto loan|80017||44931||35086|667326
30229|Ascentium - Truck loan|69062||69062||0|667326
30230|United Business Bank - Truck loan|0|75621|11259||64362|667326
30231|Salisbury Bank & Trust Co|578701|0|155700|39218|383783|667350
30232|GM Financial|0|18129|4769|0|13360|667350
30233|AFSCME COUNCIL 27|50000|0|0|0|50000|667353
30234|CAPITAL LEASE|42504||12844||29660|667357
30235|Ford Motor Credit|62727|0|18866|0|43861|667375
30236|NPWU PROTECH|4214|6311|0|4214|6311|667385
30237|TRUCK DRIVERS, CHAUFFEURS & WHSEMEN|3007838|409160|0|3007838|409160|667385
30238|NPWU INSURANCE FUND|52446|48623|0|0|101069|667385
30239|NPWU|245631|0|0|245631|0|667385
30240|CLEVELAND & VICINTY 707|0|10450|0|0|10450|667385
30241|THE BANK OF EDWARDSVILLE|14738||4958||9780|667386
30242|OPCMIA|181950|0|81950|0|100000|667407
30243|n/a|0|0|0|0|0|667590
30244|Webster Bank|70985|0|6233|0|64752|667612
