RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
668001|||0||||||||||0|0|0|0|0|||0|0|||0||||||||0||0
667184|||275||||||||||52474|10509|0|0|0|||499|0|||0||||||||13662||2592
673069|||350||||||||||0|2800|0|3757|0|||15582|0|||||||||||1594||12647
671529|||4419||||||||||680|39114|0|0|0|||0|15840|||1949||||||||78168||2288
675708|||0||||||||||6223|5400|0|0|0|||0|0|||||||||||561||218
674015|||580||||||||||0|0|0|0|0|||2611|46238|||||||||||225||0
674490|||0||||||||||8894|14132|0|0|0|||14646|1050|||||||||||2673||800
677764|||0||||||||||0|0|0|0|0|||0|0|||0||||||||0||0
675979|||1574||||||||||18813|14065|0|1000|0|||1645|0|||0||||||||6162||1248
676012|||5200||||||||||2354|13076|0|0|0|||693|0|||||||||||250||0
676861|||4575||||||||||7333|11521|0|1214|0|||1288|0|||0||||||||2439||1200
665644|||0||||||||||14283|1403|0|0|0|||0|0|||137||||||||1818||0
677252|||6998||||||||||0|0|0|0|0|||33497|0|||||||||||14209||1800
677328|||600||||||||||672|0|0|0|0|||191|0|||0||||||||15||4249
677380|||12960||||||||||0|51927|0|102557|0|||23808|635|||3563||||||||797||565
692121|||694||||||||||38616|42886|0|0|0|||192|0|||24440||||||||34901||85645
677751|||0||||||||||0|5356|0|0|0|||16709|275|||||||||||0||0
653495|||20466||||||||||1025|21229|0|0|0|||81694|0|||||||||||5081||52326
682303|||117||||||||||0|4382|0|0|0|||6133|630|||891||||||||1783||0
680339|||342||||||||||19713|3619|0|350|0|||6135|0|||0||||||||1896||150
680092|195278|33446|5100|3195|2993|0|0|0|0||0|0|0|100|||||0|||0|||||0|2200|100|3185|2983|||
679843|||0||||||||||4719|0|0|0|0|||0|0|||0||||||||0||0
671945|520672|7596|11098|147910|435608|254019|0|0|0||70199|0|572318|723010|5967|107341|||0||101276|253663|356||||29712|0|8152|18554|45954|||
653362|||0||||||||||0|18343|0|0|0|||0|1061|||||||||||2248||345
653111|||0||||||||||0|4478|0|0|0|||331|142|||||||||||2871||2645
710993|||1710||||||||||1515|30684|0|0|0|||8034|0|||6484||||||||22589||1940
738184|||0||||||||||0|9534|0|0|0|||150|0|||0||||||||5984||0
681121|||0||||||||||0|0|0|0|0|||2018|0|||0||||||||0||0
683210|||0||||||||||0|4680|0|0|0|||974|0|||||||||||0||0
681628|||107||||||||||0|9546|0|0|0|||2206|1000|||1266||||||||5753||0
656905|||1903||||||||||0|3008|0|0|0|||13955|0|||0||||||||12497||111
681439|||0||||||||||11711|0|0|0|0|||1523|2490|||0||||||||967||0
654644|76637|60541|37431|786447|211070|86570|59323|0|0||108614|0|470536|213517|28644|216646|||0||80077|86570||72527|14043||560|24700|37431|112916|20143|||
654685|||0||||||||||13900|14575|0|0|0|||0|0|||||||||||13069||1957
655540|994189|32513|97812|170323|268048|212666|0|1100|0||60022|0|631809|485049|1266442|341992|||0||261111|205348|7318||||172842|0|0|39385|8587|||
654710|||3800||||||||||0|7200|0|0|0|||5675|0|||||||||||12138||1632
656470|0|0|0|0|211086|16114|0|0|0||7242|0|9312|120619|0|0|0|0|0||2621|14967|1147|15895|219||||||42938|||
657341|||||||||||||12430|0|||||||0|||||||||||||
655224|||0||||||||||34017|9361|0|0|0|||7914|0|||||||||||3611||0
668651|||3400||||||||||1253|54623|0|0|0|||32014|30802|||17213||||||||13245||383
669765|||0||||||||||15496|13587|4457|100|0|||3935|8781|||2958||||||||19699||2753
660394|||0||||||||||0|8479|0|0|0|||6681|2815|||648||||||||2981||1350
675824|||2000||||||||||0|4800|0|0|0|||114230|0|||0||||||||172||68350
666230|||0||||||||||5841|2124|0|5309|0|||270|2770|||||||||||4385||1703
660912|||8000||||||||||7470|34437|0|0|0|||54008|14930|||16773||||||||26292||12529
669175|||150||||||||||346|34468|0|0|0|||16906|402|||7590||||||||1429||0
680158|||0||||||||||0|1998|0|0|0|||1269|0|||0||||||||15||0
667135|113757|1215|1700|165895|79293|61086|0|0|0||22321|0|100620|840||73535|||0||231505|59717|1369||||19856|1215|0|85308|0|||
666307|0|809298|76750|72289|111471|43452|0|0|0||12696|0|0||3163|53612|||0||154302|43374|78|||0|0|14915|4250|8590|9981|||
666496|||1350||||||||||0|500|0|0|0|||548|0|||||||||||18984||625
659886|||0||||||||||0|3505|0|0|0|||7368|0|||0||||||||0||0
673191|169399|0|0|67491|7360|38147|0|0|0||21045|0|0|165061|||||0||3749|38147|||||29562||0|20378|0|||
